en,pt,de,fr,tr,es,title,speaker,duration,tags
"
","
","
","
","
","
",What moral decisions should driverless cars make?,Iyad Rahwan,13:35,"AI,driverless cars,law,innovation,morality,technology"
"
											We might say then,
""Well, let's not worry about this.
											Let's wait until technology
is fully ready and 100 percent safe.""
											Suppose that we can indeed
eliminate 90 percent of those accidents,
											or even 99 percent in the next 10 years.
											What if eliminating
the last one percent of accidents
											requires 50 more years of research?
											Should we not adopt the technology?
											That's 60 million people
dead in car accidents
											if we maintain the current rate.
											So the point is,
											waiting for full safety is also a choice,
											and it also involves trade-offs.
									","
											Podemos dizer:
""Não nos vamos preocupar com isso.
											""Vamos esperar até que a tecnologia esteja
totalmente desenvolvida e 100% segura.""
											Suponhamos que, de facto, se possam
eliminar 90% desses acidentes,
											ou mesmo 99% nos próximos 10 anos.
											E se eliminar esse 1% dos acidentes
											exigir mais 50 anos de pesquisa?
											Não deveremos adotar a tecnologia?
											Trata-se de 60 milhões de pessoas
mortas em acidentes,
											se mantivermos o ritmo atual.
											Isto significa que
esperar por segurança total
											também é uma escolha
											e também envolve tomar decisões.
									","
											Jetzt könnten wir sagen:
„Lasst uns keine Sorgen machen.
											Lasst uns warten, bis die Technologie
bereit und zu 100 % sicher ist.“
											Nehmen wir an, wir können tatsächlich
90 % dieser Unfälle vermeiden
											oder sogar 99 % in den nächsten 10 Jahren.
											Was wäre, wenn die Eliminierung 
der letzen 1 % der Unfälle
											50 weitere Jahre der Forschung
bedeuten würde?
											Sollten wir die Technologie ablehnen?
											Dann würden 60 Millionen Menschen
bei Autounfällen sterben,
											wenn wir die Rate so beibehalten.
											Der Punkt ist also,
											dass das Warten auf vollkommene Sicherheit
eine Möglichkeit wäre,
											diese aber auch
Abwägungen beinhalten würde.
									","
											On pourrait donc dire :
« Ne nous en préoccupons pas.
											Attendons à ce que la technologie soit 
prête et sûre à 100%. »
											Imaginez qu'on puisse éliminer 90%
de ces accidents,
											ou même 99% dans les dix prochaines 
années.
											Et si l'élimination du dernier 1%
des accidents
											demandait plus de 50 ans de recherches ?
											Ne devrions-nous pas
adopter cette technologie ?
											Ce sont 60 millions de morts à cause 
des accidents de voiture
											si nous maintenons les taux actuels.
											Le fait est que,
											attendre pour une sécurité optimale 
est aussi un choix
											mais cela implique aussi des compromis.
									","
											Şu şekilde düşünebiliriz,
''Peki, o hâlde daha fazla uzatmayalım.
											Teknolojinin tamamen hazır olmasını,
%100 güvenli hâle gelmesini bekleyelim.''
											Gelecek 10 yılda, bu kazaların %90'ını
											ve hatta %99'unu
önleyebildiğimizi farz edelim.
											Peki ya diğer %10'luk
kaza dilimini önleyebilmek,
											50 yıllık bir çalışma daha
gerektiriyor olsaydı?
											Teknolojiyi uyarlamamız gerekmez mi?
											Mevcut oranı korursak,
bu 60 milyon insanın araba kazalarında
											canlarını yitirdiği anlamına geliyor.
											Demek istediğim şu ki,
											tamamen güvenliği sağlamak için
beklemek bir seçenek,
											fakat aynı zamanda,
kendi içinde risk taşıyor.
									","
											Podríamos decir: ""Bueno,
no nos preocupemos por esto.
											Esperemos a que la tecnología esté
totalmente preparada y sea 100 % segura"".
											Supongamos que efectivamente podemos 
eliminar el 90 % de esos accidentes,
											o incluso el 99 % en los próximos 10 años.
											¿Qué pasaría si eliminar el 1 % 
de los accidentes restante
											llevara 50 años más de investigación?
											¿No deberíamos adoptar la tecnología?
											Estaríamos hablando de 60 millones
de muertos en accidentes de auto
											si seguimos al ritmo al que vamos.
											Quiere decir que,
											esperar a tener seguridad total
también es una elección
											y también implica hacer concesiones.
									",What moral decisions should driverless cars make?,Iyad Rahwan,13:35,"AI,driverless cars,law,innovation,morality,technology"
"
","
","
","
","
","
",What moral decisions should driverless cars make?,Iyad Rahwan,13:35,"AI,driverless cars,law,innovation,morality,technology"
"
											People online on social media
have been coming up with all sorts of ways
											to not think about this problem.
											One person suggested
the car should just swerve somehow
											in between the passengers —
									","
											Nas redes sociais, as pessoas
têm arranjado inúmeras formas
											para não ter de pensar neste problema.
											Uma pessoa sugeriu que o carro 
devia, de alguma forma,
											passar entre os peões...
									","
											In den sozialen Medien haben die Nutzer
unzählige Möglichkeiten entwickelt,
											um diesem Problem aus dem Weg zu gehen.
											Eine Person schlug vor, das sich das Auto
											zwischen den Fußgängern
durchschlängeln soll,
									","
											Les gens ont trouvé plusieurs manières,
sur les réseaux sociaux,
											pour éviter de penser à ce problème.
											Une personne a suggéré que la voiture 
devrait pouvoir dévier
											entre les piétons—
									","
											Sosyal medyada insanlar,
bu problemi düşünmemek için
											türlü fikirler öne sürüyorlar.
											Bir kişi arabanın bir şekilde,
yaya ile tanık arasından
											geçmesi fikrini
									","
											En línea, en las redes sociales, la gente
ha estado proponiendo todo tipo de ideas
											para no pensar en este problema.
											Una persona sugirió que el auto
debería zigzaguear de alguna forma
											entre los peatones...
									",What moral decisions should driverless cars make?,Iyad Rahwan,13:35,"AI,driverless cars,law,innovation,morality,technology"
"
","
","
","
","
","
",What moral decisions should driverless cars make?,Iyad Rahwan,13:35,"AI,driverless cars,law,innovation,morality,technology"
"
											(Laughter)
									","
											(Risos)
									","
											(Lachen)
									","
											(Rires)
									","
											(Gülüşmeler)
									","
											(Risas)
									",What moral decisions should driverless cars make?,Iyad Rahwan,13:35,"AI,driverless cars,law,innovation,morality,technology"
"
","
","
","
","
","
",What moral decisions should driverless cars make?,Iyad Rahwan,13:35,"AI,driverless cars,law,innovation,morality,technology"
"
											and the bystander.
											Of course if that's what the car can do,
that's what the car should do.
											We're interested in scenarios
in which this is not possible.
											And my personal favorite
was a suggestion by a blogger
											to have an eject button in the car
that you press —
									","
											e o peão no passeio.
											Claro que, se isso for possível, 
é o que o carro deve fazer.
											Estamos interessados em cenários 
em que isso não é possível.
											O meu cenário favorito foi 
uma sugestão feita por um ""blogger"",
											de o carro ter um botão de ejeção 
que se pressiona...
									","
											und dem Beobachter.
											Natürlich könnte und sollte
das Auto dies machen,
											aber wir beleuchten Szenarien,
in denen das unmöglich ist.
											Mein Lieblingsvorschlag
kam von einem Blogger,
											der vorschlug eine Schleudersitz-Taste
im Auto zu haben, die gedrückt wird,
									","
											et les passants.
											Si la voiture avait les capacités 
de le faire, elle le ferait sûrement.
											Nous sommes intéressés
par d'autres scénarios.
											Mon préféré est une suggestion 
de la part d'un blogueur,
											qui est d'avoir un bouton pour
siège éjectable—
									","
											öne sürdü.
											Elbette araba eğer bunu yapabiliyorsa,
bunu yapması gerekir.
											Böyle bir çözümün mümkün
olmadığı senaryolardan bahsediyoruz.
											Bir blog yazarınca öne sürülen,
şahsen benim en sevdiğim öneride,
											arabada basılabilen fırlatma tuşu ile
									","
											y el transeúnte.
											Por supuesto que, si el auto fuera capaz
de hacer eso, debería hacerlo.
											Pero nos interesan las situaciones
donde esto no es posible.
											Mi favorita fue la idea de un bloguero
											que propuso un botón de ""eyectarse""
que se presiona justo antes...
									",What moral decisions should driverless cars make?,Iyad Rahwan,13:35,"AI,driverless cars,law,innovation,morality,technology"
"
","
","
","
","
","
",What moral decisions should driverless cars make?,Iyad Rahwan,13:35,"AI,driverless cars,law,innovation,morality,technology"
"
											(Laughter)
									","
											(Risos)
									","
											(Lachen)
									","
											(Rires)
									","
											(Gülüşmeler)
									","
											(Risas)
									",What moral decisions should driverless cars make?,Iyad Rahwan,13:35,"AI,driverless cars,law,innovation,morality,technology"
"
","
","
","
","
","
",What moral decisions should driverless cars make?,Iyad Rahwan,13:35,"AI,driverless cars,law,innovation,morality,technology"
"
											just before the car self-destructs.
									","
											antes de o carro se autodestruir.
									","
											bevor sich das Auto zerstört.
									","
											juste avant l'autodestruction.
									","
											arabanın devamında
kendini imha etmesi çözümüydü.
									","
											de que el auto se autodestruya.
									",What moral decisions should driverless cars make?,Iyad Rahwan,13:35,"AI,driverless cars,law,innovation,morality,technology"
"
","
","
","
","
","
",What moral decisions should driverless cars make?,Iyad Rahwan,13:35,"AI,driverless cars,law,innovation,morality,technology"
"
											(Laughter)
									","
											(Risos)
									","
											(Lachen)
									","
											(Rires)
									","
											(Gülüşmeler)
									","
											(Risas)
									",What moral decisions should driverless cars make?,Iyad Rahwan,13:35,"AI,driverless cars,law,innovation,morality,technology"
"
","
","
","
","
","
",What moral decisions should driverless cars make?,Iyad Rahwan,13:35,"AI,driverless cars,law,innovation,morality,technology"
"
											So if we acknowledge that cars
will have to make trade-offs on the road,
											how do we think about those trade-offs,
											and how do we decide?
											Well, maybe we should run a survey
to find out what society wants,
											because ultimately,
											regulations and the law
are a reflection of societal values.
									","
											Se nós reconhecermos que os carros 
terão que tomar decisões na estrada,
											como devemos ponderar essas decisões
											e como é que decidimos?
											Talvez devêssemos fazer um inquérito 
para saber o que a sociedade quer
											porque, em última análise,
											as normas e as leis são o espelho
dos valores da sociedade.
									","
											Wenn wir also anerkennen, dass Autos
auf der Straße abwägen müssen,
											wie denken wir über diese Abwägungen
											und wie entscheiden wir uns?
											Vielleicht sollten wir eine Umfrage
in der Gesellschaft machen.
											Denn letztendlich
											sind Vorschriften und das Gesetz
ein Spiegel der gesellschaftlichen Werte.
									","
											Si nous considérons que les voitures
devront aussi faire des compromis,
											comment y penser,
											mais surtout comment se décider ?
											Peut être devrions-nous faire un sondage
auprès de la société,
											car finalement,
											les règlements et la loi sont les reflets
des valeurs sociétales.
									","
											Arabaların trafikte risk oranı tahlili
yapacağını kabul edecek olursak,
											bu risk oranı tahlilleri hakkında
nasıl düşüneceğiz
											ve nasıl karar vereceğiz?
											Belki de toplumun ne istediğini
anlamak için bir anket düzenlemeliyiz,
											çünkü nihayetinde,
											düzenlemeler ve yasalar
toplumsal değerlerin bir yansımasıdır.
									","
											Entonces, si aceptamos que los autos
van a tener que hacer concesiones,
											¿cómo pensamos en esas concesiones,
											y cómo decidimos cuáles son?
											Tal vez deberíamos hacer una encuesta
y ver qué quiere la sociedad,
											porque en última instancia,
											las regulaciones y las leyes
son el reflejo de los valores sociales.
									",What moral decisions should driverless cars make?,Iyad Rahwan,13:35,"AI,driverless cars,law,innovation,morality,technology"
"
","
","
","
","
","
",What moral decisions should driverless cars make?,Iyad Rahwan,13:35,"AI,driverless cars,law,innovation,morality,technology"
"
											So this is what we did.
											With my collaborators,
											Jean-François Bonnefon and Azim Shariff,
											we ran a survey
											in which we presented people
with these types of scenarios.
											We gave them two options
inspired by two philosophers:
											Jeremy Bentham and Immanuel Kant.
											Bentham says the car
should follow utilitarian ethics:
											it should take the action
that will minimize total harm —
											even if that action will kill a bystander
											and even if that action
will kill the passenger.
											Immanuel Kant says the car
should follow duty-bound principles,
											like ""Thou shalt not kill.""
											So you should not take an action
that explicitly harms a human being,
											and you should let the car take its course
											even if that's going to harm more people.
									","
											Então foi o que fizemos.
											Com os meus colaboradores,
											Jean-François Bonnefon e Azim Shariff,
											realizámos um inquérito
											no qual apresentámos às pessoas 
estes tipos de cenários.
											Demos-lhes duas opções, 
inspiradas por dois filósofos:
											Jeremy Bentham e Immanuel Kant.
											Bentham diz que o carro 
deve seguir a ética utilitarista:
											fazer aquilo que irá 
minimizar os danos totais
											— mesmo que isso implique 
matar um peão no passeio
											e, mesmo que isso 
acabe por matar o passageiro.
											Immanul Kant diz que o carro 
deve seguir princípios morais,
											como ""Não matarás.""
											Então, não se deve agir, caso isso 
implique magoar um ser humano,
											e deverá deixar-se que o carro 
siga o seu percurso
											mesmo que se magoem mais pessoas.
									","
											Genau das haben wir getan.
											Mit meinen Mitarbeitern,
											Jean-François Bonnefon und Azim Shariff,
											haben wir eine Umfrage gemacht,
											in der wir Menschen
diese Art von Szenarien zeigten.
											Wir haben ihnen zwei Optionen gegeben,
von zwei Philosophen inspiriert:
											Jeremy Bentham und Immanuel Kant.
											Bentham sagt, dass das Auto
utilitaristischer Ethik folgen sollte:
											Es soll die Handlung ausführen,
die den Gesamtschaden minimiert,
											sogar, wenn dies einen Beobachter tötet
											und sogar, wenn diese Handlung
den Passagier tötet.
											Immanuel Kant sagt, dass das Auto
pflichtgemäßen Prinzipien folgen sollte,
											wie „Du sollst nicht töten.“
											Man sollte also nicht so handeln,
dass es einen Menschen explizit verletzt,
											sondern das Auto seinen Weg nehmen lassen,
											sogar, wenn dies mehr Menschen verletzt.
									","
											Nous avons donc fait ceci.
											En compagnie de mes collaborateurs,
											Jean-François Bonnefon et Azim Shariff,
											nous avons mené une enquête
											où nous avons présenté ces scénarios
aux gens.
											Nous leur avons donné deux options, 
inspirées par deux philosophes :
											Jeremy Bentham et Emmanuel Kant.
											Selon Bentham, la voiture devrait suivre
l'éthique utilitariste :
											son action devrait être celle qui réduit
tous les dommages —
											même si cette action finira par tuer 
un passant
											ou même si elle finira par tuer 
le passager.
											Selon Kant, la voiture devrait agir selon
certains commandements,
											comme  « Tu ne tueras point. »
											Ton action ne devrait donc pas nuire à
un être humain de manière explicite,
											et tu devrais laisser la voiture faire
sa route
											même si plus de gens finiront blessés.
									","
											Böyle yaptık.
											Ekip arkadaşlarım ile birlikte,
											Jean-François Bonnefon ve Azim Shariff,

											bir anket yaptık
											ve bu ankette insanlara
bu tarz senaryolar sunduk.
											Onlara, iki filozoftan ilham aldığımız
iki seçenek sunduk:
											Jeremy Bentham ve Immanuel Kant.

											Bentham'a göre, araba faydacı
bir etiğe göre hareket etmeli:
											büyük çaptaki hasarı en aza
indirgeyecek şekilde hareket etmeli,
											bu eylem bir tanığı öldürecek olsa da,
											bu eylem bir yolcuyu öldürecek olsa da.
											Immanuel Kant'a göre araba,
vazifesinin icabına göre hareket etmeli,
											''Öldürmeyeceksin'' gibi.
											Bariz bir şekilde, bir insana
zarar verecek şekilde hareket etmemeli
											ve araba kendi hâline bırakılmalı,
											daha fazla insana zarar verecek olsa bile.
									","
											Y fue lo que hicimos.
											Con mis colaboradores,
											Jean-François Bonnefon y Azim Shariff,
											hicimos una encuesta
											en la que le propusimos a la gente
este tipo de situaciones.
											Les dimos dos opciones
inspiradas en dos filósofos:
											Jeremy Bentham e Immanuel Kant.
											Bentham dice que el auto
debería seguir la ética del utilitarismo:
											debería tomar la acción
que minimice el daño total,
											aun si esto implica matar a un transeúnte,
											y aun si esto implica matar al pasajero.
											Immanuel Kant dice que el auto
debería seguir la ética del deber,
											tal como ""No matarás"".
											O sea que no deberías tomar ninguna acción
que implique hacerle daño a un ser humano,
											y deberías dejar que el auto siga su curso
											aun si eso resulta en más heridos.
									",What moral decisions should driverless cars make?,Iyad Rahwan,13:35,"AI,driverless cars,law,innovation,morality,technology"
"
","
","
","
","
","
",What moral decisions should driverless cars make?,Iyad Rahwan,13:35,"AI,driverless cars,law,innovation,morality,technology"
