en,pt,es,tr,de,title,speaker,duration,tags
"
","
","
","
","
",The dangerous evolution of HIV,Edsel Salvaña,4:44,"TED Fellows,science,medical research,virus,HIV"
"
											And while we think that HIV is done
											and that the tide has turned for it,
											just like with real tides,
it can come right back.
											In the early 1960s,
malaria was on the ropes.
											As the number of cases dropped,
											people and governments
stopped paying attention.
											The result was a deadly resurgence
of drug-resistant malaria.
									","
											E embora pensemos
que o VIH está controlado
											e que a maré está contra ele,
											tal como as marés reais,
ela pode regressar.
											No início dos anos 60,
a malária estava a desaparecer.
											À medida que o número de casos diminuía
											as pessoas e os governos
deixaram de prestar atenção.
											O resultado foi o reaparecimento mortal
											da malária resistente a medicamentos.
									","
											Y aunque creamos 
que el HIV está controlado
											y que la marea se ha retirado,
											al igual que las mareas verdaderas,
puede volver en cualquier momento.
											A principios de la década del 60,
la malaria estaba bajo control.
											A medida que el número
de casos descendía,
											la gente y los gobiernos
dejaron de prestarle atención.
											El resultado fue el rebrote fatal
de una malaria resistente a los fármacos.
									","
											HIV'in bittiğini
											ve bu dalganın gittiğini düşünürken
											gerçek akıntılarda olduğu gibi
geri gelebilir.
											1960'lı yıllarda
hastalık oranları düştükçe
											sıtma köşeye sıkışmıştı,
											insanlar ve devletler
onunla ilgilenmeyi bıraktı,
											bu durum ilaçlara dirençli 
ölümcül bir sıtmanın doğuşuyla sonuçlandı.
									","
											Und auch wenn wir glauben, 
dass HIV Geschichte ist
											und sich das Blatt gewendet hat,
											kann das Virus, wie ein Blatt im Wind, 
schnurstracks zurückkommen.
											In den frühen 1960ern war Malaria am Ende.
											Als die Anzahl der Malariafälle sank,
											waren die Menschen und Regierungen
nicht mehr aufmerksam.
											Es folgte ein tödlicher Wiederanstieg
einer arzneimittelresistenten Malaria.
									",The dangerous evolution of HIV,Edsel Salvaña,4:44,"TED Fellows,science,medical research,virus,HIV"
"
","
","
","
","
",The dangerous evolution of HIV,Edsel Salvaña,4:44,"TED Fellows,science,medical research,virus,HIV"
"
											We need to think of HIV
											not as a single virus
that we think we've figured out,
											but as a collection of rapidly evolving
and highly unique viruses,
											each of which can set off
the next deadly epidemic.
											We are incorporating
more powerful and new tools
											to help us detect
the next deadly HIV strain,
											and this needs to go hand in hand
with urgent research
											on the behavior and proper treatment
of non-B subtypes.
											We need to convince our governments
											and our funding agencies
											that HIV is not yet done.
									","
											Temos que pensar no VIH
											não como um único vírus
que achamos que já conhecemos,
											mas como um conjunto de vírus
de rápida evolução e muito específicos,
											cada um dos quais pode desencadear
a próxima epidemia mortal.
											Estamos a incorporar instrumentos
novos mais potentes
											que nos ajudam a detetar
a próxima estirpe mortal do VIH
											e isso tem que ser feito a par e passo
com uma investigação urgente
											sobre o comportamento
e o tratamento adequado de subtipos não B.
											Temos que convencer os nossos governos
											e as organizações que nos financiam
											de que o VIH ainda não está controlado.
									","
											Debemos pensar en el VIH
											no como un único virus
que creemos haber identificado,
											sino como un conjunto de virus
muy particulares,
											de rápido desarrollo,
											cada uno de los cuales puede desencadenar
la próxima epidemia mortal.
											Estamos incorporando herramientas
nuevas y más poderosas
											para poder detectar 
la próxima cepa mortal de VIH,
											y esto debe ir de la mano
de urgentes investigaciones
											sobre el comportamiento y el tratamiento
adecuado de los subtipos no B.
											Es necesario convencer a los gobiernos
											y a los organismos de financiación
											de que el VIH no está controlado.
									","
											HIV'e bakış açımız
											anladığımızı sandığımız 
tek bir virüs değil,
											her biri bir sonraki ölümcül salgını
harekete geçirebilecek
											hızla evrim geçiren 
eşsiz virüsler toplamı şeklinde olmalı.
											Bir sonraki ölümcül HIV türünü
belirlememize yardımcı olacak
											daha yeni ve daha güçlü 
araçlar geliştiriyoruz
											ve bunun B alt tipi olmayan virüslerin
davranış ve uygun tedavisi hakkında
											acil bir araştırma ile beraber 
kullanılması gerekiyor.
											Hükûmet ve finansmanlarımızı
											HIV'in bitmediği konusunda
											ikna etmeliyiz.
									","
											Wir dürfen HIV
											nicht als ein einziges Virus sehen,
den wir zu verstehen glauben,
											sondern als Gruppe
von sich schnell ändernden Viren,
											die alle einzigartig sind.
											Jedes einzelne davon kann 
die nächste tödliche Epidemie auslösen.
											Wir beziehen leistungsstärkere
und neue Mittel ein,
											um den nächsten tödlichen
HIV-Stamm zu identifizieren.
											Das muss Hand in Hand mit
dringend benötigter Forschung
											zu Verhalten und richtiger Behandlung
der nicht-B Subtypen gehen.
											Wir müssen unsere Regierungen und
Fördergesellschaften davon überzeugen,
											dass HIV noch nicht Geschichte ist.
									",The dangerous evolution of HIV,Edsel Salvaña,4:44,"TED Fellows,science,medical research,virus,HIV"
"
","
","
","
","
",The dangerous evolution of HIV,Edsel Salvaña,4:44,"TED Fellows,science,medical research,virus,HIV"
"
											Over 35 million people have died of HIV.
											We are on the verge
of an AIDS-free generation.
											We need to pay attention.
											We need to remain vigilant
											and follow through.
											Otherwise, millions more will die.
									","
											Morreram mais de 35 milhões
de pessoas com o VIH.
											Estamos à beira duma geração
isenta de SIDA.
											Temos que prestar atenção.
											Temos que permanecer vigilantes
											e continuar a acompanhar.
											De outro modo, morrerão outros milhões.
									","
											Más de 35 millones de personas 
han muerto por VIH.
											Estamos a las puertas
de una generación libre de SIDA.
											Es importante prestar atención.
											Debemos estar alertas
											y seguir adelante.
											De lo contrario, más millones morirán.
									","
											35 milyonun üzerinde insan 
HIV sebebiyle hayatını kaybetti.
											AIDS olmayan bir neslin eşiğindeyiz.
											Dikkat etmeliyiz.
											Uyanık kalmalı
											ve devam etmeliyiz.
											Yoksa milyonlarcası daha 
hayatını kaybedecek.
									","
											Über 35 Millionen Menschen 
sind bereits an HIV gestorben.
											Wir befinden uns am Rande
einer AIDS-freien Generation.
											Wir müssen aufmerksam sein.
											Wir müssen wachsam bleiben
											und es zu Ende führen.
											Ansonsten werden noch
weitere Millionen sterben.
									",The dangerous evolution of HIV,Edsel Salvaña,4:44,"TED Fellows,science,medical research,virus,HIV"
"
","
","
","
","
",The dangerous evolution of HIV,Edsel Salvaña,4:44,"TED Fellows,science,medical research,virus,HIV"
"
											Thank you.
									","
											Obrigado.
									","
											Gracias.
									","
											Teşekkürler.
									","
											Ich danke Ihnen.
									",The dangerous evolution of HIV,Edsel Salvaña,4:44,"TED Fellows,science,medical research,virus,HIV"
"
","
","
","
","
",The dangerous evolution of HIV,Edsel Salvaña,4:44,"TED Fellows,science,medical research,virus,HIV"
"
											(Applause)
									","
											(Aplausos)
									","
											(Aplausos)
									","
											(Alkışlar)
									","
											(Applaus)
									",The dangerous evolution of HIV,Edsel Salvaña,4:44,"TED Fellows,science,medical research,virus,HIV"
"
","
","
","
","
",The dangerous evolution of HIV,Edsel Salvaña,4:44,"TED Fellows,science,medical research,virus,HIV"
