en,tr,es,de,fr,title,speaker,duration,tags
"
","
","
","
","
","An urgent call to protect the world's ""Third Pole""",Tshering Tobgay,14:33,"environment,nature,sustainability,government,climate change,Anthropocene,politics,collaboration,glacier,conservation,Asia"
"
											1.5 degrees Celsius. ""No way,"" I thought.
											Even the Paris Agreement's
ambitious targets
											aimed to limit global warming
to two degrees centigrade.
											1.5 degrees centigrade is what they call
the best-case scenario.
											""Now this can't be true,"" I thought.
											The Hindu Kush Himalaya region
											is the world's third-largest
repository of ice,
											after the North and South Poles.
											That's why we are also called
the ""Third Pole.""
											There's a lot of ice in the region.
											And yes, the glaciers, they are melting.
											We know that.
											I have been to those in my country.
											I've seen them, and yes, they are melting.
											They are vulnerable.
											""But they can't be that vulnerable,""
I remember thinking.
									","
											1,5 santigrat derece. 
""İmkanı yok"" diye düşündüm.
											Paris Anlaşması'nın iddialı hedefleri bile
											küresel ısınmayı 2 santigrat derece 
ile sınırlandırmayı hedefliyordu,
											1,5 santigrat derece de 
en iyi senaryo dedikleri.
											""Bu doğru olamaz."" diye düşündüm.
											Hindukuş-Himalaya bölgesi
											dünyanın Kuzey ve Güney
Kutuplarından sonraki
											en büyük üçüncü buz deposudur.
											Ki bu nedenle ""Üçüncü Kutup"" olarak
adlandırılır.
											Bölgede çokca buz var.
											Evet, buzullar eriyor.
											Bunu biliyoruz.
											Ülkemdekilere de gittim.
											Gördüm evet, onlar da eriyorlar.
											Savunmasızlar.
											""Bu kadar da savunmasız olamazlar."" 
diye düşündüğümü hatırlıyorum.
									","
											A 1,5 °C... ""De ninguna manera"", me dije.
											Hasta los objetivos ambiciosos
del Acuerdo de París
											tratan de limitar el 
calentamiento global a 2 °C.
											Lo de 1,5 °C sería 
en el mejor de los casos.
											""Esto no puede ser verdad"", pensé.
											La región Hindú Kush Himalaya
											es el tercer depósito de hielo
más grande del mundo
											después de los Polos Norte y Sur.
											Por eso se la conoce 
como el ""tercer polo"".
											En la región hay mucho hielo.
											Y es verdad, los glaciares
se están derritiendo.
											Lo sabemos.
											He visitado los de mi país.
											Los he visto y sí, se están derritiendo.
											Son vulnerables.
											""Pero no pueden ser tan vulnerables"",
recuerdo haber pensado.
									","
											schmelzen die Gletscher noch schneller.
											1,5 Grad Celsius. 
""Keine Chance"", dachte ich.
											Sogar das Pariser Übereinkommen
											wollte den Anstieg der globalen Erwärmung
auf zwei Grad Celsius begrenzen.
											1,5 Grad Celsius wäre
der absolut günstigste Fall.
											""Das kann nicht wahr sein"", dachte ich.
											Die Hindukusch-Himalaya-Region
											ist die weltweit drittgrößte Eis-Quelle,

											nach dem Nord- und Südpol.
											Deshalb nennen wir ihn auch
den ""Dritten Pol"".
											Dort ist eine Menge Eis.
											Und doch schmelzen die Gletscher.
											Wir wissen das.
											Ich war dort.
											Ich sah sie. Sie schmelzen.
											Sie sind empfindlich.
									","
											1,5 degré Celsius.
« Impossible », ai-je pensé.
											Même l'objectif ambitieux
de l'Accord de Paris
											ne vise à limiter le réchauffement
climatique que de deux degrés Celsius.
											1,5 degré centigrade est ce qu'on désigne
comme le scénario optimiste.
											« C'est impossible », ai-je pensé.
											L'aire Hindou-Kouch-Himalaya
											est la troisième plus grande
réserve de glace au monde,
											après les pôles Nord et Sud.
											D'où son surnom de « troisième pôle ».
											Il y a beaucoup de glace dans la région.
											Et oui, les glaciers
sont en train de fondre.
											Nous le savons.
											J'ai vu ceux de mon pays.
											Je les ai vus et oui, ils fondent.
											Ils sont vulnérables.
											« Mais, à ce point ? » pensais-je alors.
									","An urgent call to protect the world's ""Third Pole""",Tshering Tobgay,14:33,"environment,nature,sustainability,government,climate change,Anthropocene,politics,collaboration,glacier,conservation,Asia"
"
","
","
","
","
","An urgent call to protect the world's ""Third Pole""",Tshering Tobgay,14:33,"environment,nature,sustainability,government,climate change,Anthropocene,politics,collaboration,glacier,conservation,Asia"
"
											But what if they are?
											What if our glaciers melt
much more quickly than I anticipate?
											What if our glaciers are much more
vulnerable than previously thought?
											And what if, as a result,
the glacial lakes —
											now these are lakes
that form when glaciers melt —
											what if those lakes burst
under the weight of additional water?
											And what if those floods
cascade into other glacial lakes,
											creating even bigger outbursts?
											That would create unprecedented
flash floods in my country.
											That would wreck my country.
											That would wreak havoc in my country.
											That would have the potential
to literally destroy our land,
											our livelihood, our way of life.
									","
											Ama ya öylelerse?
											Ya buzullarımız tahmin ettiğimden
daha hızlı eriyorsa?
											Ya buzullarımız daha önce sandığımızdan
çok daha savunmasızlarsa?
											Ya sonuçta buzul gölleri,
											yani buzulların erimesinden
oluşan bu göller,
											üzerlerine gelen ek suyun ağırlığından
taşarlarsa?
											Ya bu taşkınlar diğer buzul göllerine akıp
											daha da büyük taşkınlar yaratırsa?
											Bu ülkemde benzeri görülmemiş 
su baskınları yaratır.
											Bu da ülkemi enkaza çevirir.
											Bu da ülkemi mahveder.
											Bu da toprağımızı, geçimimizi, yaşam
tarzımızı kelimenin tam anlamıyla
											yok etme potansiyeline sahip olur.
									","
											¿Y si lo son?
											¿Y si nuestros glaciares se derriten
mucho más rápido de lo que anticipo?
											¿Y si nuestros glaciares son mucho más
vulnerables de lo que se pensaba?
											¿Y qué pasa si, como resultado,
los lagos glaciares,
											esos lagos que se forman
cuando se derriten los glaciares,
											revientan bajo el peso de agua adicional?
											¿Y si esa inundación se vierte
en otros lagos glaciares
											y causa mayores desbordamientos?
											Eso daría lugar a inundaciones repentinas
sin parangón en mi país.
											Eso destruiría mi país.
											Eso causaría estragos en mi país.
											Eso tendría el potencial
para literalmente destruir nuestra tierra,
											nuestro sustento, nuestra forma de vida.
									","
											""Aber sie können doch nicht
so empfindlich sein"", dachte ich mir.
											Aber was, wenn sie es doch sind?
											Was, wenn unsere Gletscher
schneller schmelzen, als erwartet?
											Was, wenn unsere Gletscher
viel empfindlicher sind, als ich dachte?
											Was, wenn als Folge davon,
die Gletscherseen —
											das sind Seen, die entstehen,
wenn Gletscher schmelzen —
											ausbrechen, unter dem Gewicht
des zusätzlichen Wassers?
											Was, wenn diese Fluten
in andere Gletscherseen überlaufen
											und zu noch größeren Ausbrüchen führen?
											Das würde zu unvorstellbaren
Überflutungen in meinem Land führen.
											Das würde mein Land zerstören.
											Das würde eine Verwüstung
in meinem Land anrichten.
											Es würde unser Land
wortwörtlich vernichten,
									","
											Et si c’était le cas ?
											Et si nos glaciers fondaient
plus vite que prévu ?
											Et si nos glaciers étaient
plus vulnérables que prévu ?
											Et si, sous cet effet,
les lacs glaciaires,
											formés par la fonte des glaciers –
											et si ces lacs débordaient
toute cette eau supplémentaire ?
											Et si ces eaux se déversaient
vers d'autres lacs glaciaires,
											créant des débordements
encore plus importants ?
											Des crues soudaines sans précédent
inonderaient le Bhoutan.
											Elles ruineraient mon pays.
											Elles ravageraient mon pays.
											Elles pourraient littéralement
détruire nos terres,
											notre culture, notre mode de vie.
									","An urgent call to protect the world's ""Third Pole""",Tshering Tobgay,14:33,"environment,nature,sustainability,government,climate change,Anthropocene,politics,collaboration,glacier,conservation,Asia"
"
","
","
","
","
","An urgent call to protect the world's ""Third Pole""",Tshering Tobgay,14:33,"environment,nature,sustainability,government,climate change,Anthropocene,politics,collaboration,glacier,conservation,Asia"
"
											So that report caught my attention
											in ways that political stunts couldn't.
											It was put together
											by the International Centre for Integrated
Mountain Development, or ICIMOD,
											which is based in Nepal.
											Scientists and experts have studied
our glaciers for decades,
											and their report kept me awake at night,
agonizing about the bad news
											and what it meant for my country
											and my people.
											So after several sleepless nights,
											I went to Nepal to visit ICIMOD.
									","
											Bu yüzden bu rapor dikkatimi,
											o politik gösterilerin çekemediği
şekillerde çekti.
											Rapor, Nepal merkezli
											Uluslararası Bütünleşik Dağ Geliştirme 
Merkezi (ICIMOD) tarafından hazırlandı.
											Bilim insanları ve uzmanlar 
buzullarımızı yıllarca çalıştılar
											ve raporları, kötü haberleri ve
ülkem ve insanlarım için
											ne anlama geldiği konusunda 
acı çektirerek geceleri uykusuz bıraktı.
											Uykusuz geçen birkaç geceden sonra
											ICIMOD'u ziyarete Nepal'e gittim.
									","
											Ese informe me hizo prestar atención
											de un modo que los trucos políticos 
no pudieron.
											Había sido producido
											por el Centro Internacional para 
el Desarrollo Integrado de las Montañas,
											o ICIMOD, basado en Nepal.
											Los científicos y expertos han estudiado
nuestros glaciares durante décadas,
											y su informe me mantenía despierto,
agonizando por las malas noticias
											y por lo que implicaban para mi país
											y para mi gente.
											Así que, después de varias 
noches de insomnio,
											viajé a Nepal y visité el ICIMOD.
									","
											unsere Existenz, unsere Lebensweise.
											Dieser Bericht machte mich
darauf aufmerksam,
											wie es politische Aktionen nicht konnten.
											Er wurde erstellt vom
											Internationalen Zentrum für Integrierte 
Entwicklung in Bergregionen, ICIMOD,
											das sich in Nepal befindet.
											Wissenschaftler und Experten erforschen
unsere Gletscher seit Jahrzehnten
											und ihr Bericht bereitete mir
schlaflose und qualvolle Nächte,
											aufgrund dieser schlimmen Nachricht
und was das für mein Land bedeutete
											und für meine Leute.
											Nach einigen schlaflosen Nächten
									","
											Ce rapport a donc attiré mon attention
											d'une manière que les coups médiatiques
n'avaient pas réussi à faire.
											Il a été publié
											par l'ICIMOD, le Centre International pour
le Développement Intégré des Montagnes,
											qui est basé au Népal.
											Des scientifiques et des experts ont
étudié nos glaciers pendant des décennies
											et leur rapport m'a empêché de dormir,
tourmenté par cette terrible nouvelle
											et ce qu'elle signifiait pour mon pays
											et ses habitants.
											Après plusieurs nuits blanches,
											je suis allé voir l'ICIMOD au Népal.
									","An urgent call to protect the world's ""Third Pole""",Tshering Tobgay,14:33,"environment,nature,sustainability,government,climate change,Anthropocene,politics,collaboration,glacier,conservation,Asia"
"
","
","
","
","
","An urgent call to protect the world's ""Third Pole""",Tshering Tobgay,14:33,"environment,nature,sustainability,government,climate change,Anthropocene,politics,collaboration,glacier,conservation,Asia"
"
											I found a team of highly competent
and dedicated scientists there,
											and here's what they told me.
									","
											Orada çok yetenekli ve özverili bilim
insanlarından oluşan bir ekip buldum
											ve bana şunları söylediler:
									","
											Me encontré con un equipo de científicos
altamente competentes y dedicados,
											y esto es lo que me dijeron.
									","
											ging ich nach Nepal zu ICIMOD.
											Dort fand ich ein kompetentes 
und engagiertes Team von Wissenschaftlern.
									","
											J'y ai rencontré une équipe
de scientifiques dévoués et compétents
											et voilà ce qu'ils m'ont dit.
									","An urgent call to protect the world's ""Third Pole""",Tshering Tobgay,14:33,"environment,nature,sustainability,government,climate change,Anthropocene,politics,collaboration,glacier,conservation,Asia"
"
","
","
","
","
","An urgent call to protect the world's ""Third Pole""",Tshering Tobgay,14:33,"environment,nature,sustainability,government,climate change,Anthropocene,politics,collaboration,glacier,conservation,Asia"
"
											Number one:
											the Hindu Kush Himalaya glaciers
have been melting for some time now.
											Take that glacier, for instance.
											It's on Mount Everest.
											As you can see, this once massive glacier
has already lost much of its ice.
									","
											İlk olarak:
											Hindukuş-Himalaya buzulları
bir süredir eriyorlarmış.
											Örneğin, şu buzulu ele alalım.
											Everest Dağı'nda.
											Görebildiğiniz gibi bir zamanlar devasa
bir buzulken, buzunun çoğunu kaybetmiş.
									","
											Primero:
											los glaciares del Hindú Kush Himalaya
se están derritiendo desde hace tiempo.
											Consideren este glaciar, por ejemplo.
											Está en el monte Everest.
											Como pueden ver, este otrora enorme
glaciar ya perdió gran parte de su hielo.
									","
											Sie sagten mir Folgendes.
											Erstens:
											Die Gletscher des Hindukusch Himalaya
schmelzen schon seit einiger Zeit.
											Dieser Gletscher zum Beispiel.
											Er ist auf dem Mount Everest.
									","
											Premièrement :
											les glaciers de l'Hindou-Kouch-Himalaya
fondent depuis longtemps déjà.
											Ce glacier, par exemple,
											est situé sur l'Everest.
											On peut le voir, ce glacier massif
a déjà perdu beaucoup de glace.
									","An urgent call to protect the world's ""Third Pole""",Tshering Tobgay,14:33,"environment,nature,sustainability,government,climate change,Anthropocene,politics,collaboration,glacier,conservation,Asia"
"
","
","
","
","
","An urgent call to protect the world's ""Third Pole""",Tshering Tobgay,14:33,"environment,nature,sustainability,government,climate change,Anthropocene,politics,collaboration,glacier,conservation,Asia"
"
											Number two:
											the glaciers are now melting
much more quickly —
											so quickly, in fact, that at just
1.5 degrees centigrade of global warming,
											one-third of the glaciers would melt.
											At two degrees centigrade
of global warming,
											half the glaciers would disappear.
											And if current trends were to continue,
											a full two-thirds
of our glaciers would vanish.
									","
											İkinci olarak:
											Buzullar şu an çok daha hızlı eriyor,
											o kadar hızlı ki sadece 1,5 santigrat
derecelik küresel ısınmada
											buzulların üçte biri erimiş olacak.
											2 santigrat derecelik küresel ısınmada ise
											buzulların yarısı yok olabilir.
											Eğer şu anki durum aynen devam ederse
											buzullarımızın üçte ikisi yok olabilir.
									","
											Segundo:
											los glaciares se están
derritiendo mucho más rápido,
											tan rápido, que con solo 
1,5 °C de calentamiento global,
											un tercio de los glaciares se derretirían.
											Unos 2 °C de calentamiento global,
											y la mitad de los glaciares 
desaparecerían.
											Y si estas tendencias continúan,
											dos tercios de nuestros glaciares
desaparecerían.
									","
											Wie Sie sehen, verlor dieser einst 
gewaltige Gletscher eine Menge Eis.
											Zweitens:
											Die Gletscher schmelzen heute
viel schneller —
											so schnell, dass bereits bei 
1,5 Grad Celsius globaler Erwärmung
											ein Drittel der Gletscher
schmelzen würden.
											Bei zwei Grad Celsius
globaler Erderwärmung
											würde die Hälfte
der Gletscher verschwinden.
											Wenn es sich weiter so entwickelt,
									","
											Deuxièmement :
											les glaciers fondent plus vite maintenant.
											Si vite qu'avec 1,5 degré Celsius en plus
causé par le réchauffement climatique,
											un tiers des glaciers fondra.
											Avec deux degrés Celsius
de réchauffement climatique,
											la moitié des glaciers disparaîtra.
											Et si la tendance actuelle se confirme,
											les deux tiers de nos glaciers
disparaîtront.
									","An urgent call to protect the world's ""Third Pole""",Tshering Tobgay,14:33,"environment,nature,sustainability,government,climate change,Anthropocene,politics,collaboration,glacier,conservation,Asia"
"
","
","
","
","
","An urgent call to protect the world's ""Third Pole""",Tshering Tobgay,14:33,"environment,nature,sustainability,government,climate change,Anthropocene,politics,collaboration,glacier,conservation,Asia"
"
											Number three:
											global warming means that our mountains
receive more rain and less snow ...
											and, unlike snowfall, rain melts ice,
											which just hurts
the health of our glaciers.
									","
											Üçüncü olarak:
											Küresel ısınma; dağlarımızın daha çok
yağmur, daha az kar alması demek
											ve karın aksine yağmur buzu eritir
											ve buzullarımızın sağlığına zarar verir.
									","
											Tercero:
											el calentamiento global implica
más lluvia y menos nieve en las montañas,
											y, a diferencia de cuando nieva,
la lluvia derrite el hielo,
											y eso daña la salud de los glaciares.
									","
											würden ganze zwei Drittel 
unserer Gletscher verschwinden.
											Drittens:
											Globale Erwärmung bedeutet
mehr Regen als Schnee in den Bergen ...
											Eis schmilzt durch Regen,
									","
											Troisièmement :
											le réchauffement climatique va apporter à
nos montagnes plus de pluie que de neige
											et, contrairement à la neige,
la pluie fait fondre la glace,
											ce qui abîme nos glaciers.
									","An urgent call to protect the world's ""Third Pole""",Tshering Tobgay,14:33,"environment,nature,sustainability,government,climate change,Anthropocene,politics,collaboration,glacier,conservation,Asia"
"
","
","
","
","
","An urgent call to protect the world's ""Third Pole""",Tshering Tobgay,14:33,"environment,nature,sustainability,government,climate change,Anthropocene,politics,collaboration,glacier,conservation,Asia"
"
											Number four:
											pollution in the region has increased
the amount of black carbon
											that's deposited on our glaciers.
											Black carbon is like soot.
											Black carbon absorbs heat
											and just accelerates
the melting of glaciers.
									","
											Dördüncü olarak:
											Bölgedeki kirlilik buzullarımızda
depolanan
											kara karbon miktarını artırdı.
											Kara karbon, is gibidir.
											Sıcaklığı emer
											ve buzulların erimesini hızlandırır.
									","
											Cuarto:
											la contaminación en la región ha aumentado
la cantidad de carbono negro
											depositado en los glaciares.
											El carbono negro es como el hollín.
											El carbono negro absorbe el calor
											y eso acelera el derretimiento
de los glaciares.
									","
											was unseren Gletschern Schaden zufügt.
											Viertens:
											Die Verschmutzung der Region,
erhöhte den Anteil des Kohlenstoffs,
											das sich auf unseren Gletschern befindet.
											Schwarzer Kohlenstoff ist wie Ruß.
											Schwarzer Kohlenstoff absorbiert Hitze
									","
											Quatrièmement :
											la pollution de la région a augmenté
la quantité du charbon noir
											qui se dépose sur nos glaciers.
											C'est comme de la suie.
											Le charbon noir absorbe la chaleur
											et accélère la fonte des glaciers.
									","An urgent call to protect the world's ""Third Pole""",Tshering Tobgay,14:33,"environment,nature,sustainability,government,climate change,Anthropocene,politics,collaboration,glacier,conservation,Asia"
"
","
","
","
","
","An urgent call to protect the world's ""Third Pole""",Tshering Tobgay,14:33,"environment,nature,sustainability,government,climate change,Anthropocene,politics,collaboration,glacier,conservation,Asia"
"
											To summarize,
											our glaciers are melting rapidly,
											and global warming is making them
melt much more quickly.
									","
											Özetleyecek olursak,
											buzullarımız süratle eriyor
											ve küresel ısınma da çok daha
hızlı erimelerine neden oluyor.
									","
											En resumen,
											nuestros glaciares se están
derritiendo rápidamente,
											y el calentamiento global los hace
derretir mucho más rápido.
									","
											und beschleunigt
das Schmelzen der Gletscher
											Ich fasse zusammen:
											Unsere Gletscher schmelzen schnell
									","
											Pour résumer :
											nos glaciers fondent rapidement
											et le réchauffement global les fait fondre
encore plus rapidement.
									","An urgent call to protect the world's ""Third Pole""",Tshering Tobgay,14:33,"environment,nature,sustainability,government,climate change,Anthropocene,politics,collaboration,glacier,conservation,Asia"
"
","
","
","
","
","An urgent call to protect the world's ""Third Pole""",Tshering Tobgay,14:33,"environment,nature,sustainability,government,climate change,Anthropocene,politics,collaboration,glacier,conservation,Asia"
