es,en,pt,fr,title,speaker,duration,tags
"
											Cuando me mudé a Berlín
sentí en carne propia
											todo el impacto que la letra dibujada
puede tener en nuestro día a día.
											Llegué a una ciudad nueva y eso
fue para mí emocionante, novedoso.
											Ahora, lidiar con una lengua desconocida
											fue por momentos
muy frustrante e incómodo.
											Varias veces me
he encontrado en una fiesta
											agarrada a mi copa de vino,
											sin entender ni una palabra
de lo que se hablaba a mi alrededor.
											Y por supuesto con una sonrisa
como si lo entendiera todo.
											Me sentía limitada en mi capacidad
de decir lo que pensaba,
											sentía,
											creía.
											No solo no entendía las conversaciones,
											la calle estaba llena de carteles
y de textos que no podía leer.
									","
											When I moved to Berlin,
I experienced firsthand
											all the impact that drawn letters
can have in our day-to-day life.
											I arrived in a new city, which was
exciting and novel for me.
											Now, dealing with an unfamiliar language
was at times very frustrating
											and uncomfortable.
											I found myself several times at parties
clutching my glass of wine,
											without understanding a single word
of what was being said around me.
											And of course, I'd smile
as if I understood everything.
											I felt limited in my ability
to say what I thought,
											what I felt,
											what I believed.
											Not only did I not understand
the conversations,
											but the streets were full of signs
and text that I couldn't read.
									","
											Quando fui para Berlim,
senti na minha pele
											todo o impacto que a letra desenhada
pode ter no nosso dia a dia.
											Cheguei a uma cidade nova 
e isso para mim foi emocionante, inovador.
											Mas lidar com uma língua desconhecida
											foi, por algum tempo,
muito frustrante e incómodo.
											Várias vezes me encontrei numa festa
											agarrada ao meu copo de vinho,
											sem perceber uma palavra
do que se dizia à minha volta.
											E, claro, com um sorriso
como se percebesse tudo.
											Sentia-me limitada na minha capacidade
de dizer o que pensava,
											o que sentia,
											o que achava.
											Não era só não perceber as conversas,
											a rua estava cheia de cartazes
e de textos que eu não conseguia ler.
									","
											Quand j'ai déménagé à Berlin,
j'ai senti dans ma chair
											tout l'impact que la lettre dessinée
peut avoir dans notre quotidien.
											J'arrivais dans une ville neuve,
c'était émouvant, novateur pour moi.
											Faire face dans une langue inconnue
											était par moment
très frustrant et inconfortable.
											Je me suis retrouvée plein de fois
dans des fêtes
											agrippée à mon verre de vin,
											sans comprendre aucun mot
de ce qui se disait autour de moi.
											Bien entendu, je souriais,
comme si j'avais tout compris.
											Je me sentais limitée dans ma capacité
de dire ce que je pensais,
											ce que je ressentais,
											ce en quoi je croyais.
											Non seulement je ne comprenais pas
les discussions
											mais aussi la rue était pleine d'affiches
et de textes que je ne pouvais pas lire.
									",The secret language of letter design,Martina Flor,12:15,"art,TED en Español,communication,books,design,creativity,TEDx"
"
","
","
","
",The secret language of letter design,Martina Flor,12:15,"art,TED en Español,communication,books,design,creativity,TEDx"
"
											Sin embargo el dibujo de las letras
me daba pistas,
											me abría una ventanita
para entender las pequeñas historias
											que están encerradas en la forma.
											Reconocía en qué lugares
la tradición era importante.
									","
											But the shapes of the letters
gave me clues;
											they would open up a little window
											to understanding the stories
enclosed in those shapes.
											I recognized places
where tradition was important.
									","
											Mas o traçado das letras
dava-me pistas,
											abria-me uma janelinha
para perceber as historietas
											que estavam encerradas na forma.
											Reconhecia em que sítios
era importante a tradução.
									","
											Cependant, le dessin des lettres
me donnait des pistes,
											m'ouvrait une petite fenêtre,
pour comprendre les histoires
											que renfermait leur forme.
											Je reconnaissais dans quel lieu
la tradition était importante.
									",The secret language of letter design,Martina Flor,12:15,"art,TED en Español,communication,books,design,creativity,TEDx"
"
","
","
","
",The secret language of letter design,Martina Flor,12:15,"art,TED en Español,communication,books,design,creativity,TEDx"
"
											[Panadería Pastelería Café Restaurante]
									","
											[Bakery Pastries Café Restaurant]
									","
											[Bäckerei = Padaria]
									","
											[Boulangerie Pâtisserie Café Restaurant]
									",The secret language of letter design,Martina Flor,12:15,"art,TED en Español,communication,books,design,creativity,TEDx"
"
","
","
","
",The secret language of letter design,Martina Flor,12:15,"art,TED en Español,communication,books,design,creativity,TEDx"
"
											O entendía cuando alguien
quería darme una indicación
											e intuía que aquí era mejor no pasar.
									","
											Or I'd know when someone
was trying to give me a signal,
											and my gut would tell me
it was better to stay away.
									","
											[verboten=proibido]
											Percebia quando alguém
me queria dar uma indicação
									","
											Ou je comprenais quand on
voulait me donner un conseil
											et je pressentais que c'était mieux
de ne pas passer là.
									",The secret language of letter design,Martina Flor,12:15,"art,TED en Español,communication,books,design,creativity,TEDx"
"
","
","
","
",The secret language of letter design,Martina Flor,12:15,"art,TED en Español,communication,books,design,creativity,TEDx"
"
											[Prohibido entrar. Los padres
son responsables de sus hijos]
									","
											[No trespassing!]
									","
											e eu intuía que aqui
era melhor não passar.
									","
											[Interdit d'entrer sur le chantier]
									",The secret language of letter design,Martina Flor,12:15,"art,TED en Español,communication,books,design,creativity,TEDx"
"
","
","
","
",The secret language of letter design,Martina Flor,12:15,"art,TED en Español,communication,books,design,creativity,TEDx"
"
											Y podía ver cuándo algo
estaba hecho para siempre.
											Las formas de las letras me ayudaban
a entender mejor mi entorno
											y a navegar la ciudad.
									","
											I could also tell when something
was made to last forever.
											The shapes of letters helped me
understand my surroundings better
											and navigate the city.
									","
											E podia ver quando uma coisa
estava feita para sempre.
											As formas das letras ajudavam-me
a entender melhor o ambiente
											e a circular pela cidade.
									","
											Je voyais quand une chose
était là pour toujours.
											La typographie m'aidait
à mieux comprendre mon environnement
											et à me déplacer dans la ville.
									",The secret language of letter design,Martina Flor,12:15,"art,TED en Español,communication,books,design,creativity,TEDx"
"
","
","
","
",The secret language of letter design,Martina Flor,12:15,"art,TED en Español,communication,books,design,creativity,TEDx"
"
											Hace poco estuve en París
											y algo similar me ocurrió.
											Después de pasar algunos días en la ciudad
											estaba en busca de algo rico
para llevar de vuelta a casa.
											Caminé y caminé y caminé
											hasta que encontré la panadería perfecta.
											Su cartel lo decía todo.
									","
											I was in Paris recently,
											and something similar happened to me.
											After a few days in the city,
											I was on the lookout for something
tasty to take back home.
											So I walked and walked and walked
until I found the perfect bakery.
											The sign said it all.
									","
											Há pouco tempo, estive em Paris
											e aconteceu uma coisa semelhante.
											Depois de passar uns dias na cidade,
											andava à procura de uma coisa boa
para levar para casa.
											Andei, andei, andei,
											até que encontrei a padaria perfeita.
											O dístico dizia tudo.
									","
											Il y a peu j'étais à Paris
											et il s'est passé la même chose.
											Après quelques jours dans la ville,
											je cherchais quelque chose de bon
pour en ramener à la maison.
											J'ai marché, marché, marché
											jusqu'à trouver la boulangerie parfaite.
											Son enseigne disait tout d'elle.
									",The secret language of letter design,Martina Flor,12:15,"art,TED en Español,communication,books,design,creativity,TEDx"
"
","
","
","
",The secret language of letter design,Martina Flor,12:15,"art,TED en Español,communication,books,design,creativity,TEDx"
"
											[Panadería]
									","
											[Bakery]
									","
											[Em francês: Padaria]
									","
											[Boulangerie]
									",The secret language of letter design,Martina Flor,12:15,"art,TED en Español,communication,books,design,creativity,TEDx"
"
","
","
","
",The secret language of letter design,Martina Flor,12:15,"art,TED en Español,communication,books,design,creativity,TEDx"
"
											Lo veo, y aún hoy, me imagino
al maestro panadero
											dedicándole a cada pan
											el mismo tiempo que el artesano
le dedicó a cada letra de esta palabra.
											Puedo ver el pan con
los ingredientes justos
											siendo amasado con suavidad y cuidado
											de la misma forma en que el artesano
dibujó las terminales de estas letras
											con curvas suaves y precisas.
											Veo al maestro panadero
colocando los bollos
											sobre una fina capa de harina
para que no se queme la base.
											Pienso en el artesano metiendo
los mosaicos uno a uno en el horno
											con cuidado de no correr la tinta.
											El amor por los detalles
del maestro panadero
											está reflejado en la atención
puesta al crear este cartel.
											Sin haber probado su pan
ya nos imaginamos que sabe bien.
											Y doy fe, estaba riquísimo.
									","
											I see it, and even today,
I imagine the master baker
											dedicating the same amount of time
to each loaf of bread
											that the craftsman dedicated
to each letter of this word.
											I can see the bread,
with just the right ingredients,
											being kneaded softly and carefully,
											in the same way the craftsman
drew the ends of the letters
											with smooth and precise curves.
											I see the master baker placing
the buns over a thin layer of flour
											so the bottoms don't burn.
											I think of the craftsman putting
the mosaics in the oven one by one,
											being careful to not let the ink run.
											The love for detail
that the master baker has
											is reflected in the attention
that went into creating this sign.
											Without having tried their bread,
we already imagine it tastes good.
											And I can vouch for it; it was delicious.
									","
											Estou a vê-lo e, hoje ainda,
imagino o mestre padeiro
											a dedicar a cada pão
											o mesmo tempo que o artesão
dedicou a cada letra desta palavra.
											Posso ver o pão com os ingredientes certos
											a ser amassado com suavidade e cuidado
											da mesma forma que o artesão
desenhou os remates destas letras
											com curvas suaves e precisas.
											Vejo o mestre padeiro
a colocar os bolos
											sobre uma fina camada de farinha
para não queimar a base.
											Penso no artesão a pôr os azulejos
no forno, um por um,
											com cuidado para a tinta não escorrer.
											O amor pelos pormenores
do mestre padeiro
											está refletido na atenção
prestada ao criar este dístico.
											Antes de ter provado o pão
já imaginamos que ele sabe bem.
											E juro, estava ótimo.
									","
											Je la vois, et même aujourd'hui,
j'imagine le maître boulanger
											consacrer à chaque pain
											le même temps que l'artisan
a dédié à chaque lettre de ce mot.
											Je peux voir le pain avec
les ingrédients précis
											se faire pétrir avec douceur et attention
											de la même façon que l'artisan
a dessiné la fin des lettres
											avec des courbes douces et précises.
											Je vois le maître boulanger
plaçant les viennoiseries
											sous une fine couche de farine
pour que la base ne brûle pas.
											Je pense à l'artisan installant les
carreaux de mosaïque un à un sur le four
											avec soin pour ne
pas faire couler l'encre.
											L'amour du maître boulanger
pour les détails
											se reflète dans l'attention
portée à la création de cette enseigne.
											Sans avoir goûté son pain,
on imagine déjà qu'il a bon goût.
											Et je certifie qu'il était délicieux.
									",The secret language of letter design,Martina Flor,12:15,"art,TED en Español,communication,books,design,creativity,TEDx"
"
","
","
","
",The secret language of letter design,Martina Flor,12:15,"art,TED en Español,communication,books,design,creativity,TEDx"
"
											Yo soy letrista, y mi trabajo es ese,
el de dibujar letras.
											Lo mismo que para preparar el pan,
requiere cuidado en su elaboración,
											una medida justa de sus ingredientes
											y cariño por los detalles.
											Nuestro alfabeto es mi materia prima,
y a la vez, mi limitación.
											La estructura básica de las letras
es para mí un campo de juego
											en donde la única regla es que
el lector pueda, al final del camino,
											leer el mensaje.
											Déjenme mostrarles cómo trabajo,
											cómo yo amaso mi pan.
									","
											I'm a letterer; that's my job —
											to draw letters.
											Just like when you make bread,
it requires care in its preparation,
											just the right amount of ingredients
											and love for the details.
											Our alphabet is at the same time
my raw material and my limitation.
											The basic structure of the letters
is for me a playing field,
											where the only rule is that the reader,
at the end of the road,
											will be able to read the message.
											Let me show you how I work,
											how I ""knead my bread.""
									","
											Sou ""designer"" gráfica.
Este é o meu trabalho, desenhar letras.
											Tal como para preparar o pão,
é preciso cuidado na sua elaboração,
											uma medida certa dos ingredientes
											e carinho para com os pormenores.
											O nosso alfabeto é a minha matéria-prima
e, ao mesmo tempo, a minha limitação.
											A estrutura básica das letras
é para mim um campo de jogos
											em que a única regra é que o leitor
possa, no final do caminho,
											ler a mensagem.
											Vou mostrar-vos como trabalho,
											como amasso o meu pão.
									","
											Je suis typographe, et mon travail,
c'est de dessiner des lettres.
											Comme pour préparer le pain,
qui requiert du soin dans son élaboration,
											un dosage juste de ses ingrédients
											et un amour des détails.
											Notre alphabet est ma matière première
et, en même temps, ma limite.
											La structure basique des lettres
est pour moi un terrain de jeu
											où la règle unique est que
le lecteur puisse, au bout du compte,
											lire le message.
											Laissez-moi vous montrer
comment je travaille,
											comment je pétris mon pain.
									",The secret language of letter design,Martina Flor,12:15,"art,TED en Español,communication,books,design,creativity,TEDx"
"
","
","
","
",The secret language of letter design,Martina Flor,12:15,"art,TED en Español,communication,books,design,creativity,TEDx"
"
											Hace un tiempo tuve el encargo
de hacer la tapa de un libro clásico,
											""Alicia en el país de las maravillas"".
											Alicia se caía en una madriguera
											y comenzaba un viaje absurdo por
un mundo de fantasía, ¿se acuerdan?
											Este, en esta ocasión,
el nombre del cuento,
											es mi materia prima.
											A primera vista hay cosas
que no son tan importantes
											y puedo decidir bajar su tamaño.
											Por ejemplo ""en el"" y ""de las""
van a tener una escala bien pequeña.
											Después probé algunas ideas.
											¿Qué pasaría si para comunicar
la idea de ""maravilla""
											usara mi escritura en su mejor expresión,
											con muchos rulos y florituras
por aquí, por allá?
											O ¿qué pasaría si me basara más
en que el libro es un clásico
											y usara formas de letras
más convencionales,
											haciendo que todo se vea
un poco más rígido y serio,
											como una enciclopedia
o como en los libros antiguos?
											O ¿cómo se podría ver, si siendo
que este libro tiene tanto sinsentido,
											combinara ambos universos
en una misma composición —
											letras rígidas y blandas conviviendo
en una misma estructura?
											Esta idea me gusta
y voy a trabajarla en detalle.
									","
											A while back, I was commissioned
to design the cover of a classic book,
											""Alice in Wonderland.""
											Alice falls in a burrow
											and begins an absurd journey
through a world of fantasy, remember?
											In this situation, the title of the story
is my raw material.
											At first glance, there are elements
that are not very important,
											and I can decide to make them smaller.
											For example, I'll write ""in""
on a smaller scale.
											Then I'll try some other ideas.
											What if, to communicate
the idea of ""wonder,""
											I used my best handwriting,
											with lots of curleycues here and there?
											Or what if I focused more on the fact
that the book is a classic
											and used more conventional lettering,
											making everything look
a little more stiff and serious,
											like in an encyclopedia or old books?
											Or how would it look, considering
this book has so much gibberish,
											if I combined both universes
in a single arrangement:
											rigid letters and smooth letters
living together in the same composition.
											I like this idea,
and I'll work on it in detail.
									","
											Há tempos, encomendaram-me
a capa de um livro clássico:
											""Alice no País das Maravilhas"".
											Alice caiu numa toca
											e começou uma viagem absurda
por um mundo de fantasia, lembram-se?
											Nesta ocasião, o nome do conto
											é a minha matéria-prima.
											À primeira vista, há coisas
que não são muito importantes
											e posso decidir reduzir-lhes o tamanho.
											Por exemplo, ""no"" e ""das""
vão ficar numa escala muito pequena.
											Depois, experimentei algumas ideias.
											Que tal se, para comunicar
a ideia de ""maravilhas""
											usasse a minha letra
o mais bem feita possível,
											com muitos cachos e floreados
por aqui e por ali?
											Ou então, que tal se me baseasse mais
no livro ser um clássico
											e usasse formas de letras
mais convencionais
											tornando tudo um pouco
mais rígido e sério,
											como uma enciclopédia
ou como nos livros antigos?
											Ou que tal ficaria se, já que este livro
tem tanto de absurdo,
											combinasse os dois universos
numa mesma composição
											— letras rígidas e flexíveis
convivendo numa mesma estrutura?
											Gosto desta ideia
e vou trabalhá-la em pormenor.
									","
											Il y a quelque temps, j'ai été chargée
de faire la couverture d'un classique :
											« Alice au Pays des Merveilles ».
											Alice est tombée dans un terrier
											et commençait un voyage absurde dans
un monde fantastique, vous vous souvenez ?
											A cette occasion,
le nom du conte
											était ma matière première.
											A première vue, il y a des choses
pas très importantes,
											dont je peux diminuer la taille.
											Par exemple « au » et « des »
vont avoir une échelle plus petite.
											Ensuite, j'ai essayé quelques idées.
											Et si pour transmettre
l'idée de « merveille »
											j'utilisais mon écriture dans
sa meilleure expression
											avec plein de boucles et de fioritures
par ci par là ?
											Ou si je me basais plus sur le fait
que le livre est un classique
											et j'utilisais des formes de lettres
plus conventionnelles,
											pour que l'ensemble ait l'air
un peu plus rigide et sérieux,
											comme une encyclopédie
ou comme dans les livres anciens ?
											Ou de quoi ça aurait l'air si, vu que
ce livre contient tellement de non-sens,
											je combinais les deux univers
en une même composition -
											des lettres rigides et douces coexistant
dans la même structure ?
											Cette idée me plaît
et je vais y travailler en détail.
									",The secret language of letter design,Martina Flor,12:15,"art,TED en Español,communication,books,design,creativity,TEDx"
"
","
","
","
",The secret language of letter design,Martina Flor,12:15,"art,TED en Español,communication,books,design,creativity,TEDx"
"
											Voy a tomar otra hoja
para trabajar más cómoda.
											Marco algunas líneas guías,
											y así determino la estructura
en donde estas palabras van a existir.
											Ahí puedo empezar a darle
forma a cada letra,
											y trabajo con cuidado.
											Le dedico tiempo a cada una
sin perder de vista el todo.
											Dibujo las terminales
de esas letras con atención.
											¿Son cuadradas o redondas?
											¿Son puntiagudas o gorditas y suaves?
											Siempre hago varios bocetos,
											en donde voy probando ideas,
o cambiando elementos.
											Y hay un punto en donde el dibujo
se traduce en formas precisas,
											con colores, volúmenes
y elementos decorativos.
											Alicia, que es la ""celebrity"",
se ubica al frente
											con volumen en sus letras.
											Mucho puntos y líneas
jugueteando en el fondo
											me ayudan a contar que en esta historia
pasan muchísimas cosas
											y a representar ese sentimiento que genera
											como si uno estuviera
con la cabeza en las nubes.
											Y, por supuesto, está Alicia
que mira su país de las maravillas.
									","
											I use another sheet of paper
to work more comfortably.
											I mark some guidelines,
											delimiting the framework
where the words will be.
											There, I can start giving
form to each letter.
											I work carefully.
											I dedicate time to each letter
without losing sight of the whole.
											I draw the ends
of the letters methodically.
											Are they square or round?
											Are they pointy or plump and smooth?
											I always make several sketches,
											where I'll try different ideas
or change elements.
											And there comes a point when
the drawing turns into precise forms,
											with colors, volumes
and decorative elements.
											Alice, the celebrity here,
is placed at the front
											with volume in her letters.
											Lots of points and lines
playing in the background
											help me convey that in this story,
lots of things happen.
											And it helps to represent
the feeling it generates,
											as if you had your head in the clouds.
											And of course, there's Alice,
looking at her wonderland.
									","
											Vou arranjar outra folha
para trabalhar mais à vontade.
											Marco umas linhas orientadoras,
											e determino assim a estrutura
em que vão encaixar estas palavras.
											Aí posso começar
a dar forma a cada letra
											e trabalho com cuidado.
											Dedico tempo a cada uma delas
sem perder de vista o todo.
											Desenho os remates
dessas letras com atenção.
											São quadradas ou redondas?
											São pontiagudas ou gordinhas e suaves?
											Faço sempre vários esboços
											em que vou experimentando ideias
ou trocando elementos.
											Chega uma altura em que o desenho
se traduz em formas precisas,
											com cores, volumes
e elementos decorativos.
											Alice, que é a ""celebridade"",
destaca-se na frente,
											com letras volumosas.
											Muitos pontos e linhas
a brincar, no fundo,
											ajudam-me a contar que, nesta história,
passam-se imensas coisas
											e a representar o sentimento que se gera
											com se estivéssemos
com a cabeça nas nuvens.
											Certamente, Alice está
a olhar para o seu país das maravilhas.
									","
											Je vais prendre une autre feuille
pour travailler plus confortablement.
											J'indique des lignes directrices,
											et ainsi je détermine la structure
dans laquelle ces mots vont exister.
											Là, je commence par donner
une forme à chaque lettre
											et je travaille avec attention.
											Je consacre du temps à chacune
sans perdre de vue l'ensemble.
											Je dessine la fin
de ces lettres avec attention.
											Sont-elles carrées ou rondes ?
											Sont-elles pointues
ou rondouillardes et douces ?
											Je fais toujours plusieurs croquis,
											où je vais essayer des idées,
ou changer des éléments.
											Il y a un moment où le dessin
se traduit en formes précises,
											avec des couleurs, des volumes
et des éléments décoratifs.
											Alice, qui est la « star »
se trouve devant
											avec du volume sur ses lettres.
											Plein de points et de lignes
jouant en arrière-plan
											m'aident à raconter que, dans cette
histoire, se passent beaucoup de choses
											et à représenter le sentiment créé
											comme si vous aviez
la tête dans les nuages.
											Et, bien sûr, il y a Alice
qui regarde son pays des merveilles.
									",The secret language of letter design,Martina Flor,12:15,"art,TED en Español,communication,books,design,creativity,TEDx"
"
","
","
","
",The secret language of letter design,Martina Flor,12:15,"art,TED en Español,communication,books,design,creativity,TEDx"
