en,fr,es,tr,de,pt,title,speaker,duration,tags
"
											I wasn't ready.
											But she understood one basic principle
about young people like me.
											We're like oysters.
											We're only going to open up
when we're ready,
											and if you're not there when we're ready,
											we're going to clam back up.
											Ms. Russ was there for me.
											She was culturally relevant,
											she respected my community,
my people, my family.
											I told her a story about my Uncle Ruben.
											He would take me to work with him
because I was broke,
											and he knew I needed some money.
											He collected glass bottles for a living.
											Four in the morning on a school day,
											we'd throw the glass bottles
in the back of his van,
											and the bottles would break.
											And my hands and arms would start to bleed
											and my tennis shoes and pants
would get all bloody.
											And I was terrified and in pain,
and I would stop working.
											And my uncle, he would look me in the eyes
and he would say to me,
											""Mijo,
											estamos buscando vida.""
											""We're searching for a better life,
											we're trying to make
something out of nothing.""
									","
											Je n'étais pas prêt.
											Mais elle avait compris un principe
de base sur les gens comme moi.
											Nous sommes comme des huîtres.
											Nous ne nous ouvrons
que quand nous sommes prêts
											et si vous n'êtes pas là
quand nous sommes prêts,
											nous allons nous refermer de nouveau.
											Mme Russ était là pour moi.
											Elle comprenait ma culture,
											elle respectait ma communauté,
mes gens et ma famille.
											Je lui ai raconté une histoire
à propos de mon oncle Ruben.
											Il me prenait au travail avec lui
parce que j'étais fauché
											et il savait que j'avais besoin d'argent.
											Il vivait en collectant
les bouteilles en verre.
											À 4h du matin, un jour d'école,
											nous jetions les bouteilles en verre
à l'arrière de son van
											et les bouteilles se cassaient.
											Mes mains et mes bras
ont commencé à saigner,
											mes baskets et mon pantalon
à se couvrir de sang.
											J'étais terrifié et j'avais mal,
j'ai arrêté de travailler.
											Mon oncle, il m'a regardé
dans les yeux et il m'a dit :
											« Mijo,
											estamos buscando vida. »
											« Nous cherchons une vie meilleure,
											nous essayons de faire quelque chose
à partir de rien. »
									","
											Pero no lo estaba.
											Y ella entendía algo básico
sobre los jóvenes como yo:
											éramos como ostras.
											Solo íbamos a abrirnos
cuando estuviéramos listos,
											y si no estás allí para nosotros
cuando te necesitamos,
											volveremos a cerrarnos.
											La señora Russ estaba a mi lado.
											No tuvimos un choque cultural;
											respetaba a mi comunidad,
a mi gente, a mi familia.
											Le conté la historia de mi tío Rubén.
											Me llevaba con él a trabajar
porque sabía que estaba en bancarrota
											y me hacía falta el dinero.
											Recolectaba botellas vacías.
											A las cuatro de la mañana
en un día de cole
											ya estábamos tirando las botellas
en la parte de atrás de la furgoneta
											y como el cristal se rompía
											tenía cortes en las manos y en los brazos
											y sangre en los zapatos y los pantalones.
											Estaba aterrado y dolorido
y me hubiera gustado dejar de trabajar.
											Y mi tío me miraba a los ojos y me decía:
											""Hijo mío,
											nos estamos buscando la vida"".
											Intentamos buscarnos una vida mejor,
											intentamos hacer algo con nada"".
									","
											Ben hazır değildim.
											Ama o benim gibi gençler için 
geçerli temel prensibi biliyordu.
											Bizler istiridye gibiyiz.
											Yalnızca hazır olduğumuzda açılırız ve
											açıldığımızda orada yoksanız
											tekrar geri kapanırız.
											Bayan Russ benim için oradaydı.
											Kültürümle bağlantılıydı,
											toplumuma, halkıma
aileme saygı duyuyordu.
											Ona amcam Ruben'in hikayesini anlattım.
											Amcam beni işe götürürdü, 
çünkü beş parasız olduğumu,
											paraya ihtiyacım olduğunu biliyordu.
											Yaşamak için cam şişe topluyordu.
											Okul gününde, sabahın dördünde
											cam şişeleri amcamın kamyonetinin 
arkasına atardık,
											şişeler kırılırdı.
											Ellerim, kollarım kanamaya başlardı,
											spor ayakkabılarım, pantolonum,
hepsi kanlanırdı.
											Korkardım, acı çekerdim, 
çalışmayı bırakırdım.
											Amcam gözlerimin içine bakar ve bana
											""Mijo,
											estamos buscando vida"" derdi.
											""Daha iyi bir yaşam arıyoruz
											hiçbir şeyden,
bir şeyler yaratmaya çalışıyoruz"".
									","
											Ich war nicht bereit.
											Aber sie verstand ein Grundprinzip
über Jugendliche wie mich.
											Wir sind wie Austern.
											Wir öffnen uns nur, wenn wir bereit sind,
											und wenn man nicht da 
ist, wenn wir bereit sind,
											verschließen wir uns wieder.
											Frau Russ war für mich da.
											Sie war kulturell bedeutsam,
											sie respektierte meine Gemeinschaft, 
meine Leute, meine Familie.
											Ich erzählte ihr die Geschichte 
von meinem Onkel Ruben.
											Er nahm mich zur Arbeit mit,
weil ich pleite war
											und er wusste, dass ich Geld brauchte.
											Er verdiente seinen Lebensunterhalt 
mit dem Sammeln von Glasflaschen.
											Um vier Uhr morgens an einem Schultag
											warfen wir die Glasflaschen in den
Kofferraum seines Lieferwagens
											und die Flaschen zerbrachen.
											Meine Hände und Arme fingen an zu bluten
											und meine Tennisschuhe und 
Hosen wurden ganz blutig.
											Ich bekam Angst, hatte Schmerzen 
und hörte auf zu arbeiten.
											Mein Onkel sah mir in die Augen und sagte:
											""Mijo,
											estamos buscando vida.""
											""Wir suchen nach einem besseren Leben,
											wir versuchen aus nichts etwas zu machen.""
									","
											Eu não estava preparado.
											Mas ela compreendeu um princípio básico
dos jovens como eu.
											Éramos como ostras.
											Só nos iríamos abrir
quando estivéssemos preparados
											e, se não estivesse lá ninguém
quando estivéssemos preparados,
											voltaríamos a fechar-nos na nossa concha.
											Mrs. Russ estava à minha espera.
											Ela compreendia a minha cultura,,
											respeitava a minha comunidade,
a minha gente, a minha família.
											Contei-lhe uma história
sobre o meu tio Ruben
											Ele levou-me para o trabalho com ele,
porque eu estava teso
											e ele sabia que eu precisava de dinheiro.
											Ele vivia de recolher garrafas de vidro.
											Às quatro da manhã, 
num dia de escola
											atirámos as garrafas de vidro
para a traseira da carrinha
											e as garrafas partiram-se.
											As minhas mãos e braços 
começaram a sangrar
											os meus ténis e as minhas calças
ficaram cheias de sangue.
											Eu fiquei aterrorizado, com dores,
deixei de trabalhar.
											O meu tio olhou-me nos olhos
e disse-me:
											""Mijo,
											""estamos buscando vida"".
											""Estamos à procura de uma vida melhor,
											""estamos a tentar criar alguma coisa
a partir do nada"".
									",Help for kids the education system ignores,Victor Rios,11:53,"children,compassion,education,empathy,communication,innovation,identity,motivation,potential,society,teaching"
"
","
","
","
","
","
",Help for kids the education system ignores,Victor Rios,11:53,"children,compassion,education,empathy,communication,innovation,identity,motivation,potential,society,teaching"
"
											Ms. Russ listened to my story,
											welcomed it into the classroom and said,
											""Victor, this is your power.
											This is your potential.
											Your family, your culture, your community
have taught you a hard-work ethic
											and you will use it to empower
yourself in the academic world
											so you can come back
and empower your community.""
									","
											Mme Russ a écouté mon histoire,
											l'a partagée en classe et a dit :
											« Victor, ceci est ton pouvoir.
											C'est ton potentiel.
											Ta famille, ta culture, ta communauté
t'ont enseigné l'éthique du travail
											et tu vas l'utiliser pour te rendre
plus fort dans le monde académique,
											afin que tu puisses revenir
et rendre ta communauté plus forte. »
									","
											La señora Russ me escuchó,
											me invitó a compartirlo en clase 
y me decía:
											""Víctor, este es tu punto fuerte.
											Este es tu potencial:
											tu familia, tu cultura, tu comunidad,
que te enseñaron la ética del trabajo
											y hay que usarla para sacar de ello
fuerzas para tus resultados académicos,
											para que puedas devolver
este poder a tu comunidad"".
									","
											Bayan Russ hikayemi dinledi,
											memnuniyetle sınıfa aldı ve dedi ki;
											""Victor, bu senin gücün,
											bu senin potansiyelin.
											Ailen, kültürün, toplumun sana
sıkı çalışma değerlerini öğretmişler
											bunu akademik dünyada kendini 
güçlendirmek için kullanabilirsin,
											sonra geri gelir ve 
kendi toplumunu güçlendirirsin.
									","
											Frau Russ hörte sich meine Geschichte an,
											begrüßte sie in der Klasse und sagte:
											""Victor, das ist deine Stärke.
											Das ist dein Potential.
											Deine Familie, Kultur und Gemeinde 
haben dich den Wert von Arbeit gelehrt
											und du wirst das nutzen, um dich 
in der schulischen Welt zu stärken,
											damit du zurückkommen kannst,
um deine Gemeinschaft zu stärken.
									","
											Mrs. Russ ouviu a minha história,
											partilhou-a com a turma e disse:
											""Victor, é esse o teu poder.
											""É esse o teu potencial.
											""A tua família, a tua cultura,
a tua comunidade,
											ensinaram-te a ética de trabalho duro,
											""e tens que usá-la para te tornares
mais forte no mundo académico,
											""para fortaleceres a tua comunidade"".
									",Help for kids the education system ignores,Victor Rios,11:53,"children,compassion,education,empathy,communication,innovation,identity,motivation,potential,society,teaching"
"
","
","
","
","
","
",Help for kids the education system ignores,Victor Rios,11:53,"children,compassion,education,empathy,communication,innovation,identity,motivation,potential,society,teaching"
"
											With Ms. Russ's help,
											I ended up returning to school.
											I even finished my credits on time
											and graduated with my class.
									","
											Avec l'aide de Mme Russ,
											j'ai fini par retourner à l'école.
											J'ai même eu mes crédits dans les temps
											et j'ai eu mon diplôme avec ma classe.
									","
											Con la ayuda de la señora Russ
											empecé a volver a la escuela.
											Incluso aprobé las asignaturas a tiempo
											y me gradué junto con mis compañeros.
									","
											Bayan Russ'un yardımıyla,
											okula geri döndüm.
											Hatta ders kredilerimi 
zamanında tamamladım ve
											mezun oldum.
									","
											Mit der Hilfe von Frau Russ
											kehrte ich zur Schule zurück.
											Ich legte meine Prüfungen
sogar rechtzeitig ab
											und machte den Abschluss in meiner Klasse.
									","
											Com a ajuda de Mrs. Russ,
											acabei por voltar para a escola.
											Acabei os estudos a tempo
											e passei, juntamente com a minha turma.
									",Help for kids the education system ignores,Victor Rios,11:53,"children,compassion,education,empathy,communication,innovation,identity,motivation,potential,society,teaching"
"
","
","
","
","
","
",Help for kids the education system ignores,Victor Rios,11:53,"children,compassion,education,empathy,communication,innovation,identity,motivation,potential,society,teaching"
"
											(Applause)
									","
											(Applaudissements)
									","
											(Aplausos)
									","
											(Alkışlar)
									","
											(Applaus)
									","
											(Aplausos)
									",Help for kids the education system ignores,Victor Rios,11:53,"children,compassion,education,empathy,communication,innovation,identity,motivation,potential,society,teaching"
"
","
","
","
","
","
",Help for kids the education system ignores,Victor Rios,11:53,"children,compassion,education,empathy,communication,innovation,identity,motivation,potential,society,teaching"
"
											But Ms. Russ said to me
right before graduation,
											""Victor, I'm so proud of you.
											I knew you could do it.
											Now it's time to go to college.""
									","
											Mais Mme Russ m'a dit,
juste avant la remise de diplôme :
											« Victor, je suis si fière de toi.
											Je savais que tu pouvais le faire.
											Maintenant il est temps
d'aller à l'université. »
									","
											Pero la señora Russ me dijo
justo antes de la graduación:
											""Víctor estoy muy orgullosa de ti.
											Sabía que podías hacerlo.
											Es la hora de ir a la universidad"".
									","
											Bayan Russ mezuniyetten önce
bana şöyle dedi:
											""Victor, seninle gurur duyuyorum,
											yapabileceğini biliyordum.
											Şimdi ise üniversiteye gitme zamanı.
									","
											Aber Frau Russ sagte kurz
vor dem Abschluss zu mir:
											""Victor, ich bin so stolz auf dich.
											Ich wusste, du kannst es schaffen.
											Jetzt ist es Zeit für dich 
aufs College zu gehen.""
									","
											Mas Mrs. Russ disse-me,
pouco antes do fim do curso:
											""Victor, estou muito orgulhosa de ti.
											""Eu sabia que eras capaz.
											""Agora tens que ir para a faculdade"".
									",Help for kids the education system ignores,Victor Rios,11:53,"children,compassion,education,empathy,communication,innovation,identity,motivation,potential,society,teaching"
"
","
","
","
","
","
",Help for kids the education system ignores,Victor Rios,11:53,"children,compassion,education,empathy,communication,innovation,identity,motivation,potential,society,teaching"
"
											(Laughter)
									","
											(Rires)
									","
											(Risas)
									","
											(Kahkahalar)
									","
											(Lachen)
									","
											(Risos)
									",Help for kids the education system ignores,Victor Rios,11:53,"children,compassion,education,empathy,communication,innovation,identity,motivation,potential,society,teaching"
"
","
","
","
","
","
",Help for kids the education system ignores,Victor Rios,11:53,"children,compassion,education,empathy,communication,innovation,identity,motivation,potential,society,teaching"
