en,pt,de,fr,title,speaker,duration,tags
"
","
","
","
",The fascinating secret lives of giant clams,Mei Lin Neo,5:27,"TED Fellows,biology,animals,conservation,environment,nature,pollution,oceans,science,marine biology"
"
											I carefully placed my hand
into the clam's mouth and waited.
											Hmm ...
											I still have my hand.
											It seems that these gentle giants
would rather retreat
											and protect their fleshy bodies
											than feed on me.
											So much for those killer clam myths!
									","
											Com muito cuidado, coloquei a minha mão
dentro de uma ostra e esperei.
											Hmm...
											Ainda tenho a minha mão.
											Parece que estes gigantes delicados
											preferem recuar e proteger
os seus corpos carnudos
											do que comerem-me.
											É o que valem estes mitos
de ostras assassinas!
									","
											Ich hielt meine Hand vorsichtig
in die Muschelöffnung und wartete.
											Hmm ...
											Ich habe meine Hand noch.
											Diese sanften Riesen
ziehen sich wohl lieber zurück
											und schützen ihre weichen Körper,
statt mich zu fressen.
											Das war's dann wohl
mit dem Mördermuschel-Mythos.
									","
											J'ai prudemment mis ma main dans 
la bouche du mollusque et j'ai attendu.
											Humm...
											J'ai encore ma main.
											Il semble que ces gentils géants
préfèrent se replier
											et protéger leur corps charnu
											que me manger.
											Tant pis pour les mythes de 
mollusques tueurs !
									",The fascinating secret lives of giant clams,Mei Lin Neo,5:27,"TED Fellows,biology,animals,conservation,environment,nature,pollution,oceans,science,marine biology"
"
","
","
","
",The fascinating secret lives of giant clams,Mei Lin Neo,5:27,"TED Fellows,biology,animals,conservation,environment,nature,pollution,oceans,science,marine biology"
"
											Unfortunately, the reality is,
											we are the giant clams' biggest threat.
											Considered a delicacy throughout
the Western Pacific and Indian Oceans,
											giant clams have been traditionally
fished as seafood.
											Fishermen are particularly interested
in their adductor muscles,
											which are organs that hold
the two shells together like a hinge.
											Just for their muscles,
											giant clams were almost
hunted to extinction
											between the 1960s and 1980s.
											Clamshells are also popular
in the ornamental trade
											as jewelry and for display.
											In the South China Sea,
											fishermen went out of their way
to collect fossilized clamshells
											by digging through large areas
of coral reefs.
											These were later carved and sold
as so-called ""ivory handicrafts"" in China.
											Giant clams, dead or alive,
are not safe from us.
											It's a ""clamity!""
									","
											Infelizmente, a verdade é que
											nós somos a maior ameaça
às ostras-gigantes.
											Consideradas uma iguaria nas zonas
dos oceanos Pacífico Oeste e do Índico,
											as ostras-gigantes têm sido pescadas,
tal e qual outros mariscos.
											Os pescadores têm um particular interesse
nos seus músculos adutores,
											que são os órgãos que juntam
as duas conchas como uma dobradiça.
											Por causa destes músculos,
											as ostras-gigantes quase
foram levadas à extinção
											entre a década de 1960 e a de 1980.
											As conchas também são populares
por motivos ornamentais
											como joias e ornamentação.
											No Mar da China do Sul,
											alguns pescadores desviaram-se da sua rota
para apanharem conchas fossilizadas,
											mergulhando em grandes áreas
de recifes de coral.
											Foram esculpidas e vendidas na China
como ""artesanato de marfim"".
											As ostras-gigantes, vivas ou mortas,
não estão a salvo dos homens.
											É um ""ostricídio""!
									","
											Die Wahrheit sieht leider so aus,
											dass wir selbst die größte Bedrohung
für Riesenmuscheln sind.
											Wegen ihres Rufs als Delikatesse
im Westpazifik und Indischen Ozean
											gehören Riesenmuscheln
traditionell zu den Meeresfrüchten.
											Fischer interessieren sich
vor allem für den Schließmuskel,
											der die beiden Schalen
wie ein Scharnier zusammenhält.
											Nur des Muskels wegen
											wurden Riesenmuscheln zwischen 1960
und 1980 fast ausgerottet.
											Muschelschalen sind
auch eine beliebte Zierde,
											als Schmuck oder zur Deko.
											Im Südchinesischen Meer
scheuten Fischer keine Mühe,
											um versteinerte Muschelschalen zu sammeln,
											und durchwühlten dafür
große Korallengebiete.
											Diese wurden dann geschnitzt und in China
als ""Elfenbein-Handwerk"" verkauft.
											Riesenmuscheln sind weder tot
noch lebendig sicher vor uns.
											Wir sind ""See-Räuber""!
									","
											Malheureusement, la réalité est que
											nous sommes le plus grand danger
pour les bénitiers géants.
											Considérées comme un mets fin
dans le Pacifique Ouest et l'Océan Indien,
											ils sont traditionnellement
pêchés comme fruits de mer.
											Les pêcheurs sont particulièrement 
intéressés par les muscles adducteurs,
											qui relient les deux carapaces ensemble 
comme une charnière.
											Rien que pour leurs muscles,
											ils étaient chassés
jusqu'à l'extinction
											entre les années 60 et 80.
											Les coquilles sont aussi populaires
sur le marché des ornements
											en bijoux et en présentoirs.
											Dans la mer de Chine méridionale,
											les pêcheurs sont allés très loin
pour trouver des coquilles fossilisées
											en creusant de larges surfaces
dans les récifs coralliens.
											Elles étaient ensuite taillées et vendues
comme « sculptures d'ivoire » en Chine.
											Les palourdes géantes, mortes ou vivantes,
ne sont pas à l'abri de l'Homme.
											C'est une « clamité » !
[NdT : Jeu de mots avec ""clam"", mollusque]
									",The fascinating secret lives of giant clams,Mei Lin Neo,5:27,"TED Fellows,biology,animals,conservation,environment,nature,pollution,oceans,science,marine biology"
"
","
","
","
",The fascinating secret lives of giant clams,Mei Lin Neo,5:27,"TED Fellows,biology,animals,conservation,environment,nature,pollution,oceans,science,marine biology"
"
											(Laughter)
									","
											(Risos)
									","
											(Lachen)
									","
											(Rires)
									",The fascinating secret lives of giant clams,Mei Lin Neo,5:27,"TED Fellows,biology,animals,conservation,environment,nature,pollution,oceans,science,marine biology"
"
","
","
","
",The fascinating secret lives of giant clams,Mei Lin Neo,5:27,"TED Fellows,biology,animals,conservation,environment,nature,pollution,oceans,science,marine biology"
"
											(Applause)
									","
											(Aplausos)
									","
											(Applaus)
									","
											(Applaudissements)
									",The fascinating secret lives of giant clams,Mei Lin Neo,5:27,"TED Fellows,biology,animals,conservation,environment,nature,pollution,oceans,science,marine biology"
"
","
","
","
",The fascinating secret lives of giant clams,Mei Lin Neo,5:27,"TED Fellows,biology,animals,conservation,environment,nature,pollution,oceans,science,marine biology"
"
											With the spotlight on more
charismatic marine animals
											such as the whales and coral reefs,
											it is easy to forget that other
marine life needs our help, too.
											My fascination with giant clams
got me started on conservation research
											to fill in the knowledge gaps
on their ecology and behavior.
											One of the discoveries that we made
was that giant clams could walk
											across the seafloor.
											Yes, you heard me right:
											they can walk.
									","
											Com as atenções focadas
noutros animais marinhos mais carismáticos
											como as baleias e recifes de coral,
											é fácil esquecer que outras vidas marinhas
também precisam da nossa ajuda.
											O meu fascínio por ostras-gigantes fez-me
iniciar na investigação de conservação,
											para colmatar falhas de conhecimento
na sua ecologia e comportamento.
											Uma das nossas descobertas
foi que as ostras-gigantes
											conseguem andar pelo fundo do mar.
											Sim, ouviram-me bem:
											elas conseguem andar.
									","
											Sind alle Augen
auf sympathischere Meerestiere
											wie Wale und Korallen gerichtet,
wird leicht vergessen,
											dass auch andere Meereslebewesen
unsere Hilfe benötigen.
											Meine Faszination für Riesenmuscheln
führte mich in die Artenschutzforschung,
											wo ich Wissenslücken zu ihrer Ökologie
und ihrem Verhalten füllte.
											Eine unserer Entdeckungen war,
											dass Riesenmuscheln
über den Meeresgrund laufen.
											Sie haben richtig gehört:
											Sie können laufen.
									","
											En mettant en avant des animaux marins
plus charismatiques
											comme les baleines ou
les récifs coralliens,
											on oublie souvent que d'autres espèces 
marines ont aussi besoin de notre aide.
											Mon attrait pour ces animaux m'a poussée
à entamer une étude de préservation
											pour combler le manque de savoir
sur leur écologie et leur comportement.
											Une de nos découvertes, c'est
que les mollusques peuvent marcher
											sur les fonds marins.
											Oui, vous m'avez bien entendue :
											ils peuvent marcher.
									",The fascinating secret lives of giant clams,Mei Lin Neo,5:27,"TED Fellows,biology,animals,conservation,environment,nature,pollution,oceans,science,marine biology"
"
","
","
","
",The fascinating secret lives of giant clams,Mei Lin Neo,5:27,"TED Fellows,biology,animals,conservation,environment,nature,pollution,oceans,science,marine biology"
"
											To find out,
											we placed numerous baby clams on a grid.
											Now watch what happens over 24 hours.
											We think that walking is important
for getting away from predators
											and finding mates for breeding.
											While it can hard to imagine
any movement in these enormous animals,
											giant clams up to 400 pounds
can still walk,
											they just move slower.
									","
											Para esta descoberta,
											colocámos várias ostras bebés numa grade.
											Observem o que aconteceu
nas 24 horas seguintes.
											Pensamos que andar é importante
para fugir de predadores
											e encontrar companheiros para reprodução.
											Por mais difícil que seja imaginar
algum movimento por parte destes animais,
											as ostras-gigantes com um peso até 180 kg
conseguem andar normalmente,
											embora sejam mais lentas.
									","
											Für das Experiment setzten wir
mehrere Babymuscheln auf ein Gitter.
											Hier sehen Sie, was innerhalb
von 24 Stunden passiert.
											Vermutlich ist Bewegung wichtig,
											um Fressfeinden zu entkommen
und Paarungspartner zu finden.
											Auch wenn es kaum vorstellbar ist,
dass sich diese riesigen Tiere bewegen:
											180 kg schwere Riesenmuscheln
können auch noch laufen,
											nur langsamer.
									","
											Pour le savoir,
											on a placé pleins de bébés
sur une grille.
											Regardez maintenant ce qui
s'est passé en 24 heures.
											Nous pensons que marcher est important
pour échapper aux prédateurs
											et pour trouver des partenaires.
											Même s'il est difficile d'imaginer
ces énormes animaux bouger,
											les mollusques géants atteignant 200 kg
peuvent tout de même marcher,
											ils se déplacent plus lentement.
									",The fascinating secret lives of giant clams,Mei Lin Neo,5:27,"TED Fellows,biology,animals,conservation,environment,nature,pollution,oceans,science,marine biology"
"
","
","
","
",The fascinating secret lives of giant clams,Mei Lin Neo,5:27,"TED Fellows,biology,animals,conservation,environment,nature,pollution,oceans,science,marine biology"
"
											During my PhD, I discovered
more secrets about the giant clams.
											But there was something
missing in my work.
											I found myself asking,
											""Why should people care
about conserving giant clams?"" —
											other than myself, of course.
									","
											Durante o meu doutoramento, descobri
mais segredos sobre as ostras-gigantes.
											Mas faltava algo no meu trabalho.
											Perguntei a mim mesma:
											""Porque devem as pessoas preocupar-se
com a conservação destas ostras?""
											— para além de mim, claro!
									","
											Während meiner Promotion entdeckte ich
weitere Geheimnisse der Riesenmuscheln.
											Aber eines fehlte in meiner Arbeit.
											Ich fragte mich:
											""Warum sollten wir uns um den Schutz
von Riesenmuscheln kümmern?""
											Abgesehen von mir selbst, natürlich.
									","
											Pendant mon doctorat, j'ai découvert
plus de secrets sur les mollusques géants.
											Mais une chose manquait 
dans mon travail.
											Je me suis retrouvée à me demander :
											« Pourquoi les gens devraient veiller
à leur conservation ? »
											à part moi, bien sûr.
									",The fascinating secret lives of giant clams,Mei Lin Neo,5:27,"TED Fellows,biology,animals,conservation,environment,nature,pollution,oceans,science,marine biology"
"
","
","
","
",The fascinating secret lives of giant clams,Mei Lin Neo,5:27,"TED Fellows,biology,animals,conservation,environment,nature,pollution,oceans,science,marine biology"
"
											(Laughter)
									","
											(Risos)
									","
											(Lachen)
									","
											(Rires)
									",The fascinating secret lives of giant clams,Mei Lin Neo,5:27,"TED Fellows,biology,animals,conservation,environment,nature,pollution,oceans,science,marine biology"
"
","
","
","
",The fascinating secret lives of giant clams,Mei Lin Neo,5:27,"TED Fellows,biology,animals,conservation,environment,nature,pollution,oceans,science,marine biology"
"
											It turns out that giant clams
have a giant impact on coral reefs.
											These multitasking clams
are reef builders,
											food factories,
											shelters for shrimps and crabs
											and water filters,
											all rolled into one.
											In a nutshell,
											giant clams play a major contributing role
											as residents of their own reef home,
											and just having them around
keeps the reef healthy.
											And because they can live
up to 100 years old,
											giant clams make vital indicators
of coral reef health.
											So when giant clams
start to disappear from coral reefs,
											their absence can serve as an alarm bell
											for scientists to start paying attention,
											similar to the canary in a coal mine.
											But giant clams are endangered.
											The largest clam in the world
is facing the threat of extinction,
											with more than 50 percent
of the wild population severely depleted.
											And the ecological benefits
of having giant clams on coral reefs
											are likely to continue
only if populations are healthy,
											making their conservation paramount.
									","
											Parece que as ostras-gigantes têm
um enorme impacto nos recifes de coral.
											Estas ostras multitarefas
são construtoras de recifes,
											fábricas de comida,
											abrigo para camarões e caranguejos
											e filtros de água,
											tudo num só.
											Resumidamente,
											as ostras-gigantes
têm uma importância extrema
											enquanto residentes
dos seus próprios recifes,
											e só a sua presença
garante a segurança dos mesmos.
											E como podem viver
até aos 100 anos,
											as ostras-gigantes são indicadores vitais
da saúde dos recifes de coral.
											Quando começam
a desaparecer dos recifes,
											isso pode ser interpretado como um alarme
											para que os cientistas prestem atenção,
											tal e qual um canário numa mina de carvão.
											Mas as ostras-gigantes estão em perigo.
											A maior ostra do mundo
está em vias de extinção,
											juntamente com mais de 50%
dos animais selvagens.
											Os benefícios ecológicos de existirem
ostras-gigantes nos recifes de coral
											só persistirão
se as populações forem saudáveis,
											tornando a sua conservação primordial.
									","
											Tatsächlich haben Riesenmuscheln
einen enormen Einfluss auf Korallenriffe.
											Die vielseitigen Muscheln bauen Riffe,
											dienen als Nahrungsquelle,
											bieten Schutz für Garnelen und Krabben
											und sind Wasserfilter — alles in einem.
											Kurz gesagt:
											Riesenmuscheln leisten als Bewohner
ihrer Riffe einen entscheidenden Beitrag.
											Allein ihre Existenz hält das Riff gesund.
											Weil Riesenmuscheln
bis zu 100 Jahre werden können,
											sind sie wichtige Indikatoren
für die Gesundheit eines Korallenriffs.
											Wenn also Riesenmuscheln
von Korallenriffen verschwinden,
											kann das ein Warnzeichen
für Forscher sein, Acht zu geben,
											ähnlich dem Kanarienvogel
im Kohlebergwerk.
											Aber Riesenmuscheln sind bedroht.
											Die größte Muschel der Welt
ist vom Aussterben bedroht
											und über 50 % der Wildpopulation
sind stark geschädigt.
											Aber die ökologischen Nutzen
von Riesenmuscheln auf Korallenriffen
											können wohl nur fortbestehen,
wenn die Bestände gesund sind.
											Ihr Schutz ist daher
von zentraler Bedeutung.
									","
											Il s'avère qu'ils ont un impact 
immense sur les récifs coralliens.
											Ces mollusques multi-tâches sont
des constructeurs de récifs,
											des usines à nourriture,
											des abris pour les crevettes
et les crabes,
											et des filtres à eau.
											Tout ça à la fois.
											En bref,
											les mollusques jouent un rôle majeur 

											en tant que résidents de leurs 
propres récifs
											et leur présence permet de maintenir 
la bonne santé des récifs.
											Et parce qu'ils peuvent vivre 
jusqu'à 100 ans,
											ils sont des indicateurs vitaux
de la santé du récif corallien.
											Alors quand ils commencent à disparaître,
											leur absence sert de signal d'alarme
											pour que les scientifiques s'y attardent,
											comme un canari dans une mine de charbon.
											Mais les bénitiers géants sont en danger.
											Le bénitier le plus large au monde
est menacé d'extinction,
											avec plus de 50% de la population sauvage
sévèrement diminuée.
											Et les intérêts écologiques d'avoir
des mollusques sur les récifs coralliens
											sont susceptibles de continuer seulement
si la population est en bonne santé,
											rendant leur préservation primordiale.
									",The fascinating secret lives of giant clams,Mei Lin Neo,5:27,"TED Fellows,biology,animals,conservation,environment,nature,pollution,oceans,science,marine biology"
"
","
","
","
",The fascinating secret lives of giant clams,Mei Lin Neo,5:27,"TED Fellows,biology,animals,conservation,environment,nature,pollution,oceans,science,marine biology"
"
											So I stand here today to give a voice
to the giant clams,
											because I care a whole lot
for these amazing animals,
											and they deserve to be cared for.
											It is time for the giant clams
to step out of their shells,
											and show the world that they, too,
can be the heroes of the oceans.
									","
											Por isso, estou aqui hoje
para dar voz às ostras-gigantes,
											porque preocupo-me de verdade
com estes animais extraordinários,
											e porque eles merecem a nossa atenção.
											Está na altura de as ostras-gigantes
saírem das suas conchas
											e mostrarem ao mundo que, também elas,
podem ser heroínas dos oceanos.
									","
											Ich bin heute hier,
											um den Riesenmuscheln
Gehör zu verschaffen,
											weil mir diese großartigen Tiere
sehr wichtig sind
											und weil sie unsere Pflege verdienen.
											Es ist Zeit, dass die Riesenmuscheln
aus sich herausgehen und der Welt zeigen,
											dass auch sie Helden
der Ozeane sein können.
									","
											Alors, je suis là aujourd'hui pour
que ces mollusques soient entendus,
											parce que je me soucie fortement de ces 
animaux fantastiques,
											et parce qu'ils méritent notre attention.
											Il est temps pour les mollusques
de sortir de leur coquille,
											et de prouver au monde qu'ils peuvent 
être les héros des océans.
									",The fascinating secret lives of giant clams,Mei Lin Neo,5:27,"TED Fellows,biology,animals,conservation,environment,nature,pollution,oceans,science,marine biology"
"
","
","
","
",The fascinating secret lives of giant clams,Mei Lin Neo,5:27,"TED Fellows,biology,animals,conservation,environment,nature,pollution,oceans,science,marine biology"
"
											Thank you very much.
									","
											Muito obrigada.
									","
											Vielen Dank.
									","
											Merci beaucoup.
									",The fascinating secret lives of giant clams,Mei Lin Neo,5:27,"TED Fellows,biology,animals,conservation,environment,nature,pollution,oceans,science,marine biology"
"
","
","
","
",The fascinating secret lives of giant clams,Mei Lin Neo,5:27,"TED Fellows,biology,animals,conservation,environment,nature,pollution,oceans,science,marine biology"
"
											(Applause)
									","
											(Aplausos)
									","
											(Applaus)
									","
											(Applaudissements)
									",The fascinating secret lives of giant clams,Mei Lin Neo,5:27,"TED Fellows,biology,animals,conservation,environment,nature,pollution,oceans,science,marine biology"
"
","
","
","
",The fascinating secret lives of giant clams,Mei Lin Neo,5:27,"TED Fellows,biology,animals,conservation,environment,nature,pollution,oceans,science,marine biology"
