pt,es,fr,title,speaker,duration,tags
"
","
","
",How one tree grows 40 different kinds of fruit,Sam Van Aken,11:24,"trees,art,plants,natural resources,nature,ecology,biodiversity,botany,environment,community"
"
											Isto é como a árvore de 40 frutos
era quando foi plantada,
											e isto é seis anos depois.
											Não é um desporto 
de gratificação imediata.
									","
											Así se veía el Árbol de 40 Frutas 
cuando fue plantado,
											y así luce seis años después.
											Sin duda, no es un ejercicio
de gratificación inmediata.
									","
											Voici ce à quoi ressemblait l'Arbre
quand on l'a planté au départ
											et le voilà six ans plus tard.
											Ce n'est clairement pas un sport
à récompense immédiate.
									",How one tree grows 40 different kinds of fruit,Sam Van Aken,11:24,"trees,art,plants,natural resources,nature,ecology,biodiversity,botany,environment,community"
"
","
","
",How one tree grows 40 different kinds of fruit,Sam Van Aken,11:24,"trees,art,plants,natural resources,nature,ecology,biodiversity,botany,environment,community"
"
											(Risos)
									","
											(Risas)
									","
											(Rires)
									",How one tree grows 40 different kinds of fruit,Sam Van Aken,11:24,"trees,art,plants,natural resources,nature,ecology,biodiversity,botany,environment,community"
"
","
","
",How one tree grows 40 different kinds of fruit,Sam Van Aken,11:24,"trees,art,plants,natural resources,nature,ecology,biodiversity,botany,environment,community"
"
											Leva um ano até sabermos
se o enxerto foi bem sucedido;
											dois a três anos para frutificar;
											e leva até oito anos
a criar apenas uma árvore.
									","
											Se necesita un año para saber 
si un injerto ha tenido éxito,
											de dos a tres años 
para saber si produce fruta,
											y ocho años para obtener un solo árbol.
									","
											Il faut un an pour savoir
si une greffe a pris,
											deux à trois ans pour savoir
si elle produira des fruits,
											et huit ans pour créer un seul arbre.
									",How one tree grows 40 different kinds of fruit,Sam Van Aken,11:24,"trees,art,plants,natural resources,nature,ecology,biodiversity,botany,environment,community"
"
","
","
",How one tree grows 40 different kinds of fruit,Sam Van Aken,11:24,"trees,art,plants,natural resources,nature,ecology,biodiversity,botany,environment,community"
"
											Todas as variedades 
na árvore de 40 frutos
											são ligeiramente diferentes
na forma e no sabor.
											Percebi que ao fazer uma tabela
da floração das variedades
											de umas em relação a outras,
											poderia modelar ou desenhar
o aspeto da árvore na primavera.
											Isto é a árvore durante o verão.
											Produzem fruto de junho a setembro.
											Primeiro as cerejas,
depois os alperces,
											ameixas asiáticas,
nectarinas e pêssegos,
											e penso que me esqueci
de algum, algures...
									","
											Cada variedad injertada 
en el Árbol de 40 frutas
											tiene una forma y un color 
ligeramente distintos.
											Y me di cuenta de que
al elaborar un calendario
											con las fechas en que floreció
cada uno en relación con los otros,
											puedo moldear o diseñar el aspecto
que tendrán los árboles en primavera.
											Así se ven en verano.
											Producen fruta de junio a septiembre.
											Primero cerezas, luego albaricoques,
											ciruelas asiáticas, nectarinas y duraznos,
											y creo que olvidé uno por ahí, 
en algún lugar...
									","
											Chacune des variétés greffées
sur l'Arbre aux 40 Fruits
											a une forme et une couleur
qui lui sont propres.
											J'ai découvert qu'en jouant
avec les dates de floraison
											des unes par rapport aux autres,
											je peux à peu près choisir
à quoi ressemblera l'arbre au printemps.
											Voici son apparence en été.
											Il produit des fruits
entre juin et septembre.
											D'abord viennent les cerises,
puis les abricots,
											les prunes asiatiques,
les nectarines et les pêches,
											et je crois que j'en oublie un,
quelque part…
									",How one tree grows 40 different kinds of fruit,Sam Van Aken,11:24,"trees,art,plants,natural resources,nature,ecology,biodiversity,botany,environment,community"
"
","
","
",How one tree grows 40 different kinds of fruit,Sam Van Aken,11:24,"trees,art,plants,natural resources,nature,ecology,biodiversity,botany,environment,community"
"
											(Risos)
									","
											(Risas)
									","
											(Rires)
									",How one tree grows 40 different kinds of fruit,Sam Van Aken,11:24,"trees,art,plants,natural resources,nature,ecology,biodiversity,botany,environment,community"
"
","
","
",How one tree grows 40 different kinds of fruit,Sam Van Aken,11:24,"trees,art,plants,natural resources,nature,ecology,biodiversity,botany,environment,community"
"
											Apesar de ser uma obra artística
no exterior de uma galeria,
											enquanto o projeto continua,
											tem sido tema de conversa
no mundo da arte.
											Fui convidado para recriar
a árvore em vários locais,
											o que faço é estudar as variedades
											que são originárias
ou históricas dessa região,
											recolho-as localmente
e enxerto-as na árvore
											para que seja um pedaço
de história agrícola da região.
									","
											Aunque es una obra de arte 
fuera de la galería,
											mientras el proyecto sigue su curso
											es una forma de preservación
por medio del arte.
											Me han pedido crearlos 
en distintos lugares,
											y para ello investigo
las variedades autóctonas
											o tradicionalmente cultivadas
en la zona en cuestión,
											las adquiero localmente 
y las injerto en el árbol,
											así se convierten en historia agrícola 
del área donde están ubicadas.
									","
											Bien que ce soit une œuvre d'art
exposée en dehors d'une galerie,
											pendant que le projet perdure,
											on préserve ces plantes
grâce au monde artistique.
											Comme on me demande
d'en créer à différents endroits,
											je vais chercher des variétés indigènes
											ou qui ont été cultivées
autrefois dans la région.
											Je vais les prendre sur place
et je les greffe sur l'arbre,
											pour qu'il représente l'histoire agraire
de la région où il est planté.
									",How one tree grows 40 different kinds of fruit,Sam Van Aken,11:24,"trees,art,plants,natural resources,nature,ecology,biodiversity,botany,environment,community"
"
","
","
",How one tree grows 40 different kinds of fruit,Sam Van Aken,11:24,"trees,art,plants,natural resources,nature,ecology,biodiversity,botany,environment,community"
"
											Depois o projeto teve projeção ""online"",
											o que foi uma coisa horrível
e me deu humildade.
											A parte horrível foi
todas as tatuagens que vi
											nas fotos da árvore dos 40 frutos.
									","
											Luego el proyecto apareció en Internet,
											una experiencia
horrorosa y conmovedora.
											La parte horrorosa fueron 
todos los tatuajes que vi
											con imágenes del Árbol de 40 frutas.
									","
											Puis le projet a été repéré sur Internet,
											ce qui m'a horrifié et m'a rendu humble.
											La chose horrible a été de voir
tous les tatouages
											inspirés des photos de l'Arbre.
									",How one tree grows 40 different kinds of fruit,Sam Van Aken,11:24,"trees,art,plants,natural resources,nature,ecology,biodiversity,botany,environment,community"
"
","
","
",How one tree grows 40 different kinds of fruit,Sam Van Aken,11:24,"trees,art,plants,natural resources,nature,ecology,biodiversity,botany,environment,community"
"
											(Risos)
									","
											(Risas)
									","
											(Rires)
									",How one tree grows 40 different kinds of fruit,Sam Van Aken,11:24,"trees,art,plants,natural resources,nature,ecology,biodiversity,botany,environment,community"
"
","
","
",How one tree grows 40 different kinds of fruit,Sam Van Aken,11:24,"trees,art,plants,natural resources,nature,ecology,biodiversity,botany,environment,community"
"
											Pensei: ""Quem faria isso ao seu corpo?""
									","
											Pensaba: ""¿Por qué le harías 
eso a tu cuerpo?""
									","
											Genre : « Qui voudrait
faire ça à son propre corps ? »
									",How one tree grows 40 different kinds of fruit,Sam Van Aken,11:24,"trees,art,plants,natural resources,nature,ecology,biodiversity,botany,environment,community"
"
","
","
",How one tree grows 40 different kinds of fruit,Sam Van Aken,11:24,"trees,art,plants,natural resources,nature,ecology,biodiversity,botany,environment,community"
"
											(Risos)
									","
											(Risas)
									","
											(Rires)
									",How one tree grows 40 different kinds of fruit,Sam Van Aken,11:24,"trees,art,plants,natural resources,nature,ecology,biodiversity,botany,environment,community"
"
","
","
",How one tree grows 40 different kinds of fruit,Sam Van Aken,11:24,"trees,art,plants,natural resources,nature,ecology,biodiversity,botany,environment,community"
"
											E a parte que me deu humildade
foram todos os pedidos que recebi
											de pastores, rabinos e padres
											que me pediram para usar
a árvore como parte do serviço religioso.
											Depois passou a ""meme"".
[O teu casamento é como essa árvore?]
											A minha resposta a esta pergunta
é ""Espero que não"".
									","
											Y la parte conmovedora
fueron todos los pedidos que recibí
											de párrocos, rabinos y sacerdotes
											que me pidieron usar el árbol 
como parte central de su servicio.
											Y entonces se convirtió en un meme
											y la respuesta a esa pregunta
es: ""Espero que no"".
									","
											L'humilité est venue en voyant
toutes les requêtes que j'ai reçues
											de pasteurs, de rabbins et de prêtres
											qui souhaitaient utiliser l'Arbre
pour leur office.
											Puis c'est devenu un mème –
											et la réponse à cette question
est « Je n'espère pas. »
									",How one tree grows 40 different kinds of fruit,Sam Van Aken,11:24,"trees,art,plants,natural resources,nature,ecology,biodiversity,botany,environment,community"
"
","
","
",How one tree grows 40 different kinds of fruit,Sam Van Aken,11:24,"trees,art,plants,natural resources,nature,ecology,biodiversity,botany,environment,community"
"
											(Risos)
									","
											[¿Es su matrimonio como
el Árbol de 40 frutas?]
									","
											[Votre mariage ressemble
à l'Arbre aux 40 Fruits ?]
									",How one tree grows 40 different kinds of fruit,Sam Van Aken,11:24,"trees,art,plants,natural resources,nature,ecology,biodiversity,botany,environment,community"
"
","
","
",How one tree grows 40 different kinds of fruit,Sam Van Aken,11:24,"trees,art,plants,natural resources,nature,ecology,biodiversity,botany,environment,community"
"
											Como todos os bons ""memes"",
											este levou a uma entrevista
na ""Edição de Fim de Semana"" da NPR
											e como professor de colégio,
pensei ter atingido o auge
											— como se fosse o pináculo
da minha carreira —
											mas nunca se sabe
quem está a ouvir a NPR.
											Semanas após a minha entrevista na NPR,
											recebi um ""email""
do Departamento da Defesa.
											A Administração de Projetos
de Pesquisa Avançada de Defesa
											convidou-me a fazer uma palestra
sobre criatividade e inovação,
											uma conversa que rapidamente 
mudou para segurança alimentar.
											Vejam, a nossa segurança nacional
depende da nossa segurança alimentar.
											Atualmente temos várias monoculturas
											que cultivam apenas
algumas variedades de cada cultura.
											Se algo acontecer com apenas 
uma dessas variedades,
											isso pode ter um efeito dramático
no fornecimento alimentar.
											A chave para manter
a nossa segurança alimentar
											é preservar a nossa biodiversidade.
											Há 100 anos isto era feito 
por quem tinha um jardim
											ou algumas árvores no seu quintal,
											e cultivavam variedades que eram
passadas de pais para filhos.
									","
											(Risas)
									","
											(Rires)
									",How one tree grows 40 different kinds of fruit,Sam Van Aken,11:24,"trees,art,plants,natural resources,nature,ecology,biodiversity,botany,environment,community"
"
","
","
",How one tree grows 40 different kinds of fruit,Sam Van Aken,11:24,"trees,art,plants,natural resources,nature,ecology,biodiversity,botany,environment,community"
"
											Estas são ameixas de uma só árvore
de 40 frutos, numa semana, em agosto.
											Anos após o começo do projeto,
											fui informado que tinha uma
das maiores coleções de ameixas
											da zona este dos EUA,
											que, como artista,
é completamente aterrador.
									","
											Como todo buen meme,
											esto llevó a una entrevista en la edición 
de fin de semana de la emisora NPR,
											y como profesor universitario, 
pensé que había llegado a la cima,
											que era el momento cumbre de mi carrera,
											pero uno nunca sabe quién escucha la NPR.
											Varias semanas después 
de la entrevista en la radio,
											recibí un correo electrónico del 
Departamento de Defensa.
											La Agencia de Proyectos de 
Investigación Avanzada de la Defensa
											me invitó a dar una charla
sobre innovación y creatividad,
											y la conversación pronto cambió a
una discusión sobre seguridad alimentaria.
											Verán, nuestra seguridad nacional 
depende de la seguridad alimentaria.
											Ahora que hemos creado monocultivos
											que solo producen unas pocas 
variedades por cosecha,
											si algo le pasa a alguna
de esas variedades,
											puede tener un gran impacto
en el suministro alimentario.
											Y la clave para mantener 
nuestra seguridad alimentaria
											es preservar la biodiversidad.
											Hace 100 años, esto lo hacía 
cualquiera que tuviera un huerto
											o algunos árboles en su jardín
											y cultivaba variedades que se pasaban
de generación en generación.
									","
											Comme tous les bons mèmes,
											cela m'a mené à une interview sur NPR
dans l'émission « Weekend Edition »,
											et en tant que professeur à l'université,
je croyais que ce serait...
											en quelque sorte l'apogée de ma carrière,
											mais on ne sait jamais qui écoute NPR.
											Quelques semaines après l'interview,
											j'ai reçu un courriel
du Ministère de la Défense.
											La DARPA m'invitait
											à venir parler d'innovation
et de créativité,
											mais la conversation a rapidement
dévié vers la sécurité alimentaire.
											Évidemment, notre sécurité nationale
dépend de notre sécurité alimentaire.
											Comme nous avons créé ces monocultures
											qui ne font pousser que quelques
variétés de chaque espèce,
											si quelque chose arrive
à une seule de ces variétés,
											l'impact peut être énorme
sur l'approvisionnement en nourriture.
											La clef pour garantir
notre sécurité alimentaire
											est de préserver la biodiversité.
											Il y a un siècle, c'était le cas grâce
à tous ceux qui avaient un jardin
											ou un bosquet dans leur arrière-cour
											et faisaient pousser des variétés
dont leur famille héritait.
									",How one tree grows 40 different kinds of fruit,Sam Van Aken,11:24,"trees,art,plants,natural resources,nature,ecology,biodiversity,botany,environment,community"
"
","
","
",How one tree grows 40 different kinds of fruit,Sam Van Aken,11:24,"trees,art,plants,natural resources,nature,ecology,biodiversity,botany,environment,community"
"
											(Risos)
									","
											Estas son las ciruelas de un solo Árbol 
de 40 frutas en una semana en agosto.
											Tras varios años en el proyecto,
											me dijeron que tengo una de las
mayores cosechas de estas frutas
											en el este de Estados Unidos,
											lo que, como artista, es aterrador.
									","
											Il y a des prunes qui poussent une
seule semaine en août sur un seul Arbre.
											Après quelques années de ce projet,
											on m'a dit que j'avais une des plus
grandes collections de fruits
											de la côte Est des États-Unis,
									",How one tree grows 40 different kinds of fruit,Sam Van Aken,11:24,"trees,art,plants,natural resources,nature,ecology,biodiversity,botany,environment,community"
"
","
","
",How one tree grows 40 different kinds of fruit,Sam Van Aken,11:24,"trees,art,plants,natural resources,nature,ecology,biodiversity,botany,environment,community"
"
											Mas de certa forma,
não sabia o que tinha.
											Descobri que a maioria
das variedades que tinha
											eram variedades herdadas,
											tinham sido cultivadas antes de 1945,
											ano que é visto como o nascimento
da industrialização da agricultura.
											Algumas das variedades
datavam de há milhares de anos.
											Ao descobrir o quanto eram raras,
											fiquei obcecado em protegê-las,
											e a arte foi o veículo utilizado.
											Fui a pomares antigos
antes de serem arrancados
											e removia a secção do tronco
											onde se encontrava o enxerto original.
											Comecei a colecionar
flores e folhas prensadas
											para um herbanário de amostras.
											Comecei a sequenciar o ADN.
											Propus-me preservar a história
											através de gravuras e descrições.
											Contar a história do pêssego de George IV,
											que ganhou raízes entre dois 
edifícios em Nova Iorque
											— alguém passa, prova-o,
											e torna-se a variedade comercial
de maior sucesso do século XIX,
											por causa do seu ótimo sabor.
											Quase desaparece,
											pois não aguenta o transporte marítimo
											e não obedece aos requisitos
da agricultura moderna.
									","
											Pero, en gran medida, 
no sabía lo que tenía.
											Descubrí que la mayoría 
de las variedades que poseía
											eran reliquias de aquellas
cultivadas antes de 1945,
											que se considera el comienzo 
de la industrialización de la agricultura.
											Muchas de las variedades
se remontan a miles y miles de años.
											Y al descubrir lo poco comunes que eran,
											me obsesioné con tratar de preservarlas,
											y el medio para hacerlo fue el arte.
											Iba a huertos antiguos
antes de que los destruyeran
											y rescataba la sección del tronco
que contenía el injerto original.
											Empecé a hacer prensados de flores y hojas
para crear especímenes de herbarios.
											Comencé a secuenciar el ADN.
											Pero al final, decidí
preservar la historia
											a través de estos grabados 
y descripciones en tipografía
											para contar la historia 
del durazno ""George IV"",
											que echó raíces entre 
dos edificios de Nueva York:
											alguien que pasaba lo probó
											y se convirtió en una variedad comercial 
muy importante en el siglo XIX,
											por lo bueno que estaba.
											Pero luego todo se desvaneció,
											porque no tenía fácil distribución
y no se ajustaba al cultivo moderno.
									","
											ce qui, pour un artiste,
est absolument terrifiant.
									",How one tree grows 40 different kinds of fruit,Sam Van Aken,11:24,"trees,art,plants,natural resources,nature,ecology,biodiversity,botany,environment,community"
"
","
","
",How one tree grows 40 different kinds of fruit,Sam Van Aken,11:24,"trees,art,plants,natural resources,nature,ecology,biodiversity,botany,environment,community"
