es,tr,de,pt,title,speaker,duration,tags
"
","
","
","
",Sex needs a new metaphor. Here's one ...,Al Vernacchio,8:21,"culture,food,sex"
"
											Así que, ¿cuándo juegas al béisbol?
											Juegas cuando es 
temporada de béisbol
											y cuando hay un partido 
en el calendario.
											No es precisamente tu elección.
											Así que en un baile de 
graduación o la noche de bodas.
											o en una fiesta, o si tus padres 
no están en casa,
											entonces, ¡es hora de batear!
											Te imaginas diciéndole a tu entrenador
											""la verdad es que 
no me apetece jugar hoy"",
											""creo que me quedaré 
fuera de este partido.""
											No es así como ocurre.
											Y cuando te reunes 
para jugar al béisbol,
											inmediatamente se forman 
dos equipos contrarios,
											uno que juega a la ofensiva 
y otro a la defensiva,
											alguien que intenta avanzar 
por el terreno de juego,
											normalmente el chico.
											Y alguien que intenta detener 
el avance del equipo contrario.
											Lo que suele ser 
tarea de la chica.
											Es competitivo.
											No estamos jugando juntos.
											Estamos jugando uno contra el otro.
											Y a la hora de jugar un partido,
											no hace falta que nadie 
diga que hay que hacer
											o como este partido de 
béisbol puede beneficiarnos.
											Todo el mundo conoce las reglas.
											Simplemente te colocas en 
tu posición y juegas el partido.
									","
											Peki, ne zaman beyzbol oynarsınız?
											Beyzbol sezonu olduğunda beyzbol oynarsınız
											ve programda oyun olduğu zaman.
											Bu tam olarak sizin seçiminiz değil.
											Yani, eğer balo ya da düğün gecesiyse,
											bir partideyseniz ya da ebeveynlerimiz evde değilse,
											hey,hareket zamanı
											Koçuna şöyle dediğini hayal edebiliyor musun?
											"" Of, bugün hiç de havamda değilim.
											Sanırım bu oyuna katılmayacağım.""
											İşler böyle yürümüyor.
											Beyzbol oynamak için bir araya geldiğinizde,
											hemen, iki rakip takımlasınızdır.
											Birisi savunma oynar, diğeri hücum,
											birisi alanda daha da ileri gitmeyi dener.
											Bu genellikle erkektir.
											Birisi alana girenleri savunmaya çalışır.
											Bu da genellikle kızdır.
											Rekabetçidir.
											Biz birbirimizle oynamıyoruz.
											Biz, birbirimize karşı oynuyoruz.
											Beyzbol oynamak için çıkageldiğinizde,
											hiçkimsenin ne yapacağınızla ilgili konuşmasına gerek yoktur
											ya da bu beyzbol oyununun bize ne kadar iyi gelebileceği hakkında konuşmaya gerek yoktur.
											Herkes kuralları bilir.
											Siz sadece pozisyonunuzu alır ve oyununuzu oynarsınız.
									","
											Wann spielen Sie Baseball?
											Dann, wenn die Baseball-Saison ist,
											und ein Spiel anberaumt wird.
											Es ist nicht wirklich Ihre Wahl.
											Also, wenn Abschlussball 
oder die Hochzeitsnacht ist,
											oder auf einer Party, wenn 
Ihre Eltern nicht zu Hause sind,
											ist Spielzeit.
											Können Sie sich vorstellen, 
dass Sie Ihrem Trainer sagen:
											""Mmh, ich fühle mich heute nicht gut.
											Ich denke, ich pausiere bei diesem Spiel.""
											So etwas passiert einfach nicht.
											Und wenn Sie sich treffen, 
um Baseball zu spielen,
											haben Sie sofort zwei gegensätzliche Teams,
											ein offensives, ein defensives,
											und jemand versucht, 
sich tiefer in das Feld zu bewegen.
											Das ist meist ein Zeichen für den Jungen.
											Jemand versucht, Leute abzuwehren, 
die sich in das Feld bewegen.
											Das ist meist die Rolle des Mädchens.
											Es ist kompetitiv.
											Wir spielen nicht miteinander.
											Wir spielen gegeneinander.
											Und wenn Sie erscheinen, um Baseball zu spielen,
											spricht niemand darüber, was wir tun werden,
											oder warum dieses Spiel gut für uns sein könnte.
											Jeder kennt die Regeln.
											Sie nehmen einfach Ihre Position ein 
und spielen das Spiel.
									","
											Quando é que se joga basebol?
											Joga-se basebol quando é 
a temporada do basebol
											e quando há um jogo marcado.
											Não é exatamente uma escolha nossa.
											Se é a noite da formatura 
ou do casamento
											ou numa festa, ou se os pais 
não estão em casa,
											é só jogar.
											Conseguem imaginar 
dizer ao treinador:
											""Hoje não me está a apetecer jogar,
											""acho que vou ficar de fora.""
											Não é bem assim que as coisas funcionam.
											Quando nos reunimos 
para jogar basebol,
											imediatamente temos duas equipas opostas,
											uma a jogar ao ataque
e a outra na defesa.
											Alguém está a tentar penetrar 
mais fundo no campo.
											O que é normalmente atribuído aos rapazes.
											Alguém a tentar defender-se
dos avanços para dentro do campo.
											É frequentemente associado às raparigas.
											É competitivo.
											Não estamos a jogar um com o outro,
mas um contra o outro.
											Quando nos reunimos para jogar basebol,
											ninguém precisa de nos explicar 
o que vamos fazer
											ou como este jogo de basebol 
pode ser bom para nós.
											Todos conhecem as regras.
											Apenas assumimos
a nossa posição e jogamos.
									",Sex needs a new metaphor. Here's one ...,Al Vernacchio,8:21,"culture,food,sex"
"
","
","
","
",Sex needs a new metaphor. Here's one ...,Al Vernacchio,8:21,"culture,food,sex"
"
											¿Pero qué ocurre con la pizza?
											Bueno, comes una pizza 
cuando te apetece.
											Empieza con una sensación interna, 
deseo interno o necesidad.
											""Mmm. Podría ir por una pizza"".
											(Risas)
											Y debido a que se trata 
de un deseo interno,
											es que tenemos 
cierto control sobre ello.
											Podría decidir que tengo hambre
											aun sabiendo que no es 
buen momento para comer.
											Y cuando vamos con 
alguien por una pizza,
											no estamos compitiendo con el otro,
											buscamos una experiencia
											que ambos podemos compartir
											que nos satisface a los dos,
											y cuando vas con alguien por pizza,
											¿qué es lo primero que haces?
											Hablas sobre ello.
											Hablas de lo que quieres.
											Hablas de lo que te gusta.
											Incluso puedes negociar.
									","
											Ancak ne zaman pizza yersiniz?
											Canınız pizza istediğinde pizza yersiniz.
											İçsel bir duyguyla başlar, içsel bir arzu ya da ihtiyaçla.
											"" Hı hı biraz pizza yiyebilirim.""
											(Kahkahalar)
											İçsel bir arzu olduğu için,
											aslında bunun üzerinde kontrole de sahibizdir.
											Aç olduğuma karar verebilirim
											ancak bunun yemek yemek için iyi bir zaman olmadığını da bilirim.
											Birisiyle pizza yemek için bir araya geldiğimizde,
											onlarla yarışmayız.
											ikimizin de yaşayacağı
											ve ikimizi de tatmin edecek
											bir deneyim ararız
											ve birisiyle pizza yemek için bir araya geldiğinizde
											ilk yaptığınız şey nedir?
											Bununla ilgili konuşursunuz.
											Ne istediğinizi konuşursunuz.
											ne sevdiğinizi konuşursunuz.
											Anlaşma bile yapabilirsiniz.
									","
											Aber was ist mit Pizza?
											Pizza holen Sie sich, 
wenn Sie Hunger haben.
											Es fängt mit einem inneren Empfinden an, 
einem Verlangen oder Bedürfnis.
											""Eine Pizza wäre jetzt genau richtig.""
											(Lachen)
											Und weil es ein inneres Verlangen ist,
											haben wir eine Art Kontrolle darüber.
											Ich könnte mich dafür entscheiden, 
dass ich hungrig bin,
											aber weiß, dass es keine gute Zeit zum Essen ist.
											Und wenn wir uns mit jemandem 
zum Pizzaessen treffen,
											konkurrieren wir nicht mit ihnen,
											sondern wir wollen eine Erfahrung machen,
											die beide teilen,
											und die beide glücklich macht.
											Und wenn wir uns mit jemandem 
zum Pizzaessen treffen,
											was machen Sie zuerst?
											Sie reden darüber.
											Sie reden darüber, was Sie wollen.
											Darüber, was Sie mögen.
											Sie verhandeln vielleicht sogar.
									","
											E quando comemos ""pizza""?
											Comemos ""pizza"" quando estamos 
com vontade de comer ""pizza"".
											Começa com uma perceção interna, 
um desejo interior ou uma necessidade.
											""Eu era capaz de comer uma 'pizza' agora.""
											(Risos)
											E como é um desejo interior,
											temos algum controlo sobre isso.
											Eu posso decidir que tenho fome
											mas saber que não é
uma boa hora para comer.
											Quando nos reunimos 
com alguém para comer ""pizza"",
											não estamos a competir com eles,
											estamos à procura de uma experiência
para partilharmos,
											que seja satisfatória para os dois.
											E quando nos reunimos
para comer ""pizza"" com alguém,
											qual é a primeira coisa que fazemos?
											Falamos sobre o assunto.
											Falamos sobre o que queremos.
											Falamos sobre o que gostamos.
											Podemos até negociar.
									",Sex needs a new metaphor. Here's one ...,Al Vernacchio,8:21,"culture,food,sex"
"
","
","
","
",Sex needs a new metaphor. Here's one ...,Al Vernacchio,8:21,"culture,food,sex"
"
											""¿Qué te parece el pepperoni?"" (Risas)
									","
											""Sosise ne dersin?"" (Kahkahalar)
									","
											""Was hältst du von Pepperoniwurst?"" (Lachen)
									","
											""O que é que achas dos pepperoni?""
(Risos)
									",Sex needs a new metaphor. Here's one ...,Al Vernacchio,8:21,"culture,food,sex"
"
","
","
","
",Sex needs a new metaphor. Here's one ...,Al Vernacchio,8:21,"culture,food,sex"
"
											""No me gusta mucho, 
soy más de champiñones"".
									","
											"" Çok sevmem, daha çok mantar tercih ederim"".
									","
											""Nicht viel, ich bin mehr der Pilz-Typ"".
									","
											""Não gosto muito, eu sou mais 
'pizza' com cogumelos.""
									",Sex needs a new metaphor. Here's one ...,Al Vernacchio,8:21,"culture,food,sex"
"
","
","
","
",Sex needs a new metaphor. Here's one ...,Al Vernacchio,8:21,"culture,food,sex"
"
											""Bueno, podemos tomar 
la mitad de cada una"".
									","
											""Peki, belki yarısı sosisli yarısı mantarlı deneyebiliriz.""
									","
											""Vielleicht können wir ja Hälfte-Hälfte machen"".
									","
											""Talvez possamos pedir meio a meio.""
									",Sex needs a new metaphor. Here's one ...,Al Vernacchio,8:21,"culture,food,sex"
"
","
","
","
",Sex needs a new metaphor. Here's one ...,Al Vernacchio,8:21,"culture,food,sex"
"
											Incluso si llevas comiendo 
pizza con alguien
											desde hace mucho tiempo,
											todavía dices cosas como,
											""¿Deberiamos tomar 
lo de siempre?""
											(Risas)
											""¿O quizá algo un poco más atrevido?""
									","
											Birisiyle çok uzun zamandır
											pizza yiyor olsanız bile,
											yine de şöyle şeyler demez misiniz:
											""Her zamankinden mi alalım?""
											(Kahkahalar)
											""Ya da daha maceralı bir şeyler?""
									","
											Und selbst, wenn Sie schon öfters mit jemandem
											Pizza gegessen haben,
											sagen Sie nicht immer noch Dinge wie:
											""Sollen wir das Übliche nehmen?""
											(Lachen)
											""Oder vielleicht etwas Abenteuerlicheres?""
									","
											Mesmo que estejamos acostumados
											a comer 'pizza' com alguém há muito tempo,
											não é verdade que ainda
dizemos coisas como:
											""Vamos pedir a do costume?""
											(Risos)
											""Ou, quem sabe, algo mais exótico?""
									",Sex needs a new metaphor. Here's one ...,Al Vernacchio,8:21,"culture,food,sex"
"
","
","
","
",Sex needs a new metaphor. Here's one ...,Al Vernacchio,8:21,"culture,food,sex"
"
											De acuerdo, así que 
si estás jugando al béisbol,
											si hablamos de lo que ocurre 
durante la relación sexual,
											cuando juegas al béisbol,
											se supone que tienes 
que recorrer las bases
											una a una en un 
determinado orden.
											No puedes golpear la bola 
y recorrer todo el campo.
											No funciona así.
											Y tampoco puedes llegar 
a la segunda base y decir,
											""Me gusta esto. 
Voy a quedarme aquí.""
											No.
											Y también, por supuesto, 
en el béisbol hay
											un equipo específico y 
unas habilidades concretas.
											No todo el mundo puede 
jugar al béisbol. Es muy restrictivo.
									","
											Tamam, beyzbol oynadığınız zaman
											cinsel ilişki esnasından bahsediyorsak,
											beyzbol oynadağınız zaman,
											sırasıyla
											kaleleri dolaşmalısınız.
											Topa vurup doğru alana koşamazsınız.
											Bu işe yaramaz.
											Aynı şekilde ikinci kaleye gidip
											''Ben burayı çok sevdim burada kalacağım.'' diyemezsiniz.
											Hayır.
											Ayrıca, beyzbolda bir de
											belli araç gereç ve belirli yetenekler var.
											Herkes beyzbol oynayamaz. Bu oldukça ayrıcalıklı bir oyun.
									","
											Wenn Sie also Baseball spielen –
											wenn wir sexuelle Aktivitäten meinen –
											wenn Sie Baseball spielen,
											sollen Sie die ""Bases"" ablaufen,
											und zwar jeweils eine, in der richtigen Reihenfolge.
											Sie können nicht den Ball treffen und sofort loslaufen.
											Das funktioniert nicht.
											Und Sie können auch nicht zur 
zweiten Base kommen und sagen:
											""Ich mag es hier. Ich bleibe hier"".
											Nein.
											Und bei Baseball gibt es natürlich
											die passende Ausrüstung und 
die besonderen Fähigkeiten.
											Nicht jeder kann Baseball spielen. 
Es ist ziemlich exklusiv.
									","
											Ok, quando se joga basebol,
											em comparação com o que acontece 
na atividade sexual,
											quando se joga basebol,
											espera-se que se corra
à volta das bases
											pela ordem correta, uma de cada vez.
											Não se pode bater a bola
e correr pelo campo.
											Não é assim que funciona.
											E também não dá para
chegar à 2.ª base e dizer:
											""Gostei disto aqui. Vou ficar aqui"".
											Não.
											É claro, com o basebol também há
											um equipamento específico 
e uma aptidão específica.
											Nem toda gente consegue jogar basebol. 
É muito exclusivo.
									",Sex needs a new metaphor. Here's one ...,Al Vernacchio,8:21,"culture,food,sex"
"
","
","
","
",Sex needs a new metaphor. Here's one ...,Al Vernacchio,8:21,"culture,food,sex"
"
											Bien, ¿pero y con la pizza?
											Cuando intentamos averiguar 
que es bueno en una pizza.
											¿no se trata de aquello que nos gusta?
											Hay un millón de pizzas diferentes.
											Un millón de ingredientes distintos.
											Existe un millón de formas 
diferentes de comer pizza.
											Y ninguna incorrecta, 
simplemente son diferentes.
											Y en este caso, 
las diferencias son algo bueno,
											porque eso hace que 
aumenten las posibilidades
											de que tengamos 
una experiencia satisfactoria.
									","
											Tamam ama peki ya pizza?
											Pizzaya neyin yakışacağını bulmaya çalışırken
											aslında bu tamamen bizim zevkimizle ilgili değil mi?
											Milyonlarca pizza çeşidi var.
											Milyonlarca pizza malzemesi var.
											Pizza yemenin milyonlarca farklı yolu var.
											Ve bunlardan hiçbiri yanlış değil. Sadece farklı.
											Bu durumda, farklılık iyidir
											çünkü bu tatmin edici bir deneyim yaşama şansımızı
											arttıracaktır .
									","
											Gut, aber was ist mit Pizza?
											Wenn wir uns überlegen, 
welche Pizza wir wollen,
											geht es dann nicht nur um unser Vergnügen?
											Es gibt Millionen verschiedene Arten von Pizza.
											Es gibt Millionen verschiedene Beläge.
											Es gibt Millionen Arten, eine Pizza zu essen.
											Und keine von ihnen ist falsch. 
Sie sind unterschiedlich.
											Und in diesem Fall ist Unterschied gut,
											weil das die Chance erhöht,
											dass wir eine gute Erfahrung haben werden.
									","
											Ok, e quanto à ""pizza""?
											Quando tentamos descobrir 
o que a ""pizza"" tem de bom,
											não se trata apenas do nosso prazer?
											Há milhões de tipos de ""pizzas"".
											Há milhões de recheios.
											Há milhões de formas de comer ""pizza"".
											Nenhuma delas está errada. 
São diferentes.
											Neste caso, a diferença é boa,
											porque vai aumentar a possibilidade
											de termos uma experiência satisfatória.
									",Sex needs a new metaphor. Here's one ...,Al Vernacchio,8:21,"culture,food,sex"
"
","
","
","
",Sex needs a new metaphor. Here's one ...,Al Vernacchio,8:21,"culture,food,sex"
"
											Y finalmente, ¿qué resultado 
esperamos en el béisbol?
											Pues en el beísbol, 
tú juegas para ganar.
											Anotar tantas carreras como puedas.
											Siempre hay un ganador en el béisbol,
											lo que significa que siempre 
hay un perdedor en el béisbol.
									","
											Son olarak, beyzbolun beklenilen sonucu nedir?
											Beyzbolu kazanmak için oynarsınız.
											Yapabildiğiniz kadar sayı yaparsınız.
											Beyzbolda her zaman bir kazanan vardır.
											bu da demek oluyor ki beyzbolda her zaman bir de kaybeden vardır.
									","
											Und zu guter Letzt, was ist 
das erwartete Ergebnis von Baseball?
											Nun, Baseball spielen Sie, um zu gewinnen.
											Sie versuchen, so viele Runs 
wie möglich zu erzielen.
											Es gibt immer einen Gewinner im Baseball,
											was bedeutet, dass es immer 
einen Verlierer im Baseball gibt.
									","
											Finalmente, qual é o resultado 
esperado do basebol?
											Bem, no basebol, joga-se para ganhar.
											Marca-se o máximo de pontos possível.
											Há sempre um vencedor no basebol.
											Isso significa também 
que há sempre um perdedor.
									",Sex needs a new metaphor. Here's one ...,Al Vernacchio,8:21,"culture,food,sex"
"
","
","
","
",Sex needs a new metaphor. Here's one ...,Al Vernacchio,8:21,"culture,food,sex"
