es,fr,de,pt,title,speaker,duration,tags
"
","
","
","
",The story of Project Orion,George Dyson,8:38,"NASA,Planets,future,history,physics,rocket science,science,space,storytelling,technology"
"
											Pero todo este tiempo estuve por ahí haciendo estas raras travesías
											por lugares extaños y hermosos de este planeta,
											pero en el fondo siempre pensaba en el Proyecto Orion,
											y sobre cómo mi padre y sus amigos iban a construir estas enormes naves.
											Iban a ir en serio. Realmente iban a ir.
											Ted Taylor, quien dirigió el proyecto, iba a llevar a sus hijos.
											Mi padre no iba a llevar a sus hijos.
											Esa es una de las razones por las que estuvimos en desacuerdo algunos años.
									","
											Mais tout ce temps j'étais là en train de faire ces étranges voyages en kayak
											dans des coins bizarres et magnifiques de cette planète,
											j'ai toujours pensé au fond de mon esprit au projet Orion,
											et comment mon père et ses amis allaient construire ces énormes vaisseaux.
											Ils pensaient vraiment y aller. Ils allaient en fait y aller.
											Ted Taylor, qui dirigeait le projet, allait prendre ses enfants avec lui.
											Mon père n'allait pas prendre les siens.
											C'est l'une des raisons pour lesquelles nous avons eu une sorte d'éloignement pendant quelques années.
									","
											Aber während dieser ganzen Zeit als ich da draußen war, um diese merkwürdigen Kajak Reisen zu unternehmen,
											zu ungewöhnlichen, wunderschönen Teilen dieses Planeten,
											dachte ich insgeheim stets über das Projekt Orion nach,
											und wie mein Vater und seine Freunde diese riesigen Raumschiffe bauen würden.
											Sie hatten das wirklich vor. Sie würden es tatsächlich tun.
											Ted Taylor, der das Projekt leitete, wollte seine Kinder mitnehmen.
											Mein Vater allerdings wollte seine Kinder nicht mitnehmen.
											Das ist einer der Gründe, warum wir für ein paar Jahre Streit hatten.
									","
											Mas durante o tempo em que estive 
nestas estranhas viagens de caiaque,
											em belas e extraordinárias 
partes do planeta,
											tinha sempre no fundo da minha mente 
o Projeto Orion
											e como o meu pai e os seus amigos 
iam construir essas grandes naves.
											Eles estavam mesmo decididos a ir.
											Ted Taylor, que liderou o projeto, 
até ia levar os filhos.
											O meu pai não ia levar os filhos,
											e esta foi uma das razões do nosso 
afastamento durante alguns anos.
									",The story of Project Orion,George Dyson,8:38,"NASA,Planets,future,history,physics,rocket science,science,space,storytelling,technology"
"
","
","
","
",The story of Project Orion,George Dyson,8:38,"NASA,Planets,future,history,physics,rocket science,science,space,storytelling,technology"
"
											(Risas)
									","
											(Rires)
									","
											(Lachen)
									","
											(Risos)
									",The story of Project Orion,George Dyson,8:38,"NASA,Planets,future,history,physics,rocket science,science,space,storytelling,technology"
"
","
","
","
",The story of Project Orion,George Dyson,8:38,"NASA,Planets,future,history,physics,rocket science,science,space,storytelling,technology"
"
											El proyecto empezó en el '57 en General Atomic,
											en la costa de La Jolla.
											Miren el edificio central justo en el medio de esa foto.
											Esa es la biblioteca con un diámetro de 130 pies.
											Es exactamente el tamaño de la base de la nave espacial.
											Poniendo la biblioteca al pie de la nave —
											muestra lo grande que iba a ser esa cosa.
											Requeriría dos o tres mil bombas.
											Muchas de las personas que trabajaban eran de Los Alamos
											y habían trabajado en la bomba de hidrógeno.
											Fue el primer proyecto financiado por ARPA.
											Ese es el contrato, donde ARPA dió el primer millón de dólares
											para empezar el proyecto.
											""El proyecto de la nave espacial ha empezado oficialmente. El trabajo te espera. Dyson.""
											Era julio del '58.
											Dos días después: el manifiesto del viajero del espacio explicando el porqué —
											así como oímos ayer — ¿por qué necesitamos ir al espacio?
											""Viajes a los satélites de los planetas más lejanos"" — 20 de agosto de 1958.
									","
											Le projet a commencé en 57 à General Atomic ici.
											C'est juste sur la côte de La Jolla.
											Regardez ce bâtiment central juste au milieu de la photo.
											C'est une bibliothèque de 40 mètres de diamètre.
											C'est exactement la taille de la base du vaisseau.
											Donc, mettez la bibliothèque en bas du vaisseau —
											ce truc allait être aussi gros que cela.
											Ca prendrait deux ou trois mille bombes.
											Les personnes qui travaillaient dessus étaient pour beaucoup celles de Los Alamos
											qui avait fait marcher la bombe à hydrogène.
											C'était le premier projet financé par l'ARPA.
											C'est le contrat pour lequel l'ARPA a donné le premier million de dollars
											pour lancer ce projet.
											""Le projet vaisseau spatial a officiellement commencé. Du boulot vous attend. Dyson.""€
											C'était en juillet 58.
											deux jours plus tard : le manifeste du voyageur de l'espace expliquait pourquoi —
											tout comme on l'a entendu hier — pourquoi nous avions besoin d'aller dans l'espace ?
											""Voyages vers les satellites des planètes externes"" - 20 août 1958.
									","
											Das Projekt begann 1957 dort bei General Atomic.
											Das liegt direkt an der Küste von La Jolla.
											Schauen Sie auf das Gebäude genau in der Mitte des Bildes.
											Das ist die Bibliothek mit vierzig Meter Durchmesser.
											Das entspricht exakt der Basisgröße des Raumschiffes.
											Also, wenn Sie die Bibliothek an das Ende des Raumschiffs setzten —
											so groß sollte dieses Schiff werden.
											Es würden zwei oder drei tausend Bomben notwendig sein.
											Viele der Menschen die daran arbeiteten waren aus Los Alamos,
											die auch an Wasserstoffbomben gearbeitet hatten.
											Das war das erste von ARPA gesponsorte Projekt.
											Das ist der Vertag, in dem ARPA die erste Million Dollar vergab,
											um das Projet beginnen zu können.
											""Das Raumschiffprojekt hat offiziell begonnen. Die Arbeit wartet auf Sie. Dyson.""
											Das war im Juli 1958.
											Zwei Tage später: das Raumfahrtmanifest erklärte warum —
											wie wir gestern gehört haben — warum es notwendig ist, in den Weltraum zu fahren.
											""Reisen zu Sateliten der äußeren Planeten"" — 20. August 1958.
									","
											O projeto começou em 1957 
na General Atomics.
											Fica mesmo na costa de La Jolla.
											Vejam aquele edifício central, 
mesmo no meio da imagem.
											Aquela é a biblioteca, 
com 40 metros de diâmetro,
											que é exatamente o tamanho 
da base da nave espacial.
											Coloquem aquela biblioteca 
no fundo da nave
											e esse seria o tamanho da coisa.
											Precisaria de duas ou três mil bombas.
											Muitos dos que trabalharam lá
eram pessoal de Los Alamos
											que tinha trabalhado 
na bomba de hidrogénio.
											Foi o primeiro projeto 
financiado pela ARPA.
											É o contrato em que a ARPA deu o primeiro 
milhão de dólares para iniciar o projeto.
											""Projeto Nave Espacial 
começou oficialmente.
											""Trabalho espera por si. Dyson.""
											Isto foi em julho de 1958.
											Dois dias depois, o manifesto 
do viajante espacial explicando a razão,
											— tal como ouvimos ontem —
por que precisamos de ir para o espaço.
											""Viagens aos satélites dos planetas 
exteriores — 20 de agosto de 1958.""
									",The story of Project Orion,George Dyson,8:38,"NASA,Planets,future,history,physics,rocket science,science,space,storytelling,technology"
"
","
","
","
",The story of Project Orion,George Dyson,8:38,"NASA,Planets,future,history,physics,rocket science,science,space,storytelling,technology"
"
											Esas son las estadísticas de cuáles serían buenos lugares para ir y parar.
											Algunos de los tamaños de las naves,
											hasta alcanzar 8 milliones de toneladas.
											Ese fue el límite máximo.
											Aquí estaba la segunda versión — 2,000 bombas.
											Estas son bombas de cinco kilotones, aproximádamente del tamaño de un Volkswagen.
											Se necesitarían 800 para alcanzar la órbita.
											Aquí vemos una nave de 10,000 toneladas —
											transportará 1,300 toneladas a Saturno y de regreso.
											Esencialmente un viaje de cinco años.
											Posibles fechas de salida: octubre de 1960 hasta febrero de 1967.
											Éstas son trayectorias para ir a Marte.
											Todo se hizo a mano, con reglas de cálculo.
											La pequeña nave Orion —
											y lo que se requeriría para hacer lo que hacía Orion con químicos,
											tienes una nave del tamaño del edificio Empire State.
									","
											Ce sont les statistiques de ce qui serait les bonnes places où aller et s'arrêter.
											Quelques tailles de vaisseaux,
											allant jusqu'à des poids de 8 millions de tonnes.
											Ca c'était l'ultime extrême.
											Ici c'était la version 2 — 2000 bombes.
											Il s'agit de bombes de 5 kilotonnes de rendement, d'environ la taille de petites Volkswagens.
											Il en faudrait 800 pour aller en orbite.
											Ici nous voyons un vaisseau de 10 000 tonnes —
											qui va en délivrer 1300 tonnes jusqu'à Saturne et revenir.
											En gros un voyage de 5 ans.
											Dates de départ possibles : Octobre 1960 jusqu'à 1967.
											Ca ce sont les trajectoires vers Mars.
											Tout ça était fait à la main, avec les règles.
											Le petit vaisseau Orion —
											et ce qu'il faudrait pour faire ce qu'Orion fait avec des produits chimiques,
											ça ferait un vaisseau de la taille de l'Empire State Building.
									","
											Das sind die Statistiken über günstige Reiseziele und Zwischenstops.
											Die Größe einiger Schiffe,
											reicht hinauf bis zu 8 Millionen Tonnen.
											Das hier war das Größte von allen.
											Hier die zweite Version — 2,000 Bomben.
											Das sind Bomben mit 5 Kilotonnen Sprengkraft, etwa in der Größe kleiner Volkswagen.
											Es würde 800 benötigen um ins Orbit zu gelangen.
											Hier sehen wir ein 10,000 Tonnen Schiff —
											das wird 1,300 Tonnen zum Saturn und wieder zurück bringen.
											Im Grunde genommen eine 5-jährige Reise.
											Mögliche Abreisedaten: Oktober 1960 bis Februar 1967.
											Das ist die Flugbahn zum Mars.
											Alles das wurde von Hand berechnet, mit Rechenschiebern.
											Das kleine Orion Schiff —
											und was nötig wäre, um zu tun was Orion mit Chemikalien macht,
											man hat ein Schiff von der Größe des Empire State Building.
									","
											Estas são as estatísticas de quais seriam 
os bons lugares para ir e parar.
											Alguns dos tamanhos das naves
											vão até massas de 8 milhões de toneladas.
											Este era o limite máximo.
											Aqui está a versão dois: 2000 bombas.
											Estas são bombas de 5 quilotoneladas
de rendimento,
											do tamanho de pequenos Volkswagens.
											Seriam precisas 800 para entrar em órbita.
											Aqui vemos uma nave de 10 000 toneladas
que carregaria 1300 toneladas
											e faria a ida e volta a Saturno,
											essencialmente, uma viagem de cinco anos.
											Possíveis datas de partida: 
outubro de 1960 a fevereiro de 1967.
											(Risos)
											Estas são trajetórias para ir a Marte.
											Foi tudo feito à mão
com réguas de cálculo.
											A pequena nave Orion e o necessário 
para fazer o que ela faz com os químicos.
											Têm uma nave do tamanho 
do Empire State Building.
									",The story of Project Orion,George Dyson,8:38,"NASA,Planets,future,history,physics,rocket science,science,space,storytelling,technology"
"
","
","
","
",The story of Project Orion,George Dyson,8:38,"NASA,Planets,future,history,physics,rocket science,science,space,storytelling,technology"
"
											La NASA no mostró ningún interés. Intentaron cerrar el proyecto.
											Fue la Fuerza Aérea la que apoyó,
											lo que significaba que todo era secreto.
											Por eso, cuando se des-clasifica algo,
											se ve así.
											Versiones con armas militares que cargaban
											bombas de hidrógeno capaces de destruir la mitad del planeta.
											Hubo otra versión que lanzaba contraataques hacia la Unión Soviética —
											esto fue lo realmente secreto: cómo producir explosiones de energía dirigida,
											Pues, estás mandando la energía de una explosión nuclear —
											no como con dinamita,
											sino que estás dirigiéndola a la nave.
											Y este tema sigue muy activo.
											Es bastante peligroso,
											pero creo que es mejor tener las cosas peligrosas abiertas al público
											que pensar en que podrías mantenerlas ocultas.
									","
											La NASA n'avait aucun intérêt dans ce projet. Ils ont essayé de le tuer.
											Les gens qui le soutenaient étaient l'armée de l'air,
											ce qui signifie que tout ça était secret.
											C'est pourquoi, quand vous avez quelque chose de déclassifié
											c'est à ça que ça ressemble.
											Les versions millitaires armées étaient des versions qui embarquaient
											des bombes à hydrogène qui pouvaient détruire la moitié de la planète.
											Il y avait une autre version qui envoyait des attaques de rétorsion sur l'Union Soviétique —
											Ca c'était le vrai secret : comment cibler l'énergie des explosions,
											vous envoyez l'énergie des explosions nucléaires —
											pas juste comme un bâton de dynamite,
											mais que vous dirigez sur le vaisseau.
											Et c'est toujours un sujet d'actualité.
											C'est assez dangeureux,
											mais je crois que c'est mieux d'avoir des choses dangeureuses connues de tous
											plutôt que de penser que vous allez les garder secrètes.
									","
											Die NASA war nicht interessiert. Sie versuchten das Projekt zu beenden.
											Die, die es unterstützten war die Air Force,
											was bedeutete, dass es alles geheim war.
											Daher bekommt man nach einer Freigabe etwas,
											das dann so aussieht.
											Versionen von militärischen Waffen beinhalteten
											Wasserstoffbomben, die den halben Planeten hätten zerstören können.
											Es gab noch eine weitere Version, einen Vergeltungsschlag an der Sowjetunion —
											das waren die wirklich geheimen Dinge: wie gerichtete Energieexplosionen erzeugt werden können,
											man sendet die Energie einer nuklearen Explosion —
											nicht wie ein Dynamitstab,
											sondern man lenkt sie auf das Schiff.
											Und das ist immer noch eine aktuelle Debatte.
											Es ist sehr gefährlich,
											aber ich denke es ist besser gefährliche Dinge öffentlich zu machen,
											als sie geheim zu halten.
									","
											A NASA não tinha interesse, 
tentou matar o projeto.
											Quem o apoiou foi a Força Aérea,
											o que significava que era tudo segredo.
											É por isso que, quando algo 
deixa de ser confidencial, fica assim.
											(Risos)
											Versões de armas militares
que transportavam bombas de hidrogénio
											que podiam destruir metade do planeta.
											Há outra versão que envia ataques
de retaliação à União Soviética.
											Este é o material realmente secreto: 
obter explosões de energia direcionada.
											Enviamos a energia 
de uma explosão nuclear,
											não como apenas uma barra de dinamite,
											mas estamos a direcioná-la para a nave.
											E este é ainda um assunto muito debatido.
											É muito perigoso, mas eu acredito que 
é melhor ter as coisas perigosas à vista
											do que pensar em mantê-las em segredo.
									",The story of Project Orion,George Dyson,8:38,"NASA,Planets,future,history,physics,rocket science,science,space,storytelling,technology"
"
","
","
","
",The story of Project Orion,George Dyson,8:38,"NASA,Planets,future,history,physics,rocket science,science,space,storytelling,technology"
"
											Éso es lo que pasa a 600 microsegundos.
											La Fuerza Aérea construyó modelos más pequeños y empezaron a probarlo.
											Los hombres en La Jolla dijeron, ""Tenemos que empezar ahora.""
											Construyeron un modelo propulsado por explosivos de altas potencia.
											Estos son fotogramas de películas que fueron conservadas por alguien
											quien debía destruirlas, pero no lo hizo,
											y las guardó en su sótano durante los últimos 40 años.
											Estas son cargas de C4 de tres libras.
											Eso es aproximádamente 10 veces lo que tenía el chico en sus zapatos.
									","
											Ca c'est ce qui se passait à 600 microsecondes.
											L'armé de l'air a commencé à construire des modèles plus petits et à en fait commencé à faire ça.
											Les mecs à La Jolla disaient, ""Nous devons nous y mettre maintenant.""
											Ils ont construit un modèle propulsé par un moteur ultra-explosif.
											Il y a toujours des extraits prises depuis des videos qui ont été conservés par quelqu'un
											qui était supposé les détruire mais ne l'a pas fait,
											et les a gardé dans leur sous-sol pendant les 40 dernières années.
											Donc, ça c'est 1,4 Kg de charges explosives C4.
											C'est à peu près 10 fois ce que le gars avait dans ses chaussures.
									","
											Das passierte innerhalb von 600 Mikrosekunden.
											Die Air Force begann damit kleinere Modelle zu bauen, und begann dies.
											Die Männer in La Jolla sagten, "" Wir müssen jetzt anfangen.""
											Sie bauten ein hochexplosiv angetriebenes Modell.
											Das sind Standbilder von Filmmaterial, dass von jemandem aufbewahrt wurde,
											der dafür verantwortlich war es zu zerstören, es aber nicht getan hat,
											und es die letzten 40 Jahre im Keller aufbewahrt hat.
											Das sind 3 Pfund Ladungen C4.
											Das ist ungefähr 10 Mal soviel, wie der Typ in seinen Schuhen hatte.
									","
											Isto é o que acontece 
aos 600 microssegundos.
											A Força Aérea começou a construir
modelos menores e começou a fazer isto.
											O pessoal em La Jolla disse: 
""Nós temos que começar agora.""
											Eles construíram um modelo 
movido a altas explosões.
											Estas são fotografias de filmagens 
que foram salvas por alguém
											que devia destruí-las mas não o fez,
											e guardou-as na cave durante 40 anos.
											Portanto, estas são 
cargas de C4 com 1,5 kg,
											que é cerca de 10 vezes 
o que o tipo tinha nos sapatos.
											(Risos)
									",The story of Project Orion,George Dyson,8:38,"NASA,Planets,future,history,physics,rocket science,science,space,storytelling,technology"
"
","
","
","
",The story of Project Orion,George Dyson,8:38,"NASA,Planets,future,history,physics,rocket science,science,space,storytelling,technology"
"
											Este es Ed Day poniendo — cada una de estas latas de café contiene tres libras de C4.
											Están construyendo un sistema que lo expulsa en intervalos de un cuarto de segundo.
											Este es mi papá, con una americana, llevando el maletín.
											Se divirtieron un montón haciéndolo, pero los niños no estaban permitidos.
											Mi padre pudo decirme que estaba construyendo una nave espacial
											y que iba a ir a Saturno,
											pero no pudo decir nada más que eso.
									","
											Ca c'est Ed Day qui met — donc chaque boite de café a 1,4 Kg de C4 dedans.
											Ils construisent un système qui les éjecte à un quart de secondes d'intervalles.
											C'est mon père dans la veste de sport ici, tenant une malette.
											Ils s'amusaient beaucoup à faire ça, mais aucun enfant n'était autorisé.
											Mon père pouvait me dire qu'il était en train de construire un vaisseau spatial
											et qu'il allait aller vers Saturne,
											mais il ne pouvait rien dire de plus.
									","
											Das ist Ed Day, der — also jede dieser Kaffeedosen enthält 3 Pfund C4.
											Sie bauen hier ein System, das diese in Viertelsekunden-Intervallen ausstößt.
											Das ist mein Vater in dem Sportanzug dort, der die Aktenmappe hält.
											Sie hatten viel Spaß an der Sache, aber Kinder waren nicht erlaubt.
											Mein Vater konnte mir erzählen, dass er ein Raumschiff baut
											und dass er zum Saturn fahren würde,
											aber mehr konnte er mir darüber nicht erzählen.
									","
											Este é o Ed Day a colocar...
											Cada uma dessas latas de café 
tem 1,5 kg de C4 lá dentro.
											Estão a construir um sistema que as ejeta
em intervalos de um quarto de segundo.
											Lá está o meu pai 
de casaco desportivo, a segurar a pasta.
											Divertiam-se imenso a fazer isto. 
Mas não permitiam crianças.
											O meu pai podia dizer-me que estava 
a construir uma nave espacial
											e que ia a Saturno, mas não podia 
dizer mais nada além disso.
									",The story of Project Orion,George Dyson,8:38,"NASA,Planets,future,history,physics,rocket science,science,space,storytelling,technology"
"
","
","
","
",The story of Project Orion,George Dyson,8:38,"NASA,Planets,future,history,physics,rocket science,science,space,storytelling,technology"
"
											Toda mi vida he querido averiguar estas cosas,
											y pasé los últimos cuatro años localizando a estos tipos.
											Estos son fotogramas del video.
											Jeff Bezos amablemente ayer me dijo que
											pondría este video en la página de Amazon, un fragmento.
											Por eso, gracias.
											Fueron bastante serios con la ingeniería de esto.
											El tamaño de la masa, saben, para nosotros es realmente una gran tecnología,
											de una manera en la que no vamos a volver.
											Si vieron la 1959 — eso es como se sentirían en la cabina de pasajeros.
											Este es un perfil de aceleración.
									","
											Donc toute ma vie j'ai voulu savoir de quoi il s'agissait,
											et j'ai passé les 4 dernières années à retrouver ces vieux gars.
											Ce sont des extraits de la vidéo.
											Jeff Bezos a dit gentiment hier
											qu'il mettrait cette video sur Amazon, quelques petits clips.
											Donc, merci à lui.
											Ils étaient sérieux pour la conception technique de ça.
											Les dimensions de cette masse, vous savez, pour nous c'est de la grosse technologie,
											vers laquelle nous n'allons jamais retourner.
											Si vous aviez vu la version de 1959 — vous auriez eu cette impression dans le compartiment passager.
											Ca c'est un profile d'accélération.
									","
											Mein ganzes Leben also wollte ich diese Dinge herausfinden,
											und verbrachte die letzten 5 Jahre damit, diese alten Männer zu verfolgen.
											Das sind Standbilder des Videos.
											Gestern hat Jeff Bezos netterweise gesagt,
											dass er das Video auf die Amazon Seite stellen wird, einen kleinen Ausschnitt davon.
											Es ist also ihm zu verdanken.
											Sie nahmen die Entwicklung sehr ernst.
											Das Ausmaß dieser Massen ist für uns wirklich große Technologie,
											in gewisser Weise kehren wir nie wieder dahin zurück.
											Wenn Sie die 1959 gesehen haben — so würde es sich im Fahrgastraum anfühlen.
											Das ist ein Beschleunigungsprofil.
									","
											Toda a minha vida 
quis descobrir estas coisas,
											e passei os últimos quatro anos 
à procura destes velhotes.
											Estas são fotografias do vídeo.
											Jeff Bezos disse ontem, gentilmente,
											que poria este vídeo no site da Amazon
— um pequeno excerto.
											(Aplausos)
											Por isso, agradeço-lhe.
											Eles levaram muito a sério 
a engenharia disto.
											A grandeza desta massa...
											Para nós, é uma tecnologia enorme
como nunca voltaremos a ver.
											Isto seria o que se sentiria
no compartimento de passageiros.
											Este é o perfil de aceleração.
											(Risos)
									",The story of Project Orion,George Dyson,8:38,"NASA,Planets,future,history,physics,rocket science,science,space,storytelling,technology"
"
","
","
","
",The story of Project Orion,George Dyson,8:38,"NASA,Planets,future,history,physics,rocket science,science,space,storytelling,technology"
