en,fr,es,pt,title,speaker,duration,tags
"
","
","
","
",The world's first crowdsourced space traffic monitoring system,Moriba Jah,5:29,"space,environment,exploration,communication,science,technology,TED Fellows"
"
											(Laughter)
									","
											(Rires)
									","
											(Risas)
									","
											(Risos)
									",The world's first crowdsourced space traffic monitoring system,Moriba Jah,5:29,"space,environment,exploration,communication,science,technology,TED Fellows"
"
","
","
","
",The world's first crowdsourced space traffic monitoring system,Moriba Jah,5:29,"space,environment,exploration,communication,science,technology,TED Fellows"
"
											Now, what would be really nice
											is if we had something
like a space traffic map,
											like a Waze for space that I could look up
											and see what the current
traffic conditions are in space,
											maybe even predict these.
											The problem with that, however,
											is that ask five different people,
											""What's going on in orbit?
											Where are things going?""
											and you're probably going to get
10 different answers.
											Why is that?
											It's because information about things
on orbit is not commonly shared either.
									","
											Ce serait très utile
											d'avoir une sorte de carte
de la circulation spatiale,
											une sorte de Waze pour l'espace
que je pourrais consulter
											pour voir quel est l'état actuel
de la circulation spatiale,
											peut-être même le prévoir.
											Le problème, cependant,
											c'est que si vous demandez
à cinq personnes différentes :
											« Que se passe-t-il en orbite ?
											Où vont les débris ? »,
											vous aurez probablement
10 réponses différentes.
											Pourquoi donc ?
											Parce que l'information sur les objets en
orbite n'est pas partagée publiquement.
									","
											Ahora, lo realmente lindo
											sería tener algo así 
como un mapa de tráfico espacial,
											como un Waze para el espacio 
en el que se pudiera buscar
											y ver cuáles son las condiciones
actuales del tráfico en el espacio,
											tal vez incluso predecirlas.
											El problema con eso, sin embargo,
											es que preguntan 
a cinco personas diferentes,
											""¿Qué está pasando en órbita?
											¿A dónde van las cosas?
											y probablemente se obtienen 
diez respuestas diferentes.
											¿Por qué es eso así?
											Porque la información sobre cosas
en órbita tampoco se comparte comúnmente.
									","
											Agora, o que seria muito bom
											era se tivéssemos algo,
como um mapa de tráfego espacial,
											como um Waze para o espaço,
em que eu pudesse procurar
											e ver quais eram as condições atuais
de tráfego no espaço,
											talvez até prever essas condições.
											Contudo, o problema disto
											é que, se perguntar
a cinco pessoas diferentes:
											""O que se está a passar em órbita?
											""Para onde estão a ir as coisas?""
											provavelmente vai receber
dez respostas diferentes.
											Porquê?
											Porque a informação sobre
o que está em órbita
											também não é comummente partilhada.
									",The world's first crowdsourced space traffic monitoring system,Moriba Jah,5:29,"space,environment,exploration,communication,science,technology,TED Fellows"
"
","
","
","
",The world's first crowdsourced space traffic monitoring system,Moriba Jah,5:29,"space,environment,exploration,communication,science,technology,TED Fellows"
"
											So what if we had a globally accessible,
											open and transparent
space traffic information system
											that can inform the public
of where everything is located
											to try to keep space safe and sustainable?
											And what if the system could be used
											to form evidence-based
norms of behavior —
											these space traffic rules?
									","
											Et si nous avions un système d'information
											accessible à tous, ouvert et
transparent, sur la circulation spatiale
											qui pourrait informer les gens
sur où ces objets sont localisés
											afin de maintenir la sécurité
et la viabilité de l'espace ?
											Et si ce système pouvait être utilisé
											pour créer des règles de conduite
basées sur l'expérience –
											un code de la route spatial ?
									","
											¿Y si tuviéramos un sistema 
globalmente accesible,
											un sistema de información de 
tráfico espacial abierto y transparente
											que pudiera informar al público 
sobre dónde está ubicado todo
											para tratar de mantener 
el espacio seguro y sostenible?
											¿Y si el sistema pudiera ser usado
											para formar normas de comportamiento 
basadas en evidencia...
											estas reglas de tráfico espacial?
									","
											E se tivéssemos um sistema
de informação de tráfego espacial
											globalmente acessível, aberto
e transparente
											que pudesse informar o público
de onde está tudo localizado
											para tentar manter
o espaço seguro e sustentável?
											E se o sistema pudesse ser usado
											para criar normas de comportamento,
baseadas em evidência
											— essas regras de trânsito espacial?
									",The world's first crowdsourced space traffic monitoring system,Moriba Jah,5:29,"space,environment,exploration,communication,science,technology,TED Fellows"
"
","
","
","
",The world's first crowdsourced space traffic monitoring system,Moriba Jah,5:29,"space,environment,exploration,communication,science,technology,TED Fellows"
"
											So I developed ASTRIAGraph,
											the world's first crowdsourced,
space traffic monitoring system
											at the University of Texas at Austin.
											ASTRIAGraph combines multiple sources
of information from around the globe —
											government, industry and academia —
											and represents this in a common framework
that anybody can access today.
											Here, you can see 26,000 objects
orbiting the earth,
											multiple opinions,
											and it gets updated in near real time.
									","
											J'ai donc développé ASTRIAGraph,
											le premier système participatif au monde
de surveillance de la circulation spatiale
											à l'Université du Texas à Austin.
											ASTRIAGraph associe plusieurs sources
d'information du monde entier –
											gouvernementales, privées, académiques –
											et les fait figurer sur une carte unique
à laquelle tout le monde peut accéder.
											Ici, vous pouvez voir 26 000 objets
en orbite autour de la Terre,
											de plusieurs sources
											et c'est actualisé en quasi temps réel.
									","
											Así desarrollé ASTRIAGraph,
											el primer sistema de monitoreo de tráfico 
espacial de crowdsourcing del mundo
											en la Universidad de Texas en Austin.
											ASTRIAGraph combina múltiples fuentes 
de información de todo el mundo:
											gobierno, industria y academia,
											y representa esto en un marco común 
al que cualquiera puede acceder hoy.
											Aquí pueden ver 26 000 objetos 
que orbitan la tierra,
											múltiples opiniones,
											y se actualiza casi en tiempo real.
									","
											Então, eu desenvolvi o ASTRIAGraph,
											o primeiro sistema mundial
de monitorização de tráfego espacial
											alimentado por utilizadores,
na Universidade de Texas, em Austin.
											O ASTRIAGraph combina múltiplas fontes
de informação de todo o mundo
											— governo, indústria e academia —
											e representa-a numa estrutura comum
que qualquer pessoa pode aceder hoje.
											Aqui, vocês podem ver
26 000 objetos a orbitar a terra,
											várias opiniões,
											e é atualizado em praticamente tempo real.
									",The world's first crowdsourced space traffic monitoring system,Moriba Jah,5:29,"space,environment,exploration,communication,science,technology,TED Fellows"
"
","
","
","
",The world's first crowdsourced space traffic monitoring system,Moriba Jah,5:29,"space,environment,exploration,communication,science,technology,TED Fellows"
"
											But back to my problem
of space traffic map:
											What if you only had information
from the US government?
											Well, in that case, that's what
your space traffic map would look like.
											But what do the Russians think?
											That looks significantly different.
											Who's right? Who's wrong?
											What should I believe?
											What could I trust?
											This is part of the issue.
									","
											Mais, pour en revenir à mon problème
de carte de la circulation spatiale,
											et si nous n'avons que des informations
du gouvernement américain ?
											Voici à quoi ressemblerait
la carte de la circulation spatiale.
											Mais, qu'en pensent les Russes ?
											C'est très différent.
											Qui a raison ? Qui a tort ?
											Qui dois-je croire ?
											A qui faire confiance ?
											Cela fait partie du problème.
									","
											Pero volviendo a mi problema 
del mapa del tráfico espacial:
											¿Qué pasa si solo tenía información 
del gobierno de EE. UU.?
											Bueno, en ese caso, así sería 
su mapa de tráfico espacial.
											¿Pero qué piensan los rusos?
											Eso se ve significativamente diferente.
											¿Quién tiene la razón?
¿Quién esta equivocado?
											¿Qué debería creer yo?
											¿En qué podría confiar yo?
											Esto es parte del problema.
									","
											Mas, voltando ao meu problema
do mapa de tráfego espacial:
											E se vocês apenas tivessem informações
do governo americano?
											Nesse caso, isto seria como o vosso
mapa de tráfego espacial se pareceria.
											Mas, o que acham os russos?
											Parece significativamente diferente.
											Quem está correto? Quem está errado?
											Em quem devo acreditar?
											No que posso acreditar?
											Este é parte do problema.
									",The world's first crowdsourced space traffic monitoring system,Moriba Jah,5:29,"space,environment,exploration,communication,science,technology,TED Fellows"
"
","
","
","
",The world's first crowdsourced space traffic monitoring system,Moriba Jah,5:29,"space,environment,exploration,communication,science,technology,TED Fellows"
"
											In the absence of this framework
to monitor space-actor behavior,
											to monitor activity in space —
											where these objects are located —
											to reconcile these inconsistencies
											and make this knowledge commonplace,
											we actually risk losing the ability
											to use space for humanity's benefit.
									","
											En l'absence de ce cadre de travail pour
observer la conduite des acteurs spatiaux,
											pour surveiller l'activité dans l'espace –
											où ces objets sont localisés –
											pour rapprocher ces décalages
											et diffuser cette connaissance à tous,
											nous risquons, en fait,
de perdre notre capacité
											à utiliser l'espace
pour le bénéfice de l'humanité.
									","
											En ausencia de este marco para monitorear 
el comportamiento del actor espacial,
											para monitorear 
la actividad en el espacio,
											donde se encuentran estos objetos,
											para conciliar estas inconsistencias
											y hacer este conocimiento común,
											en realidad corremos el riesgo 
de perder la capacidad
											de usar el espacio 
para beneficio de la humanidad.
									","
											Na ausência desta estrutura
											para monitorizar
o comportamento espaço-ator,
											para monitorizar a atividade espacial,
											onde estes objetos estão localizados,
											para reconciliar estas inconsistências
											e tornar este conhecimento comum,
											na verdade, arriscamos perder a capacidade
											de usar o espaço
para o benefício da humanidade.
									",The world's first crowdsourced space traffic monitoring system,Moriba Jah,5:29,"space,environment,exploration,communication,science,technology,TED Fellows"
"
","
","
","
",The world's first crowdsourced space traffic monitoring system,Moriba Jah,5:29,"space,environment,exploration,communication,science,technology,TED Fellows"
"
											Thank you very much.
									","
											Merci beaucoup.
									","
											Muchas gracias.
									","
											Muito obrigado.
									",The world's first crowdsourced space traffic monitoring system,Moriba Jah,5:29,"space,environment,exploration,communication,science,technology,TED Fellows"
"
","
","
","
",The world's first crowdsourced space traffic monitoring system,Moriba Jah,5:29,"space,environment,exploration,communication,science,technology,TED Fellows"
"
											(Applause and cheers)
									","
											(Applaudissements et exclamations)
									","
											(Aplausos)(Vítores)
									","
											(Aplausos)
									",The world's first crowdsourced space traffic monitoring system,Moriba Jah,5:29,"space,environment,exploration,communication,science,technology,TED Fellows"
"
","
","
","
",The world's first crowdsourced space traffic monitoring system,Moriba Jah,5:29,"space,environment,exploration,communication,science,technology,TED Fellows"
