tr,pt,title,speaker,duration,tags
"
","
",You may be accidentally investing in cigarette companies,Bronwyn King,14:38,"health,finance,investment,global issues,cancer,economics,money,health care,public health,social change,TEDx"
"
											O da ""Evet."" dedi.
									","
											Ele disse: ""Sim, disse.""
									",You may be accidentally investing in cigarette companies,Bronwyn King,14:38,"health,finance,investment,global issues,cancer,economics,money,health care,public health,social change,TEDx"
"
","
",You may be accidentally investing in cigarette companies,Bronwyn King,14:38,"health,finance,investment,global issues,cancer,economics,money,health care,public health,social change,TEDx"
"
											""Yani ben şimdi tütüne yatırım
yapıyorum, öyle mi?"" diye sordum.
									","
											Eu disse: ""Então, você está a dizer
que eu estou a investir em tabaco?""
									",You may be accidentally investing in cigarette companies,Bronwyn King,14:38,"health,finance,investment,global issues,cancer,economics,money,health care,public health,social change,TEDx"
"
","
",You may be accidentally investing in cigarette companies,Bronwyn King,14:38,"health,finance,investment,global issues,cancer,economics,money,health care,public health,social change,TEDx"
"
											""Evet, herkes öyle yapıyor."" dedi.
									","
											E ele disse: ""Sim, toda a gente investe.""
											Quando investimos numa empresa,
somos donos de parte dessa empresa.
											Queremos que a empresa cresça
e tenha êxito e prospere.
											Queremos que aquela empresa
atraia novos clientes,
											queremos que aquela empresa
venda mais produtos.
											Mas, no que se refere ao tabaco,
											eu não conseguia pensar numa coisa
que eu menos quisesse.
											Eu sei que vocês só veem uma pessoa aqui
											neste grande ponto vermelho,
neste enorme palco.

											Mas, em vez disso, gostava
que vocês imaginassem
											que estão a olhar
para sete milhões de pessoas
											apinhadas aqui ao meu lado.
											Sete milhões de pessoas em todo o mundo
morreram em consequência do tabaco,
											apenas no ano passado.
									",You may be accidentally investing in cigarette companies,Bronwyn King,14:38,"health,finance,investment,global issues,cancer,economics,money,health care,public health,social change,TEDx"
"
","
",You may be accidentally investing in cigarette companies,Bronwyn King,14:38,"health,finance,investment,global issues,cancer,economics,money,health care,public health,social change,TEDx"
"
											Bir şirkete yatırım yaptığınızda
o şirketin bir kısmı size ait oluyor.
											Şirketin gelişip büyümesini
ve başarılı olmasını istiyorsunuz.
											Yeni müşteriler çekmesini,
											daha çok ürün satmasını istiyorsunuz.
											Ama söz konusu tütün olduğunda
											benim için durum tam tersine dönüyor.
											Siz burada yalnızca bir kişi görüyorsunuz,
											bu kırmızı noktada, bu sahnede
duran yalnızca benim.
											Ama şunu hayal etmenizi istiyorum,
											burada, bu sahnede
yedi milyon insan daha var,
											benim arkama yığılmış yedi milyon insan.
											Dünyanın her tarafından yedi milyon
insan tütün sebebiyle hayatını kaybetti
											ve bu yalnızca geçen sene içinde oldu.
									","
											Imaginem que era lançada hoje
uma nova indústria
											e até ao final de junho próximo,
											os produtos dessa indústria
tinham matado sete milhões de pessoas.
											Será que algum de nós investiria
nessa nova indústria mortal?
											O tabaco é um dos problemas mundiais
mais graves da nossa época,
											e muitos de nós somos mais cúmplices
no problema do que podemos julgar.
									",You may be accidentally investing in cigarette companies,Bronwyn King,14:38,"health,finance,investment,global issues,cancer,economics,money,health care,public health,social change,TEDx"
"
","
",You may be accidentally investing in cigarette companies,Bronwyn King,14:38,"health,finance,investment,global issues,cancer,economics,money,health care,public health,social change,TEDx"
"
											Düşünün, yarın yeni bir
sektör işe başlıyor
											ve önümüzdeki Haziran sonunda
											bu sektörün ürünleri yedi milyon
kişiyi öldürmüş oluyor.
											Kim bu yeni, ölümcül sektöre
yatırım yapmayı ister ki?
											Tütün, günümüzün en büyük
küresel sorunlarından biri
											ve çoğumuz bu soruna farkında
olmadan ortak olabiliyoruz.
									","
											Então, o representante
do fundo de reformas
											explicou-me que as empresas de tabaco
											encontravam-se na parte
de ações internacionais do meu portfólio.
											Então, eu perguntei-lhe:
											""Quais são as ações internacionais
que eu tenho?""
											Ele voltou a falar comigo,
duas semanas depois, com esta lista:
											a minha ""holding"" número um
em ações internacionais
											era a British American Tobacco.
											A número dois, a Imperial Tobacco.
											A número quatro, a Philip Morris.
											E a número cinco,
a empresa Swedish Match.
											Quatro das cinco principais empresas
eram tabaqueiras,
											os meus investimentos, de uma oncologista.
									",You may be accidentally investing in cigarette companies,Bronwyn King,14:38,"health,finance,investment,global issues,cancer,economics,money,health care,public health,social change,TEDx"
"
","
",You may be accidentally investing in cigarette companies,Bronwyn King,14:38,"health,finance,investment,global issues,cancer,economics,money,health care,public health,social change,TEDx"
"
											Emeklilik fonu temsilcisinin
bana anlattıklarına göre
											tütün şirketleri
											benim portföyümün uluslararası
hisseleri arasında yer alıyor.
											Ona hangi uluslararası hisselere
sahip olduğumu sordum.
											İki hafta sonra bana bir liste gönderdi.
											Uluslararası hisselerimin listesinin
en başında yer alan şirket
											British American Tobacco.
											İkinci, Imperial Tobacco.
											Dördüncü, Philip Morris.
											Beşinci de Swedish Match
Kibrit ve Çakmak Endüstri.
											İlk beş şirketten dördü tütün şirketi
											ve bunlar benim,
bir onkoloğun yatırımları.
									","
											Então, percebi que não era só eu.
											Eram todos os membros
do meu fundo de reformas.
											Percebi que não era apenas
o meu fundo de reformas, eram todos eles.
											Percebi que não eram apenas
os fundos de reformas,
											eram os bancos, os seguros
e os gestores dos fundos.
											E percebi que não era só a Austrália.
											Era todo o setor financeiro mundial,
											completamente entrelaçado
com a indústria tabaqueira,
											a indústria que faz produtos
que matam sete milhões de pessoas por ano.
											Então, comecei a analisar a questão
com o meu fundo de reformas,
											e tenho continuado
a analisar isso desde então.
									",You may be accidentally investing in cigarette companies,Bronwyn King,14:38,"health,finance,investment,global issues,cancer,economics,money,health care,public health,social change,TEDx"
"
","
",You may be accidentally investing in cigarette companies,Bronwyn King,14:38,"health,finance,investment,global issues,cancer,economics,money,health care,public health,social change,TEDx"
"
											Sonra bu konuda
yalnız olmadığımı fark ettim.
											Benimle aynı fona sahip herkes böyle.
											Hatta sırf benim fonumun değil,
tüm fonların aynı olduğunu fark ettim.
											Hatta durum yalnızca
emeklilik fonlarıyla sınırlı değil,
											tüm bankalar, sigortalar
ve fon yönetimleri de aynı durumda.
											Bu durum sırf
Avusturalya'yla da sınırlı kalmıyor,
											küresel finans sektörünün tamamı
											tütün sektörüyle iç içe geçmiş durumda.
											Bu sektörün ürünleri her sene yedi milyon
insanın ölümüne neden oluyor.
											Bu konuyu emeklilik fonu
yönetimine anlatmaya karar verdim
											ve o günden beri anlatmaya devam ediyorum.
									","
											Os líderes financeiros têm muitos
problemas com que lidar, nos dias de hoje.
											Então, eu sugiro
que eles adotem uma estrutura
											que explique claramente
porque é que é razoável
											tomar uma posição forte quanto ao tabaco.
											Eu sugiro que os líderes financeiros
façam um conjunto de três perguntas
											a qualquer empresa em que
possam investir o nosso dinheiro.
									",You may be accidentally investing in cigarette companies,Bronwyn King,14:38,"health,finance,investment,global issues,cancer,economics,money,health care,public health,social change,TEDx"
"
","
",You may be accidentally investing in cigarette companies,Bronwyn King,14:38,"health,finance,investment,global issues,cancer,economics,money,health care,public health,social change,TEDx"
"
											Finans öncülerinin bugünlerde
zor durumlarla boğuştuğu bir gerçek.
											Benim onlara önerim,
benimsedikleri iş etiği çerçevesinde
											nedenini açık bir şekilde ifade ederek
											tütüne karşı bir duruş almaları.
											Bizim paramızı herhangi bir
şirkete yatırmadan önce
											şu üç soruyu sormalarını öneriyorum.
									","
											Primeira pergunta:

											""O produto que fabricam
pode ser usado com segurança?""
											""Não"" é a resposta das tabaqueiras.
											Zero é o único número seguro
de cigarros para um ser humano.

											Não pode ser mais preto e branco.
									",You may be accidentally investing in cigarette companies,Bronwyn King,14:38,"health,finance,investment,global issues,cancer,economics,money,health care,public health,social change,TEDx"
"
","
",You may be accidentally investing in cigarette companies,Bronwyn King,14:38,"health,finance,investment,global issues,cancer,economics,money,health care,public health,social change,TEDx"
"
											İlk soru:
											Şirketin sunduğu ürünlerin
kullanımı güvenli mi?
											Tütün şirketleri için
bu sorunun cevabı ""Hayır"".
											Bir insanın güvenle
tüketebileceği sigara sayısı sıfır.
											Bu oldukça net bir ayrım.
									","
											Pergunta dois:
											""O problema causado pela empresa
é tão significativo a nível mundial
											""que está sujeito a um tratado
ou a uma convenção da ONU?""
											""Sim"" é a resposta para o tabaco.

											De facto, há um tratado
da ONU, para o tabaco
											que já foi ratificado por 180 países.
											O tratado foi criado
											por causa do catastrófica
impacto mundial do tabaco.
											A previsão atual é que
o mundo está a caminho
											de mil milhões de mortes
relacionadas com o tabaco, neste século.
											Mil milhões de mortes.
											Somos só sete mil milhões.
									",You may be accidentally investing in cigarette companies,Bronwyn King,14:38,"health,finance,investment,global issues,cancer,economics,money,health care,public health,social change,TEDx"
"
","
",You may be accidentally investing in cigarette companies,Bronwyn King,14:38,"health,finance,investment,global issues,cancer,economics,money,health care,public health,social change,TEDx"
"
											İkinci soru:
											Şirketin küresel boyutta
neden olduğu sorunlar
											bir BM anlaşmasına konu
olacak kadar ciddi mi?
											Tütün için bunun cevabı ""Evet"".
											Gerçekten de tütünle
alakalı bir BM anlaşması var
											ve 180 ülke tarafından
imzalanmış bir anlaşma.
											Bu anlaşmanın yapılma sebebi
											tütünün küresel boyuttaki yıkıcı etkileri.
											Görünürdeki duruma göre dünya,
											içinde bulunduğumuz yüzyılda tütün
kaynaklı bir milyar ölüme sahne oluyor.
											Bir milyar ölüm.
											Yalnızca yedi milyar insan arasından.
									","
											A terceira pergunta diz respeito
ao conceito de compromisso.
											Muitas organizações financeiras
querem ser bons cidadãos corporativos.
											Querem usar o seu poder de acionistas,
											reunir com as empresas,
envolver-se com elas
											e incentivá-las a fazer coisas melhores.
											Então, a pergunta é:
											""Pode o envolvimento com a empresa
ser uma alavanca eficaz para a mudança?""
											""Não"" é a resposta para as tabaqueiras.
											O envolvimento com
a indústria do tabaco é fútil.
											O único resultado aceitável seria

											se as tabaqueiras cessassem
o seu negócio principal.
											Na verdade, o compromisso
com a indústria tabaqueira
											nunca levou a menos mortes humanas.
									",You may be accidentally investing in cigarette companies,Bronwyn King,14:38,"health,finance,investment,global issues,cancer,economics,money,health care,public health,social change,TEDx"
"
","
",You may be accidentally investing in cigarette companies,Bronwyn King,14:38,"health,finance,investment,global issues,cancer,economics,money,health care,public health,social change,TEDx"
"
											Üçüncü soru iş birliği kavramı hakkında.
											Çoğu finansal kuruluş 
başarılı tüzel kişiler olmak ister.
											Ortaklarının gücünü şirketlerle 
masaya oturmak,
											onlarla daha yakın ilişkiler kurmak
											ve onları daha iyi şeyler yapmaya 
özendirmek için kullanmak isterler.
											Soru şu ki:
											Şirket ile işbirliği 
değişim için önemli bir yol olabilir mi?
											Tütün şirketleri için cevap ""Hayır"".
											Tütün endüstrisi ile işbirliği 
fayda sağlamaz.
											Kabul edilebilir tek sonuç
											tütün şirketlerinin 
işletmelerini kapatması olur.
											Aslında, tütün endüstrisiyle işbirliği
											hiçbir zaman daha az insanın
ölmesine neden olmadı.
											Sorulan üç soru çerçevesinden baktığımızda
									","
											Quando consideramos este quadro,
estas três perguntas simples,
											podemos ver que é razoável e defensável
											tomar uma posição forte e excluir
o investimento na indústria tabaqueira.
									",You may be accidentally investing in cigarette companies,Bronwyn King,14:38,"health,finance,investment,global issues,cancer,economics,money,health care,public health,social change,TEDx"
"
","
",You may be accidentally investing in cigarette companies,Bronwyn King,14:38,"health,finance,investment,global issues,cancer,economics,money,health care,public health,social change,TEDx"
"
											güçlü bir taraf seçmenin 
ve tütün endüstrisine yatırımı önlemenin
											mantıklı ve savunulabilir 
olduğunu göreceğiz.
											BM tütün anlaşmasına ek olarak,
									","
											Para além do tratado
sobre o tabaco da ONU,
											há, de facto, outro tratado mundial
que exige que atuemos sobre o tabaco.
											Em 2015, a ONU adotou os Objetivos
de Desenvolvimento Sustentável.
											Ora bem, estamos a falar de tabaco
											e sei que vocês vão saltar
diretamente para o número três:
											boa saúde e bem-estar.

											Aumentar a regulamentação
do controlo do tabaco
											é essencial se quisermos
atingir esse objetivo.
											No entanto, olhemos um pouco
mais profundamente.
											Descobrimos que 13 das 17 metas
não podem ser alcançadas
											a menos que haja um grande abanão
da indústria tabaqueira.
											Pessoalmente, o meu objetivo
preferido é o número 17:
											parcerias para os objetivos.

											Atualmente, temos todo o setor mundial
de saúde a fazer tudo o que pode
											para ajudar a onda de doentes
que sofrem em resultado do tabaco.
											Mas dito isto, só no ano passado,
morreram sete milhões de pessoas.
											Claramente, isso não chega.
											Também temos 180 governos
alinhados contra o tabaco,
											tentando implementar as disposições
do tratado de tabaco da ONU.
											Mas isso também não chega.
											Se o setor financeiro mundial continuar
a emprestar dinheiro a empresas de tabaco,
											a investir em empresas tabaqueiras,
											e a esforçar-se para lucrar
com as empresas tabaqueiras,
											estamos a trabalhar uns contra os outros.
									",You may be accidentally investing in cigarette companies,Bronwyn King,14:38,"health,finance,investment,global issues,cancer,economics,money,health care,public health,social change,TEDx"
"
","
",You may be accidentally investing in cigarette companies,Bronwyn King,14:38,"health,finance,investment,global issues,cancer,economics,money,health care,public health,social change,TEDx"
"
											aslında, tütün üzerinde hareket etmemizi 
gerektiren bir başka küresel anlaşma var.
											2015 yılında, BM sürdürülebilir
kalkınma amaçlarını kabul etti.
											Şimdiyse, tütün hakkında konuşuyoruz
											ve biliyorum ki gözünüz
direkt olarak 3 numaraya çarptı:
											sağlık ve refah.
											Aslında, tütün kontrolünü arttırmak
											bu hedefe ulaşmamızda 
çok önemli bir nokta.
											Fakat, daha ayrıntılı baktığımızda
											tütün endüstrisinde büyük bir sallantı 
olmadığı sürece
											17 hedeften 13'üne ulaşamayacağız.
											Kendi kişisel görüşümü 
söyleyecek olursam, favori hedefim 17:
											hedefler için ortaklık.
											Şu günlerde, tütün kullanımı yüzünden 
kötü durumda olan birçok hastaya
											yardım etmek için elinden geleni yapan
koca bir küresel sağlık sektörü var.
											bununla birlikte, geçen yıl, 
7 milyon kişi hayatını kaybetti.
											açıkça görüyoruz ki
bu yardımlar hiç yeterli değil.
											Sigaraya karşı birlik olmuş 
180 hükûmet,
											yoğun bir şekilde BM tütün anlaşması 
hükümlerini uygulamaya çalışıyor.
											Ancak, bu bile yeterli değil.
											Küresel finans sektörü tütün şirketlerine 
para aktarmaya,
											onlara yatırım yapmaya
											ve onlardan gelir elde etmeye 
devam ettiği sürece,
											boşa çalışıyor olacağız.
											Şu an, doktorların söylediği
									","
											Agora, se vamos querer acabar
											com aquilo a que os médicos chamam
""a epidemia mundial do tabaco"",
											precisamos que todos os setores
da sociedade fiquem lado a lado
											e façam parte da solução.
											Então, eu peço aos líderes financeiros
											que implementem uma estrutura
para lidar com problemas delicados.
											E peço-lhes que defendam
as convenções mundiais.
											Mas, para além disso,
há riscos de negócios.
											Riscos financeiros puros, associados
aos investimentos na indústria tabaqueira
											a longo prazo.
											Peço aos líderes financeiros
que os considerem.
											O primeiro risco é que há
cada vez menos pessoas a fumar,
											em resultado do aumento
da regulamentação sobre o tabaco.
									",You may be accidentally investing in cigarette companies,Bronwyn King,14:38,"health,finance,investment,global issues,cancer,economics,money,health care,public health,social change,TEDx"
"
","
",You may be accidentally investing in cigarette companies,Bronwyn King,14:38,"health,finance,investment,global issues,cancer,economics,money,health care,public health,social change,TEDx"
"
											""kürsel tütün salgınını"" engelleyeceksek,
											toplumdaki her sektörün yan yana durmasına
											ve çözümün bir parçası olmasına
ihtiyacımız var.
											Buradan finans patronlarına
											hassas konuları ele almaları için 
bir bakış açısı uygulamalarını
											ve küresel teamülleri
desteklemelerini söylüyorum.
											Ancak ek olarak, ticari riskler de var.
											Uzun vadede salt finansal riskler
											tütün endüstrisine yatırımla ilişkili
											ve finans patronlarından bunları 
göz önünde bulundurmalarını istiyorum.
											İlk risk tütün düzenlemelerinin artmasıyla
											daha az insanın sigara içecek olması.
											Kanada'da sigara paketlerine 
uyarıcılar konulduğunda
									","
											Quando colocaram estes avisos
nos maços de cigarros no Canadá
									",You may be accidentally investing in cigarette companies,Bronwyn King,14:38,"health,finance,investment,global issues,cancer,economics,money,health care,public health,social change,TEDx"
"
","
",You may be accidentally investing in cigarette companies,Bronwyn King,14:38,"health,finance,investment,global issues,cancer,economics,money,health care,public health,social change,TEDx"
"
											[Sigara içmek 
cinsel iktidarsızlığa neden olur.]
									","
											[O tabaco causa impotência]
									",You may be accidentally investing in cigarette companies,Bronwyn King,14:38,"health,finance,investment,global issues,cancer,economics,money,health care,public health,social change,TEDx"
"
","
",You may be accidentally investing in cigarette companies,Bronwyn King,14:38,"health,finance,investment,global issues,cancer,economics,money,health care,public health,social change,TEDx"
"
											sigara içenlerin gösterdiği ilk tepki 
sigara paketini satıcıya geri verip
									","
											a primeira reação dos fumadores
foi devolvê-los aos vendedores e dizer:
											""Por favor, pode dar-me aqueles
que só dizem que me vão matar?""
									",You may be accidentally investing in cigarette companies,Bronwyn King,14:38,"health,finance,investment,global issues,cancer,economics,money,health care,public health,social change,TEDx"
"
","
",You may be accidentally investing in cigarette companies,Bronwyn King,14:38,"health,finance,investment,global issues,cancer,economics,money,health care,public health,social change,TEDx"
"
											""Sigara içmek öldürür""
yazılı paketlerden istemeleri oldu.
											(Gülüşmeler)
									","
											(Risos)
									",You may be accidentally investing in cigarette companies,Bronwyn King,14:38,"health,finance,investment,global issues,cancer,economics,money,health care,public health,social change,TEDx"
"
","
",You may be accidentally investing in cigarette companies,Bronwyn King,14:38,"health,finance,investment,global issues,cancer,economics,money,health care,public health,social change,TEDx"
"
											Düzenleme fark edildi, tüketimi azalttı
									","
											A regulamentação é notada
a regulamentação reduz o consumo,
											e nós temos 180 países
comprometidos com mais regulamentação.
											Vamos falar de litígios
e os riscos que apresentam,
											Atualmente, é o modelo comercial
da indústria tabaqueira
											que está a ser contestado.
									",You may be accidentally investing in cigarette companies,Bronwyn King,14:38,"health,finance,investment,global issues,cancer,economics,money,health care,public health,social change,TEDx"
"
","
",You may be accidentally investing in cigarette companies,Bronwyn King,14:38,"health,finance,investment,global issues,cancer,economics,money,health care,public health,social change,TEDx"
"
											ve daha fazla düzenlemeyi 
yürürlüğe koyacak 180 ülke daha var.
											Biraz da davalardan ve ortaya çıkardığı
risk hakkında konuşalım.
											Bu günlerde, rekabet içerisinde olmak
											tütün endüstrisinde 
iş modeli olarak görülmekte.
											Şu anda, tütün endüstrisi 
tütün ile ilişkili tüm sağlık maliyetini
									","
											Atualmente, a indústria tabaqueira
não assume os custos de saúde
											associados ao tabaco.
											Os governos pagam,
as comunidades pagam, todos nós pagamos.
											A indústria tabaqueira
não assume todos esses custos,
											estimados num bilião
de dólares americanos por ano.
											No entanto, assumem
e privatizam os lucros.
											Em 2015, na província de Quebec,
											os tribunais determinaram
que a indústria do tabaco
											foi, de facto, responsável
por esses custos de saúde,
											e condenou-os a pagar
15 mil milhões de dólares americanos.
											Este caso está sob recurso.
											Mas isto levanta a questão:
""Porque é que nós, em qualquer país,
											""devemos pagar os custos
da indústria tabaqueira?""
									",You may be accidentally investing in cigarette companies,Bronwyn King,14:38,"health,finance,investment,global issues,cancer,economics,money,health care,public health,social change,TEDx"
"
","
",You may be accidentally investing in cigarette companies,Bronwyn King,14:38,"health,finance,investment,global issues,cancer,economics,money,health care,public health,social change,TEDx"
"
											haricileştiriyor..
											Hükûmetler ödüyor, topluluklar ödüyor,
sizler ödüyorsunuz, ben ödüyorum.
											Tahmini 1 trilyon Amerikan Doları ile
											tütün endüstrisi
tüm bu maliyetleri haricileştiriyor.
											Yine de gelirlerini benimseyip
özelleştiriyorlar.
											2015 yılında, Quebec'de
											mahkemeler tütün endüstrisinin 
tüm sağlık maliyetinden
											sorumlu olduğuna karar verdi
											ve 15 milyar Amerikan Doları 
ödemelerine hükmetti.
											Dava temyiz altında.
											Bu durum şu soruyu aklımıza getiriyor: 
Neden herhangi birimiz, herhangi ülkeden,
											tütün endüstrisi maliyetleri için 
ödeme yapalım ki?
											Birazda tedarik zinciri 
ve oradaki risklere bakalım.
									","
											Vamos passar para a cadeia
de suprimentos e os riscos que tem.
											Não é lá muito conhecido
											que a indústria tabaqueira
utiliza significativo trabalho infantil.
											Em março de 2017, 
a Organização Internacional do Trabalho
											publicou um relatório que afirmava:
											""Nas zonas produtoras de tabaco,
o trabalho infantil sobe em espiral"".
											O Departamento do Trabalho dos EUA
											lista hoje 16 países que usam crianças
para produzir folhas de tabaco.
											A vigilância sobre as cadeias
de abastecimento está a aumentar
											e isto não pode continuar
a escapar à atenção do público.
									",You may be accidentally investing in cigarette companies,Bronwyn King,14:38,"health,finance,investment,global issues,cancer,economics,money,health care,public health,social change,TEDx"
"
","
",You may be accidentally investing in cigarette companies,Bronwyn King,14:38,"health,finance,investment,global issues,cancer,economics,money,health care,public health,social change,TEDx"
"
											Çok iyi bilinmese de
											tütün endüstrisi mühim seviyede
çocuk iş gücüne dayanıyor.
											Mayıs 2017'de Uluslararası Çalışma Örgütü
											bir raporunda, 
""Tütün temelli topluluklarda
											çocuk işçi çalıştırmanın 
önlenemez düzeyde"" olduğunu belirtmiştir.
											Amerika Çalışma Bakanlığı,
											şu ana kadar tütün yaprağı üretiminde 
çocuk işçi çalıştıran 16 ülkeyi listeledi.
											Tedarik zincirlerinin denetlenmesi artıyor
											ve halkın dikkatinden kaçmıyor.
											Son olarak, tütün endüstrisiyle 
ortaklığını sürdürmeye devam eden
									","
											Por fim, também há que considerar
o risco de reputação

											para indivíduos e organizações
que continuam a manter afiliação
											com a indústria tabaqueira.
											Em inúmeros inquéritos,
											a indústria tabaqueira situa-se
											como a indústria
de pior reputação do mundo.
									",You may be accidentally investing in cigarette companies,Bronwyn King,14:38,"health,finance,investment,global issues,cancer,economics,money,health care,public health,social change,TEDx"
"
","
",You may be accidentally investing in cigarette companies,Bronwyn King,14:38,"health,finance,investment,global issues,cancer,economics,money,health care,public health,social change,TEDx"
"
											bireylerin ve kuruluşların 
göz önünde bulundurması gereken
											saygınlık riski var.
											Yapılan birçok ankette,
											tütün endüstrisi dünyada en az saygı
duyulan endüstri olarak yer almakta.
											Birazda çocuklar üzerinde 
olan etkiye bakalım.
									","
											Vejamos o impacto sobre as crianças.
											A nível mundial, todos os dias,
											calcula-se que há 100 000 crianças
que começam a fumar.
											São crianças suficientes para encher
o campo de críquete de Melbourne.
											A maioria dessas crianças
											pertencem às comunidades
mais pobres do planeta.
											Aqui na Austrália, a idade média
das pessoas que começam a fumar
											é de 16 anos e 2 meses.
											Para mim, são muito novos,
mas o pior é que,
											embora não tenhamos dados
de todos os países do planeta,
											pensamos que esta é a idade
dos mais velhos.
											Todos os outros são mais novos.
									",You may be accidentally investing in cigarette companies,Bronwyn King,14:38,"health,finance,investment,global issues,cancer,economics,money,health care,public health,social change,TEDx"
"
","
",You may be accidentally investing in cigarette companies,Bronwyn King,14:38,"health,finance,investment,global issues,cancer,economics,money,health care,public health,social change,TEDx"
