es,tr,en,pt,title,speaker,duration,tags
"
											Uri Hasson: Bien, ahora
""miremos"" sus cerebros
											y veamos qué sucede
al escuchar este tipo de relatos.
											Y empecemos sencillamente 
con un oyente y un área cerebral:
											la corteza auditiva que procesa
los sonidos que provienen de los oídos.
											Y como ven, en esta
particular área cerebral,
											las reacciones ascienden y descienden
mientras la historia se desarrolla.
											Ahora podemos tomar
las reacciones
											y compararlas con las reacciones
de otros oyentes
											en la misma área cerebral.
											Y podemos cuestionarmos:
											¿Cuán parecidas son las reacciones
entre todos los oyentes?
									","
											Uri Hasson: Tamam şimdi
beyinlerinize bakalım ve
											bu tarz hikâyeler dinlerken
neler olduğunu görelim.
											Basitten başlayalım — Bir dinleyici
ve bir beyin alanı ile başlayalım:
											duyma merkezi kulaktan
gelen sesleri işler.
											Göreceğiniz gibi bu özel beyin alanında,
											hikâye devam ettikçe,
tepkiler aşağı ve yukarı gidiyor.
											Şimdi bu tepkileri alıp,
											aynı beyin alanında
diğer dinleyicilerin tepkileri

											ile kıyaslayabiliriz.
											Sorabiliriz:
											Tüm dinleyiciler arasında
tepkiler ne kadar benzemekte?
									","
											Uri Hasson: OK, so now
let's look into your brain
											and see what's happening
when you listen to these kinds of stories.
											And let's start simple — let's start
with one listener and one brain area:
											the auditory cortex that processes
the sounds that come from the ear.
											And as you can see,
in this particular brain area,
											the responses are going up and down
as the story is unfolding.
											Now we can take these responses
											and compare them to the responses
in other listeners
											in the same brain area.
											And we can ask:
											How similar are the responses
across all listeners?
									","
											Uri Hasson: Então vejamos
o que acontece no cérebro
											quando ouvimos
este tipo de histórias.
											Vamos começar de maneira simples,
com um ouvinte e uma área do cérebro:
											o córtex auditivo, que processa
o som que vem do ouvido.
											Como podem ver,
nesta área do cérebro,
											as reações oscilam à medida
que a história se desenrola.
											Podemos pegar nessas reações
											e compará-las com as de outros ouvintes
											na mesma área do cérebro.
											E podemos perguntar:
											""Qual a semelhança
das reações entre os ouvintes?""
									",This is your brain on communication,Uri Hasson,14:51,"brain,cognitive science,collaboration,language,communication,neuroscience,mind,science,speech"
"
","
","
","
",This is your brain on communication,Uri Hasson,14:51,"brain,cognitive science,collaboration,language,communication,neuroscience,mind,science,speech"
"
											Así que, aquí pueden ver
a cinco oyentes.
											Y empezamos a escanear sus cerebros
antes de que la historia comenzara,
											mientras estaban recostados a oscuras,
esperando el inicio de la historia.
											Como pueden ver,
											el área cerebral asciende y desciende
en cada uno de ellos,
											pero las reacciones son diferentes
											y no se sincronizan.
											Sin embargo, inmediatamente
al empezar la historia
											algo sorprendente sucede.
									","
											Burada beş dinleyici görmektesiniz.
											Hikâye başlamadan önce
karanlıkta uzanırken ve
											hikâyenin başlamasını beklerken
beyinlerini tarayacağız.
											Görebileceğiniz gibi,
											her birinde beyin alanları
yukarı ve aşağı hareket etmekte,
											ancak tepkiler oldukça farklı ve
											eşzamanlı değiller.
											Bununla birlikte, hikâye
başlar başlamaz, anında
											hayret verici bir şey oluyor.
									","
											So here you can see five listeners.
											And we start to scan their brains
before the story starts,
											when they're simply lying in the dark
and waiting for the story to begin.
											As you can see,
											the brain area is going up and down
in each one of them,
											but the responses are very different,
											and not in sync.
											However, immediately
as the story is starting,
											something amazing is happening.
									","
											Então, vemos aqui cinco ouvintes.
											Começamos a observar os cérebros
antes de ouvirem a história,
											quando ainda estavam deitados
no escuro aguardando para ouvi-la.
											Como podem ver,
											esta área do cérebro está
a oscilar em todas as pessoas,
											mas as reações são bem diferentes
											e não estão sincronizadas.
											No entanto, assim que a história começa,
											acontece algo extraordinário.
									",This is your brain on communication,Uri Hasson,14:51,"brain,cognitive science,collaboration,language,communication,neuroscience,mind,science,speech"
"
","
","
","
",This is your brain on communication,Uri Hasson,14:51,"brain,cognitive science,collaboration,language,communication,neuroscience,mind,science,speech"
"
											(Audio) JO: Entonces escribiré
de golpe mi historia y sé que es buena,
											y luego empezaré a...
									","
											(Ses) JO: Hikâyemi haykırıyorum ve
iyi olduğunu biliyorum ve
											daha iyi yapmaya—
									","
											(Audio) JO: So I'm banging out my story
and I know it's good,
											and then I start to make it —
									","
											(Áudio) Eu estava a escrever
a minha história, e sabia que era boa,
											e então comecei a....
									",This is your brain on communication,Uri Hasson,14:51,"brain,cognitive science,collaboration,language,communication,neuroscience,mind,science,speech"
"
","
","
","
",This is your brain on communication,Uri Hasson,14:51,"brain,cognitive science,collaboration,language,communication,neuroscience,mind,science,speech"
"
											UH: De pronto, se puede ver
que las reacciones de todos los sujetos
											se ciernen al relato,
											y ahora ascienden y descienden
en una forma muy similar
											entre todos los oyentes.
											Y de hecho, esto es lo que
está sucediendo ahora en sus cerebros
											al escuchar mi voz hablándoles.
											Nosotros llamamos a este efecto
""inducción neuronal.""
											Y para explicarles
qué es una inducción neuronal,
											les explicaré primero
qué es una inducción física.
									","
											UH: Aniden, görebileceğiniz gibi
deneklerin tümündeki tepkiler
											hikâyeye kitleniyor ve
											tüm dinleyicilerde benzer şekilde
											aşağı ve yukarı hareket ediyor.
											Gerçekte de bu aslında şu anda
benim konuşmamı dinlerken
											sizlerin beyinlerine olan şey.
											Bu etkiye ''sinirsel kenetlenme'' deriz.
											Sizlere sinirsel kenetlenmenin
ne olduğundan önce
											fiziksel kenetlenmeyi anlatayım.
									","
											UH: Suddenly, you can see
that the responses in all of the subjects
											lock to the story,
											and now they are going up and down
in a very similar way
											across all listeners.
											And in fact, this is exactly
what is happening now in your brains
											when you listen to my sound speaking.
											We call this effect ""neural entrainment.""
											And to explain to you
what is neural entrainment,
											let me first explain
what is physical entrainment.
									","
											UH: De repente, dá para notar
que as reações de todos os ouvintes
											se fixam na história,
											e as áreas do cérebro agora oscilam
de uma forma muito semelhante
											em todos os ouvintes.
											De facto, é exatamente
o que acontece no vosso cérebro
											quando me ouvem falar.
											Chamamos a esse efeito
""sincronismo neural"".
											Para entender o que é isso,
											primeiro vou explicar
o que é o sincronismo físico.
									",This is your brain on communication,Uri Hasson,14:51,"brain,cognitive science,collaboration,language,communication,neuroscience,mind,science,speech"
"
","
","
","
",This is your brain on communication,Uri Hasson,14:51,"brain,cognitive science,collaboration,language,communication,neuroscience,mind,science,speech"
"
											Así que, observaremos
cinco metrónomos.
											Visualicen estos cinco metrónomos
como cinco cerebros.
											E igual a los oyentes
antes de comenzar la historia,
											estos metrónomos van a hacer clic,
											pero harán clic fuera de fase.
									","
											Bakarız ve beş metronom görürüz.
											Bu beş metronomu 
beş beyin olarak düşünün.
											Hikâye başlamadan önce
dinleyenlere benzer olarak
											bu metronomlar klikleyecek,
											ancak fazın dışında klikleyecek.
									","
											So, we'll look and see five metronomes.
											Think of these five metronomes
as five brains.
											And similar to the listeners
before the story starts,
											these metronomes are going to click,
											but they're going to click out of phase.
									","
											Estamos a ver agora cinco metrónomos.
											Pensem nestes cinco metrónomos
como cinco cérebros.
											Assim como os ouvintes,
antes de a história começar,
											estes metrónomos vão fazer cliques,
											mas de forma aleatória.
									",This is your brain on communication,Uri Hasson,14:51,"brain,cognitive science,collaboration,language,communication,neuroscience,mind,science,speech"
"
","
","
","
",This is your brain on communication,Uri Hasson,14:51,"brain,cognitive science,collaboration,language,communication,neuroscience,mind,science,speech"
"
											(Clics)
									","
											(Klikliyor)
									","
											(Clicking)
									","
											(Cliques)
									",This is your brain on communication,Uri Hasson,14:51,"brain,cognitive science,collaboration,language,communication,neuroscience,mind,science,speech"
"
","
","
","
",This is your brain on communication,Uri Hasson,14:51,"brain,cognitive science,collaboration,language,communication,neuroscience,mind,science,speech"
"
											Ahora vean lo que sucede
al conectarlos a la vez
											ubicándolos sobre estos
dos cilindros.
									","
											Şimdi bunları bu iki silindire
											koyarak birleştirdiğimde
neler olduğuna bakın.
									","
											Now see what will happen
when I connect them together
											by placing them on these two cylinders.
									","
											Agora vejam o que acontece
quando eu os interligo,
											colocando-os sobre estes dois cilindros.
									",This is your brain on communication,Uri Hasson,14:51,"brain,cognitive science,collaboration,language,communication,neuroscience,mind,science,speech"
"
","
","
","
",This is your brain on communication,Uri Hasson,14:51,"brain,cognitive science,collaboration,language,communication,neuroscience,mind,science,speech"
"
											(Clics)
									","
											(Klikliyor)
									","
											(Clicking)
									","
											(Cliques)
									",This is your brain on communication,Uri Hasson,14:51,"brain,cognitive science,collaboration,language,communication,neuroscience,mind,science,speech"
"
","
","
","
",This is your brain on communication,Uri Hasson,14:51,"brain,cognitive science,collaboration,language,communication,neuroscience,mind,science,speech"
"
											Ahora estos dos cilindros
empiezan a rotar.
											Esta vibración de rotación
atraviesa la madera
											y va a vincular a todos
los metrónomos juntos.
											Y ahora escuchen el clic.
									","
											Şimdi bu iki silindir rotasyona başlıyor.
											Bu rotasyon titreşimi tahtayı geçecek ve
											tüm metronomlarla eşleşecek.
											Şimdi klik sesini dinleyin.
									","
											Now these two cylinders start to rotate.
											This rotation vibration
is going through the wood
											and is going to couple
all the metronomes together.
											And now listen to the click.
									","
											Os dois cilindros começam a rodar.
											Esta vibração rotacional 
passa pela madeira
											e interliga todos os metrónomos.
											Agora ouçam os cliques.
									",This is your brain on communication,Uri Hasson,14:51,"brain,cognitive science,collaboration,language,communication,neuroscience,mind,science,speech"
"
","
","
","
",This is your brain on communication,Uri Hasson,14:51,"brain,cognitive science,collaboration,language,communication,neuroscience,mind,science,speech"
"
											(Clics sincronizados)
									","
											(Eşzamanlı klik sesleri)
									","
											(Synchronized clicking)
									","
											(Cliques)
									",This is your brain on communication,Uri Hasson,14:51,"brain,cognitive science,collaboration,language,communication,neuroscience,mind,science,speech"
"
","
","
","
",This is your brain on communication,Uri Hasson,14:51,"brain,cognitive science,collaboration,language,communication,neuroscience,mind,science,speech"
"
											Esto se llama inducción física.
											Ahora, retornemos al cerebro
y cuestionémonos:
											¿Qué es lo que genera
esta inducción neuronal?
											¿son sólo los sonidos
que el locutor produce?
											¿O tal vez son las palabras?
											¿O quizá es el significado
que el locutor intenta transmitir?
									","
											Bu fiziksel kenetlenmedir.
											Şimdi beyine geri dönüp soralım:
											Bu sinirsel kenetlenmeyi sağlayan nedir?
											Sadece hoparlörden gelen sesler mi?
											Belki de kelimelerdir.
											Ya da belki hoparlörün ilettiği anlamdır.
									","
											This is what you call
physical entrainment.
											Now let's go back to the brain and ask:
											What's driving this neural entrainment?
											Is it simply the sounds
that the speaker is producing?
											Or maybe it's the words.
											Or maybe it's the meaning
that the speaker is trying to convey.
									","
											Isto é aquilo a que chamamos 
sincronismo físico.
											Agora vamos voltar ao cérebro e perguntar:
											""O que causa este sincronismo neural?""
											Serão simplesmente os sons
que o orador está a produzir?
											Ou talvez sejam as palavras.
											Ou talvez seja o significado
do que o locutor está a tentar passar.
									",This is your brain on communication,Uri Hasson,14:51,"brain,cognitive science,collaboration,language,communication,neuroscience,mind,science,speech"
"
","
","
","
",This is your brain on communication,Uri Hasson,14:51,"brain,cognitive science,collaboration,language,communication,neuroscience,mind,science,speech"
"
											Así que para probarlo, hicimos
el siguiente experimento.
											Primero, tomamos la historia
y la reprodujimos al revés.
											Y eso preservaba muchas
de las características sonoras originales
											pero suprimió el significado.
											Y suena algo parecido a eso:
									","
											Bu nedenle test etmek için
aşağıdaki deneyi yaptık.
											Önce, hikâyeyi sondan başa dinlettik.
											Bu birçok duyulan özelliği korudu,
											ancak anlamı yok etti.
											Bunun gibi bir şey duyuluyordu.
									","
											So to test it, we did
the following experiment.
											First, we took the story
and played it backwards.
											And that preserved many
of the original auditory features,
											but removed the meaning.
											And it sounds something like that.
									","
											Para testar isso, fizemos 
a seguinte experiência.
											Primeiro, reproduzimos
a história de trás para frente.
											Assim, preservámos
muitas das características sonoras,
											mas retirámos-lhe o sentido.
											E ficou mais ou menos assim:
									",This is your brain on communication,Uri Hasson,14:51,"brain,cognitive science,collaboration,language,communication,neuroscience,mind,science,speech"
"
","
","
","
",This is your brain on communication,Uri Hasson,14:51,"brain,cognitive science,collaboration,language,communication,neuroscience,mind,science,speech"
"
											(Audio) JO: (Ininteligible)
									","
											(Ses) JO: (Anlaşılmıyor)
									","
											(Audio) JO: (Unintelligible)
									","
											(Áudio) (Sons ininteligíveis).
									",This is your brain on communication,Uri Hasson,14:51,"brain,cognitive science,collaboration,language,communication,neuroscience,mind,science,speech"
"
","
","
","
",This is your brain on communication,Uri Hasson,14:51,"brain,cognitive science,collaboration,language,communication,neuroscience,mind,science,speech"
"
											Y añadimos colores a ambos cerebros
											para indicar las áreas cerebrales
que reaccionaban igualmente entre la gente
											Y como ven,
											este sonido emitido generaba una inducción
o alineación en todos los cerebros
											en las cortezas auditivas
que procesan los sonidos,
											pero no fluían 
con profundidad en estos.
									","
											İki beyin arasındaki renkleri
insanlar arasında
											oldukça benzer tepki veren
beyin alanlarını göstermek için parlattık.
											Göreceğiniz üzere,
											bu gelen ses, tüm beyinlerde
sesleri işleyen işitme kortekslerindeki
											tepki ya da hizalanmayı başlattı.
											Ancak beynin derinliklerine yayamadı.
									","
											And we flashed colors in the two brains
											to indicate brain areas that respond
very similarly across people.
											And as you can see,
											this incoming sound induced entrainment
or alignment in all of the brains
											in auditory cortices
that process the sounds,
											but it didn't spread
deeper into the brain.
									","
											Colorimos os dois cérebros
											para indicar as áreas que reagem
de forma semelhante.
											Como podem ver,
											este som induziu o sincronismo
ou alinhamento em todos os cérebros,
											no córtex auditivo que processa os sons,
											mas não se propagou
para outras partes do cérebro.
									",This is your brain on communication,Uri Hasson,14:51,"brain,cognitive science,collaboration,language,communication,neuroscience,mind,science,speech"
"
","
","
","
",This is your brain on communication,Uri Hasson,14:51,"brain,cognitive science,collaboration,language,communication,neuroscience,mind,science,speech"
"
											Ahora podemos tomar estos sonidos
y formar palabras a partir de ellos.
											Así que, si citamos a Jim O'Grady
y mezclamos sus frases
											obtendremos una lista
									","
											Şimdi bu sesleri
kelimelere dönüştürebiliriz.
											Yani Jim Grady'i alıp
kelimeleri karıştırırsak
											bir kelime listemiz olur.
									","
											Now we can take these sounds
and build words out of it.
											So if we take Jim O'Grady
and scramble the words,
											we'll get a list of words.
									","
											Agora podemos pegar nesses sons
e construir palavras com eles.
											Então, se baralharmos
as palavras de Jim O'Grady,
											obtemos uma lista de palavras.
									",This is your brain on communication,Uri Hasson,14:51,"brain,cognitive science,collaboration,language,communication,neuroscience,mind,science,speech"
"
","
","
","
",This is your brain on communication,Uri Hasson,14:51,"brain,cognitive science,collaboration,language,communication,neuroscience,mind,science,speech"
"
											(Audio) JO: ... un animal...
hechos diversos...
											y justo en... hombre pastel...
potencialmente... mis relatos
									","
											(Ses) JO:...bir hayvan...
çeşitli gerçekler...
											gerçekte...tart adam...
potansiyel olarak...hikâyelerim
									","
											(Audio) JO: ... an animal ...
assorted facts ...
											and right on ... pie man ...
potentially ... my stories
									","
											(Áudio) .. um animal... 
factos variados...
											e bem no... homem torta... 
potencialmente... minhas histórias.
									",This is your brain on communication,Uri Hasson,14:51,"brain,cognitive science,collaboration,language,communication,neuroscience,mind,science,speech"
"
","
","
","
",This is your brain on communication,Uri Hasson,14:51,"brain,cognitive science,collaboration,language,communication,neuroscience,mind,science,speech"
"
											UH: Y pueden ver que las palabras
inducen una alineación
											en las áreas primitivas
del lenguaje, pero sólo eso.
											Ahora podemos usar las frases
y construir oraciones a partir de ellas.
									","
											UH: Gördüğünüz gibi bu kelimeler
erken dil gelişim alanlarında
											uyum yaratabilir ama
bundan daha fazlasını değil.
											Şimdi kelimeleri alıp
bunlardan cümleler yaratabiliriz.
									","
											UH: And you can see that these words
start to induce alignment
											in early language areas,
but not more than that.
											Now we can take the words
and start to build sentences out of them.
									","
											UH: Vejam que estas palavras
começam a induzir um alinhamento
											em áreas primitivas da linguagem,
mas não mais que isso.
											Agora podemos pegar nas palavras 
e começar a criar frases com elas.
									",This is your brain on communication,Uri Hasson,14:51,"brain,cognitive science,collaboration,language,communication,neuroscience,mind,science,speech"
"
","
","
","
",This is your brain on communication,Uri Hasson,14:51,"brain,cognitive science,collaboration,language,communication,neuroscience,mind,science,speech"
"
											(Audio) JO: Y ellos recomiendan
no cruzar esa línea.
											Él dice: ""Querido Jim,
Buena historia. Detalles geniales.
											¿Acaso ella no sabía
sobre él sólo por mí?
									","
											(Ses) JO: Bu çizgiyi geçmeme
tavsiyesinde bulundular.
											''Sevgili Jim. Güzel hikâye,
Hoş ayrıntılar.
											Onu benim vasıtamla 
tanımıyor muydu?'' diyor.
									","
											(Audio) JO: And they recommend
against crossing that line.
											He says: ""Dear Jim,
Good story. Nice details.
											Didn't she only know
about him through me?""
									","
											(Áudio) E eles recomendam
não ultrapassar essa linha.
											Ele diz: ""Caro Jim,
boa história. Ótimos detalhes.
											""Ela não veio a saber 
dele por minha causa?""
									",This is your brain on communication,Uri Hasson,14:51,"brain,cognitive science,collaboration,language,communication,neuroscience,mind,science,speech"
"
","
","
","
",This is your brain on communication,Uri Hasson,14:51,"brain,cognitive science,collaboration,language,communication,neuroscience,mind,science,speech"
