de,en,es,fr,title,speaker,duration,tags
"
											medikalisiert worden ist.
											Der erste Streich erfolgt in der Pubertät.
											Jetzt haben Sie eine einmalige Sache im Monat, die medikalisiert wurde.
											Es ist eine Erkrankung,
											es muss behandelt werden. Streich zwei
											erfolgt bei der Schwangerschaft.
											Die wurde ebenfalls medikalisiert.
											Wenn man keine hochtechnisierte Erfahrung
											mit Schwangerschaft hat, könnte ja etwas schief gehen.
									","
											has been medicalized.
											Strike one is when you hit puberty.
											You now have something that happens to you once a month that has been medicalized.
											It's a condition;
											it has to be treated. Strike two
											is if you get pregnant.
											That's been medicalized as
well.
											You have to have a high-tech experience
											of pregnancy, otherwise something might go wrong.
									","
											El primer strike es 
cuando llegan a la pubertad.
											Ahora tienen algo que les sucede 
una vez al mes y que está medicalizado.
											Es un trastorno que debe ser tratado.
											Segundo strike viene si se embarazan
											y también está medicalizado.
											Deben probar la tecnología 
de punta en el embarazo,
											de lo contrario algo puede ir mal.
									","
											a été médicalisé.
											Premièrement, quand vous atteignez la puberté.
											Vous avez maintenant quelque chose qui vous arrive une fois par mois, qui a été médicalisé.
											C'est une maladie ;
											ça doit être traité. Deuxièmement,
											si vous devenez enceinte.
											Cela aussi a été médicalisé.
											Vous devez avoir une expérience high-tech
											de la grossesse, sinon quelque chose pourrait mal tourner.
									",Are we over-medicalized?,Ivan Oransky,10:24,"cancer,health,health care,medicine,science,activism,aging,disease,bioethics,society,culture,sports,public health"
"
","
","
","
",Are we over-medicalized?,Ivan Oransky,10:24,"cancer,health,health care,medicine,science,activism,aging,disease,bioethics,society,culture,sports,public health"
"
											Der dritte Streich sind die Wechseljahre.
											Wir alle wissen, was passierte, als Millionen Frauen über Jahrzehnte
											Hormonersatztherapie für Symptome
											der Wechseljahre erhielten, bis wir wegen einer riesigen Studie, gefördert von der nationalen Gesundheitsbehörde,
											herausfanden,
											dass ein Großteil
											dieser Hormonersatztherapie bei vielen dieser Frauen
											mehr Schaden als Gutes anrichtete.
									","
											Strike three is menopause.
											We all know what happened when millions of women were given hormone replacement therapy
											for menopausal symptoms
											for decades until all of a sudden we realized, because a study came out, a big one,
											NIH-funded.
											It said,
											actually, a lot of that hormone replacement therapy may be doing more harm than good
											for many of those women.
									","
											Tercer strike es la menopausia.
											Todos sabemos qué pasó 
cuando millones de mujeres
											recibieron terapia de reemplazo hormonal
											para los síntomas menopáusicos 
durante décadas,
											hasta que de repente nos dimos cuenta,
por los resultados de un estudio grande,
											financiado por los Institutos 
Nacionales de Salud (NIH) que decía:
											en realidad, mucho de la terapia de 
reemplazo hormonal
											puede hacer más daño que bien 
a muchas de estas mujeres.
									","
											Troisièmement : la ménopause.
											Nous savons tous ce qui est arrivé quand on a donné à des millions de femmes un traitement d'hormones de substitution
											pour les symptômes de la ménopause
											pendant des décennies jusqu'à ce qu'on réalise tout à coup, parce qu'une étude est sortie, une grosse étude,
											financée par les Instituts Nationaux de la Santé.
											Elle disait
											qu'en fait, ces hormones de remplacement faisaient peut-être plus de mal que de bien
											chez de nombreuses femmes.
									",Are we over-medicalized?,Ivan Oransky,10:24,"cancer,health,health care,medicine,science,activism,aging,disease,bioethics,society,culture,sports,public health"
"
","
","
","
",Are we over-medicalized?,Ivan Oransky,10:24,"cancer,health,health care,medicine,science,activism,aging,disease,bioethics,society,culture,sports,public health"
"
											Ich möchte natürlich
											die Männer nicht außen vor lassen –
											ich bin ja schließlich einer –
											für alle in diesem Raum und für alle Zuschauer
											und Zuhörer gibt es
											schreckliche Nachrichten:
											Sie haben alle
											eine universal tödliche Krankheit.
											Atmen Sie mal kurz durch.
											Es heißt Vor-Tod.
											Jeder von Ihnen hat es, denn alle weisen den Risikofaktor auf:
											Sie sind lebendig.
									","
											Just in case,
											I don't want to leave the men out —
											I am one, after all —
											I have really bad news for all of you in
this room,
											and for everyone
											listening and watching elsewhere:
											You all have
											a universally fatal condition.
											So, just take a moment.
											It's called pre-death.
											Every single one of you has it, because
you have the risk factor for it,
											which is being alive.
									","
											Por si acaso, no quiero 
dejar de lado a los hombres,
											soy uno de ellos, después de todo.
											Tengo muy malas noticias 
para todos Uds. en esta sala
											y para todos los que nos escuchan 
y ven en otros lugares:
											todos Uds. tienen una enfermedad 
universal y mortal.
											Esperen un momento.
											Se llama “premuerte”. (Risas)
											Todos y cada uno de Uds. la tiene, 
porque tienen el factor de riesgo
											que es estar vivo.
									","
											Juste au cas où,
											je ne veux pas laisser les hommes en-dehors,
											j'en suis un, après tout,
											j'ai de très mauvaises nouvelles pour vous tous dans cette salle,
											et pour tous ceux
											qui nous écoutent et nous regardent ailleurs :
											Vous avez tous
											une maladie fatale et universelle.
											Bien, prenez juste un instant.
											ça s'appelle pré-mort.
											Chacun d'entre vous l'avez, parce que vous en avez le facteur risque,
											vous êtes vivant.
									",Are we over-medicalized?,Ivan Oransky,10:24,"cancer,health,health care,medicine,science,activism,aging,disease,bioethics,society,culture,sports,public health"
"
","
","
","
",Are we over-medicalized?,Ivan Oransky,10:24,"cancer,health,health care,medicine,science,activism,aging,disease,bioethics,society,culture,sports,public health"
"
											Aber ich habe auch gute Nachrichten, denn
											ich bin Journalist und höre gern mit einem positiven Ausblick auf.
											Und die Nachricht ist die: Wenn Sie bis zum Ende meines Vortrags überleben,
											wir werden ja sehen, ob das für alle zutrifft,
											dann sind Sie ein ""Pre-Vivor"", ein ""Vor-Überlebender"".
									","
											But I have some good news for you,
because
											I'm a journalist, I like to end things in a happy way or a forward-thinking way.
											And that good news is that if you can survive to the end of my talk, which
											we'll see if that happens for everyone,
											you will be a pre-vivor.
									","
											Pero tengo algunas buenas noticias
											porque soy periodista y 
me gusta terminar las cosas
											de una manera feliz o visionaria.
											Y esa buena noticia es que si pueden 
sobrevivir hasta el final de mi charla,
											veremos si eso les ocurre a todos,
											serán “presupervivientes”.
									","
											Mais j'ai aussi une bonne nouvelle pour vous,
											parce que je suis un journaliste, j'aime terminer sur une note positive ou une ouverture vers l'avant.
											Et cette bonne nouvelle, c'est que si vous survivez à la fin de mon intervention,
											nous verrons si c'est le cas pour tout le monde,
											vous serez un ""pré-vivant"".
									",Are we over-medicalized?,Ivan Oransky,10:24,"cancer,health,health care,medicine,science,activism,aging,disease,bioethics,society,culture,sports,public health"
"
","
","
","
",Are we over-medicalized?,Ivan Oransky,10:24,"cancer,health,health care,medicine,science,activism,aging,disease,bioethics,society,culture,sports,public health"
"
											Ich habe mir den Vor-Tod ausgedacht.
											Hoffentlich mache ich nicht jemand anderem den Vor-Tod abspenstig,
											aber ich glaube, es ist meine Kreation.
											""Pre-Vivor"" habe ich aber nicht erfunden.
											Eine bestimmte Krebs-Interessengruppe möchte jeden so nennen,
											der zwar einen Risikofaktor,
											aber nicht tatsächlich Krebs
											aufweist.
											Dann ist man ein ""Pre-Vivor"".
									","
											I made up pre-death.
											If I used someone else's pre-death, I apologize,
											I think I made it up.
											I didn't make up pre-vivor.
											Pre-vivor is what a particular cancer advocacy group would like everyone who
											just has a risk factor,
											but hasn't actually had that cancer,
											to call themselves.
											You are a pre-vivor.
									","
											Ya antes inventé lo de la “premuerte”,
											pero si he tomado ese término 
de otra persona, pido disculpas,
											creo que lo he inventado.
											Pero no he inventado presuperviviente.
											Presuperviviente es lo que algún 
grupo de apoyo a personas con cáncer
											quisiera llamar a los que sólo 
tienen un factor de riesgo,
											pero no han tenido ese cáncer.
											Ustedes son presupervivientes.
									","
											J'ai inventé ""pré-mort"".
											Si j'ai emprunté ce terme à quelqu'un, je m'en excuse,
											je crois que je l'ai inventé.
											mais je n'ai pas inventé ""pré-vivant"".
											Pré-vivant est le nom qu'une association de lutte contre le cancer voudrait que ceux
											qui n'ont qu'un facteur de risque,
											mais qui n'ont pas développé de cancer,
											se nomment eux-mêmes.
											vous êtes un ""pré-vivant"".
									",Are we over-medicalized?,Ivan Oransky,10:24,"cancer,health,health care,medicine,science,activism,aging,disease,bioethics,society,culture,sports,public health"
"
","
","
","
",Are we over-medicalized?,Ivan Oransky,10:24,"cancer,health,health care,medicine,science,activism,aging,disease,bioethics,society,culture,sports,public health"
"
											Heute früh war HBO hier. Falls Mark Burnett hier im Publikum sitzt,
											würde ich gern vorschlagen,
											eine Reality-TV-Show namens ""Pre-Vivor"" zu machen.
											Man fliegt von der Insel, wenn man eine Krankheit bekommt.
									","
											We've had HBO here this morning. I'm wondering if Mark Burnett is anywhere in the
											audience, I'd like to suggest
											a reality TV show called ""Pre-vivor.""
											If you develop a disease, you're off
the island.
									","
											Estuvo gente de HBO aquí esta mañana. 

											Me pregunto si Mark Burnett, 
está aún entre el público;
											me gustaría sugerirle 
un programa de telerrealidad
											llamado “Presuperviviente”.
											Si Uds. desarrollan una enfermedad,
quedan fuera de la isla. (Risas)
									","
											Nous avions HBO (une chaine de télé) ici ce matin. Je me demandais si Mark Burnett était quelque part
											dans la salle, je voudrais suggérer
											une télé réalité appelé ""Prévivor"".
											Si vous développez une maladie, vous quittez l'île.
									",Are we over-medicalized?,Ivan Oransky,10:24,"cancer,health,health care,medicine,science,activism,aging,disease,bioethics,society,culture,sports,public health"
"
","
","
","
",Are we over-medicalized?,Ivan Oransky,10:24,"cancer,health,health care,medicine,science,activism,aging,disease,bioethics,society,culture,sports,public health"
"
											Aber das Problem ist, dass unser System
											im Prinzip komplett
											dorthin führt.
											Wir haben uns entschieden, zu jedem Zeitpunkt in unserem System
											jedem eine Vorerkrankung zu verpassen und in einigen Fällen
											dann auch eine Erkrankung.
											Das beginnt beim Arzt-Patienten-Verhältnis. Die meisten Ärzte
											arbeiten in einem Gebühr-für-Leistung-System. Sie werden dazu ermutigt, mehr zu tun –
											Tests, Behandlungen,
											Medikamente verschreiben.
									","
											But the problem is, we have a system
											that is completely —
											basically promoted this.
											We've selected, at every point in this system,
											to do what we do, and to give everyone a
precondition and then eventually
											a condition, in some cases.
											Start with the doctor-patient
relationship. Doctors, most of them,
											are in a fee-for-service system. They are
basically incentivized to do more —
											procedures, tests,
											prescribe medications.
									","
											Pero el problema es 
que tenemos un sistema
											que es completamente...
											básicamente promovió esto.
											Hemos seleccionado, 
en cada punto de este sistema,
											hacer lo que hacemos y dar a todos 
una condición preexistente
											y finalmente una enfermedad, 
en algunos casos.
											Comencemos con 
la relación médico-paciente.
											Los médicos, la mayoría, tienen
un sistema de pago por servicio.
											Prácticamente los incentivan a realizar
											más procedimientos, exámenes,
											prescripciones de medicamentos.
									","
											Mais le problème est que nous avons un système
											qui en gros n'a fait que
											promouvoir cela.
											Nous avons choisi, à chaque point de ce système,
											de faire ce que nous faisons, et de donner à chacun une prédisposition, et ensuite
											une maladie, dans certains cas.
											A commencer par la relation médecin-patient. Les médecins, pour la plupart,
											sont dans un système de paiement à la tâche. Ils sont grosso modo poussés à faire plus,
											plus de procédures, de tests,
											de prescriptions de médicaments.
									",Are we over-medicalized?,Ivan Oransky,10:24,"cancer,health,health care,medicine,science,activism,aging,disease,bioethics,society,culture,sports,public health"
"
","
","
","
",Are we over-medicalized?,Ivan Oransky,10:24,"cancer,health,health care,medicine,science,activism,aging,disease,bioethics,society,culture,sports,public health"
