en,es,pt,de,tr,fr,title,speaker,duration,tags
"
											To test this, we ran
an experiment in a mouse.
											So what we did was we injected
the nanoparticles,
											and they bound almost immediately
to the immune cells in the bloodstream.
											And then we injected the cancer cells
to mimic a process
											through which cancer cells
spread throughout our bodies.
											And we found something very exciting.
											We found that in our treated group,
											over 75 percent of the cancer cells
we initially injected were dead or dying,
											in comparison to only around 25 percent.
											So just imagine: these fewer
amount of cells were available
											to actually be able to spread
to a different part of the body.
											And this is only after
two hours of treatment.
									","
											Para probarlo, hicimos 
un experimento con un ratón.
											Le inyectamos las nanopartículas, 
que se unieron casi de inmediato
											a las células inmunológicas 
del torrente sanguíneo.
											Y luego inyectamos las células cancerosas
para imitar un proceso
											por el cual las células cancerosas
se esparcen por el cuerpo.
											Y encontramos algo apasionante.
											Encontramos que en nuestro grupo tratado,
más del 75 % de las células cancerosas
											que inicialmente inyectamos 
estaban muertas o muriendo,
											en comparación con solo un 25 %.
											Así que imaginen: estas pocas
células disponibles
											en realidad pudieron esparcirse 
a diferentes partes del cuerpo.
											Y esto tras solo dos horas de tratamiento.
									","
											temos uma máquina assassina com rodas.
											Para testar isto, fizemos
uma experiência com um rato.
											Injetámos as nanopartículas
e elas ligaram-se quase de imediato
											às células imunitárias
na corrente sanguínea.
											E depois, injetámos células cancerígenas
para reproduzir um processo
											em que as células cancerígenas
se espalham por todo o corpo.
											E descobrimos uma coisa
muito interessante.
											Descobrimos que no nosso
grupo experimental,
											mais de 75% das células que injetámos
estavam mortas ou a morrer,
											contra os apenas 25% anteriores.
											Então imaginem: esta pequena
quantidade de células
											foi capaz de se espalhar
para outras partes do corpo.
									","
											Zum Testen unternahmen wir
ein Experiment mit einer Maus.
											Wir spritzten die Nanopartikel
											und sie verbanden sich im Blutkreislauf
fast augenblicklich mit den Immunzellen.
											Dann spritzten wir Krebszellen,
um den Prozess zu simulieren,
											der Krebszellen durch den Körper streut.
											Wir fanden etwas sehr Aufregendes heraus.
											In unserer behandelten Gruppe
waren 75 % der Krebszellen,
											die zu Anfang gespritzt wurden,
tot oder im Absterben,
											im Vergleich zu nur ungefähr 25 %.
											Nur noch diese geringere Menge
an Zellen war verfügbar,
											um zu einem anderen Körperteil zu streuen.
											Das nur nach zwei Stunden Behandlung.
									","
											Bunu test etmek için bir fareyi 
kobay olarak kullandık.
											Yaptığımız nanopartikülü enjekte ettik
											ve bunlar kan dolaşımındaki bağışıklık
hücrelerine anında yapıştılar.
											Ve ardından kanserin vücudumuz 
boyunca yayılım sürecini
											taklit etmek için kanser hücrelerini 
enjekte ettik.
											Ve çok heyecan verici 
birşeyler bulduk.
											Tedavi grubumuzda, başlangıçta enjekte 
edilen
											kanser hücrelerinin %75' den fazlasının
yaklaşık %25' ne kıyasla öldüğünü
											veya ölüyor olduğunu bulduk.
											Sadece hayal edin: Daha az miktarda hücre
											vücudun farklı noktalarına yayılabildi.
											ve bu sadece 2 saatlik 
tedaviden sonrası.
									","
											Pour la tester, nous avons conduit
une expérience sur une souris.
											Donc, nous avons injecté
les nanoparticules,
											et elles se sont liées quasi immédiatement
aux cellules immunitaires du sang.
											Puis nous avons injecté des cellules 
cancéreuses afin d'imiter le processus
											grâce au quel les cellules cancéreuses
se répandent dans tout notre corps.
											Nous avons trouvé
une chose très excitante.
											Parmi notre groupe traité,
plus de 75% des cellules cancéreuses
											que nous avons initialement injectées
étaient mortes ou mourantes,
											en comparaison avec seulement environ 25%
											Alors imaginez : c'est une moindre
quantité de cellules disponible
											pour être en mesure de se propager
ailleurs dans le corps.
											Et ce n'est qu'après
deux heures de traitement !
									",We can hack our immune cells to fight cancer,Elizabeth Wayne,5:32,"TED Fellows,human body,cancer,science"
"
","
","
","
","
","
",We can hack our immune cells to fight cancer,Elizabeth Wayne,5:32,"TED Fellows,human body,cancer,science"
"
											Our results were amazing,
and we had some pretty interesting press.
											My favorite title was actually,
											""Sticky balls may stop
the spread of cancer.""
									","
											Nuestros resultados fueron asombrosos,
y tuvimos una prensa bastante interesante.
											Mi título favorito era en realidad:
											""Quizá unas bolas pegajosas puedan 
detener la propagación del cáncer"".
									","
											E isto depois de apenas
duas horas de tratamento.
											Os resultados foram incríveis e deram
origem a notícias muito interessantes.
											O meu título favorito foi:
									","
											Unsere Ergebnisse waren erstaunlich
und wir hatten eine interessante Presse.
											Meine Lieblingsüberschrift war eigentlich:
											""Klebrige Nüsse können vielleicht
die Streuung von Krebs aufhalten.""
									","
											Sonuçlarımız inanılmazdı ve 
oldukça güzel ilginç yayınlarımız oldu.
											Aslında benim favori başlığım,
											""Yapışkan toplar kanserin 
yayılışını durdurabilir.""
									","
											Nos résultats étaient incroyables,

											et nous avons eu une couverture
médiatique assez intéressante.
											Mon titre préféré était :
											« Les boules collantes peuvent s'arrêter
la propagation du cancer. »
									",We can hack our immune cells to fight cancer,Elizabeth Wayne,5:32,"TED Fellows,human body,cancer,science"
"
","
","
","
","
","
",We can hack our immune cells to fight cancer,Elizabeth Wayne,5:32,"TED Fellows,human body,cancer,science"
"
											(Laughter)
									","
											(Risas)
									","
											""Bolas pegajosas podem impedir
propagação do cancro"".
									","
											(Lachen)
									","
											(Gülüşmeler)
									","
											(Rires)
									",We can hack our immune cells to fight cancer,Elizabeth Wayne,5:32,"TED Fellows,human body,cancer,science"
"
","
","
","
","
","
",We can hack our immune cells to fight cancer,Elizabeth Wayne,5:32,"TED Fellows,human body,cancer,science"
"
											I can't tell you just how smug
my male colleagues were,
											knowing that their sticky balls
might one day cure cancer.
									","
											No se imaginan lo orgullosos que 
estaban mis colegas masculinos,
											al saber que sus bolas pegajosas 
algún día podrían curar el cáncer.
									","
											É impossível descrever o orgulho
dos meus colegas homens
									","
											Sie glauben nicht, wie eingebildet
meine männlichen Kollegen waren,
											weil ihre klebrigen Nüsse eines Tages
vielleicht Krebs heilen können.
									","
											Kibirli erkek meslektaşlarımın
yapışkan toplarının bir gün kanseri
											tedavi edebileceklerini bildiklerini 
size söyleyemem.
									","
											Je ne peux pas vous dire à quel point
mes collègues masculins étaient,
											sachant que leurs boules collantes
pourraient un jour guérir le cancer.
									",We can hack our immune cells to fight cancer,Elizabeth Wayne,5:32,"TED Fellows,human body,cancer,science"
"
","
","
","
","
","
",We can hack our immune cells to fight cancer,Elizabeth Wayne,5:32,"TED Fellows,human body,cancer,science"
"
											(Laughter)
									","
											(Risas)
									","
											ao saber que as suas bolas pegajosas
poderiam vir a curar o cancro.
											(Risos)
									","
											(Lachen)
									","
											(Gülüşmeler)
									","
											(Rires)
									",We can hack our immune cells to fight cancer,Elizabeth Wayne,5:32,"TED Fellows,human body,cancer,science"
"
","
","
","
","
","
",We can hack our immune cells to fight cancer,Elizabeth Wayne,5:32,"TED Fellows,human body,cancer,science"
"
											But I can tell you they made
some pretty, pretty, exciting,
											pretty ballsy t-shirts.
									","
											Pero puedo decirles que hicieron
camisetas muy bonitas e interesantes,
											bastante atrevidas.
									","
											Mas posso dizer-vos que eles
fizeram T-shirts muitíssimo engraçadas,
									","
											Ich kann Ihnen sagen: Sie machten
einige ziemlich aufregende,
											ziemlich mutige T-Shirts.
									","
											Fakat şunu söyleyebilirim ki onlar
oldukça heyecan verici ve
											bayağı cesur tişörtler yaptılar.
									","
											Mais je peux vous dire qu'ils ont fait
T-shirts plutôt excitants,
											des T-shirts plutôt boulés.
									",We can hack our immune cells to fight cancer,Elizabeth Wayne,5:32,"TED Fellows,human body,cancer,science"
"
","
","
","
","
","
",We can hack our immune cells to fight cancer,Elizabeth Wayne,5:32,"TED Fellows,human body,cancer,science"
"
											This was also my first experience
talking to patients
											where they asked how soon
our therapy would be available.
											And I keep these stories with me
to remind me of the importance
											of the science,
the scientists and the patients.
									","
											Esta fue también mi primera experiencia
hablando con los pacientes
											que me preguntaban cuándo 
estaría disponible nuestra terapia.
											Y atesoro estas historias 
para recordar la importancia
											de la ciencia, los científicos 
y los pacientes.
									","
											umas T-shirts muito másculas.
											Também foi a primeira vez que,
ao falar com pacientes,
											me perguntaram quando é que
a nossa terapia estaria disponível.
											E guardo estas histórias comigo
para me lembrarem da importância
									","
											Das war auch meine erste Erfahrung
im Gespräch mit Patienten,
											in dem sie fragten, wie bald
unsere Therapie verfügbar wäre.
											Ich bewahre diese Geschichten,
um mich an die Bedeutung der Wissenschaft,
											der Wissenschaftler 
und der Patienten zu erinnern.
									","
											Bu benim de tedavisinin ne kadar 
yakında çıkacağını
											soran hastalarla ilk konuşma 
deneyimimdi.
											Tüm bu hikayeleri bilimin, bilim adamlarının 
ve hastaların önemini
											unutmamak için hafızamda tutuyorum.
									","
											C'était aussi ma première expérience
à parler aux patients
											qui demandaient à quel moment
notre thérapie serait disponible.
											Et je conserve ces histoires en moi
pour me rappeler l'importance
											de la science,
des scientifiques et des patients.
									",We can hack our immune cells to fight cancer,Elizabeth Wayne,5:32,"TED Fellows,human body,cancer,science"
"
","
","
","
","
","
",We can hack our immune cells to fight cancer,Elizabeth Wayne,5:32,"TED Fellows,human body,cancer,science"
"
											Now, our fast-acting results
were pretty interesting,
											but we still had one lingering question:
											Can our sticky balls,
											our particles actually attached
to the immune cells,
											actually stop the spread of cancer?
											So we went to our animal model,
and we found three important parts.
											Our primary tumors were smaller
in our treated animals,
											there were fewer cells in circulation,
											and there was little to no
tumor burden in the distant organs.
									","
											Nuestros rápidos resultados
fueron bastante interesantes,
											pero todavía teníamos 
una pregunta pendiente:
											¿Pueden nuestras bolas pegajosas,
											nuestras partículas adheridas
a las células inmunológicas,
											detener la propagación del cáncer?
											Por eso fuimos a nuestro modelo animal,
y hallamos tres elementos importantes.
											Los tumores primarios eran más pequeños
en los animales tratados,
											había menos células en circulación,
											y había poca o ninguna carga tumoral 
en los órganos distantes.
									","
											da ciência, dos cientistas
e dos pacientes.
											Os resultados imediatos
foram muito interessantes,
											mas persistia ainda uma questão:
											Poderão as nossas bolas pegajosas,
											as nossas partículas ligadas
às células imunitárias,
											impedir mesmo o cancro de se espalhar?
											Então, voltámos ao nosso modelo animal
e encontrámos três aspetos importantes.
											Os tumores originais eram
mais pequenos nos animais tratados,
											havia menos células em circulação,
									","
											Das schnell wirksame Ergebnis
war hoch interessant,
											aber wir hatten eine bohrende Frage:
											Können unsere klebrigen Nüsse,
											unsere Partikel, die genau genommen
an die Immunzellen angehängt sind,
											tatsächlich die Streuung
von Krebs aufhalten?
											Wir gingen zu unserem Tiermodell
und fanden drei wichtige Teile heraus.
											In unseren behandelten Tieren
war der Primärtumor kleiner,
											es zirkulierten weniger Zellen,
											und es gab keine Tumorbelastung
in den entfernten Organen.
									","
											Çabuk tepkili sonuçlarımız 
oldukça ilginçti,
											fakat hala yavaş ilerleyen bir 
sorunumuz var.
											Bağışıklı hücrelemize hali hazırda 

											bağlanmış olan yapışkan toplarımız, 
partiküllerimiz, gerçektende de
											kanserin yayılmasını durdurabilecek mi ?
											Böylece hayvan modelimize gittik 
ve 3 önemli bölge bulduk.
											Ana tümörümüz tedavi ettiğimiz 
hayvanlarda küçülüyordu,
											dolaşımda azalan miktarda hücre vardı,
											ve uzak organlarda tümör miktarı
çok azdı.
									","
											Ainsi, nos résultats à action rapide
étaient assez intéressants,
											mais une question persiste :
											nos boules collantes peuvent-elles
											(nos particules attachées
aux cellules immunitaires)
											arrêter la propagation du cancer ?
											Nous sommes retournés
à notre modèle animal,
											et nous avons trouvé 
trois parties importantes.
											Nos tumeurs primaires étaient plus petites
chez nos animaux traités ;
											il y avait moins de cellules 
en circulation,
											et il y avait peu ou pas
de tumeurs dans les organes distants.
									",We can hack our immune cells to fight cancer,Elizabeth Wayne,5:32,"TED Fellows,human body,cancer,science"
"
","
","
","
","
","
",We can hack our immune cells to fight cancer,Elizabeth Wayne,5:32,"TED Fellows,human body,cancer,science"
